Detailed Statistics Departures  
Origin Airport: Springfield, MO: Springfield-Branson National (SGF)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3616","N291NN","DFW","08:21","08:14","108","93","-7","08:41","27","0","0","0","0","0"
"MQ","12/01/2021","3665","N232NN","CLT","16:42","16:39","129","124","-3","16:59","20","0","0","0","0","0"
"MQ","12/01/2021","3678","N203NN","DFW","16:50","16:48","96","89","-2","17:03","15","0","0","0","0","0"
"MQ","12/01/2021","3752","N689EC","DFW","18:27","18:22","88","90","-5","18:37","15","0","0","0","0","0"
"MQ","12/01/2021","3756","N255NN","DFW","05:45","05:41","100","75","-4","05:51","10","0","0","0","0","0"
"MQ","12/01/2021","3799","N684JW","DFW","10:32","10:24","89","76","-8","10:36","12","0","0","0","0","0"
"MQ","12/01/2021","3822","N216NN","DFW","06:48","06:39","102","81","-9","06:51","12","0","0","0","0","0"
"MQ","12/01/2021","3841","N615AE","ORD","17:30","17:21","113","109","-9","17:34","13","0","0","0","0","0"
"MQ","12/01/2021","4071","N663AR","ORD","10:09","10:00","106","100","-9","10:11","11","0","0","0","0","0"
"MQ","12/01/2021","4083","N251NN","CLT","07:08","07:00","137","128","-8","07:12","12","0","0","0","0","0"
"MQ","12/01/2021","4108","N257NN","DFW","12:28","12:24","92","85","-4","12:36","12","0","0","0","0","0"
"MQ","12/01/2021","4129","N694AE","ORD","07:40","07:32","112","107","-8","07:48","16","0","0","0","0","0"
"MQ","12/01/2021","4178","N203NN","CLT","10:56","10:55","129","121","-1","11:11","16","0","0","0","0","0"
"MQ","12/01/2022","3343","N289MW","DFW","09:55","09:48","95","128","-7","09:58","10","0","0","26","0","0"
"MQ","12/01/2022","3387","N272NN","DFW","11:09","11:03","95","87","-6","11:15","12","0","0","0","0","0"
"MQ","12/01/2022","3540","N661JA","ORD","06:53","06:58","106","110","5","07:25","27","0","0","0","0","0"
"MQ","12/01/2022","3752","N236NN","DFW","17:30","17:30","95","89","0","17:40","10","0","0","0","0","0"
"MQ","12/01/2022","3822","N230NN","DFW","07:25","07:21","96","96","-4","07:35","14","0","0","0","0","0"
"MQ","12/01/2022","3976","N281NN","DFW","06:00","05:56","96","95","-4","06:06","10","0","0","0","0","0"
"MQ","12/01/2022","4071","N664MS","ORD","12:15","12:11","102","95","-4","12:26","15","0","0","0","0","0"
"MQ","12/01/2022","4083","N236NN","CLT","05:20","05:12","125","130","-8","05:35","23","0","0","0","0","0"
"MQ","12/01/2022","4108","N201NN","DFW","12:24","12:20","95","87","-4","12:29","9","0","0","0","0","0"
"MQ","12/01/2022","4179","N215NN","CLT","16:25","16:20","124","126","-5","16:31","11","0","0","0","0","0"
"MQ","12/01/2022","4207","N668HH","ORD","15:16","15:11","102","93","-5","15:25","14","0","0","0","0","0"
"MQ","12/01/2023","3414","N269NN","DFW","06:45","06:41","102","83","-4","06:52","11","0","0","0","0","0"
"MQ","12/01/2023","3494","N233NN","DFW","14:43","14:34","97","95","-9","14:47","13","0","0","0","0","0"
"MQ","12/01/2023","3495","N234JW","DFW","10:25","10:14","97","91","-11","10:26","12","0","0","0","0","0"
"MQ","12/01/2023","3752","N226NN","DFW","19:17","19:09","97","89","-8","19:23","14","0","0","0","0","0"
"MQ","12/01/2023","3756","N257NN","DFW","08:24","08:15","101","92","-9","08:27","12","0","0","0","0","0"
"MQ","12/01/2023","3786","N252NN","DFW","16:21","16:25","97","103","4","16:42","17","0","0","0","0","0"
"MQ","12/01/2023","3849","N774JG","ORD","12:37","12:57","100","92","20","13:12","15","0","0","0","0","0"
"MQ","12/01/2023","3976","N260NN","DFW","05:44","05:41","101","100","-3","05:59","18","0","0","0","0","0"
