Detailed Statistics Departures  
Origin Airport: Springfield, MO: Springfield-Branson National (SGF)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2023","6253","N245LR","DEN","09:20","09:15","135","127","-5","09:33","18","0","0","0","0","0"
"YV","12/02/2023","6253","N944LR","DEN","09:20","09:14","135","148","-6","09:27","13","0","0","0","0","0"
"YV","12/03/2023","6253","N914FJ","DEN","09:20","09:17","135","143","-3","09:43","26","0","0","0","0","0"
"YV","12/04/2023","6253","N947LR","DEN","09:20","09:12","135","125","-8","09:30","18","0","0","0","0","0"
"YV","12/05/2023","6253","N922FJ","DEN","09:20","10:11","135","129","51","10:30","19","45","0","0","0","0"
"YV","12/06/2023","6253","N905J","DEN","09:20","09:19","135","130","-1","09:44","25","0","0","0","0","0"
"YV","12/07/2023","6253","N934FJ","DEN","09:20","09:18","135","121","-2","09:38","20","0","0","0","0","0"
"YV","12/08/2023","6253","N249LR","DEN","09:20","09:17","135","131","-3","09:31","14","0","0","0","0","0"
"YV","12/09/2023","6253","N241LR","DEN","09:20","09:26","135","137","6","09:48","22","0","0","0","0","0"
"YV","12/10/2023","6253","N934FJ","DEN","09:20","09:16","135","127","-4","09:34","18","0","0","0","0","0"
"YV","12/11/2023","6253","N244LR","DEN","09:20","09:23","135","137","3","09:40","17","0","0","0","0","0"
"YV","12/12/2023","6253","N927LR","DEN","09:20","09:21","135","126","1","09:35","14","0","0","0","0","0"
"YV","12/13/2023","6253","N944LR","DEN","09:20","09:15","135","118","-5","09:31","16","0","0","0","0","0"
"YV","12/14/2023","6253","N946LR","DEN","09:20","09:18","135","127","-2","09:41","23","0","0","0","0","0"
"YV","12/15/2023","6253","N244LR","DEN","09:20","09:16","135","128","-4","09:29","13","0","0","0","0","0"
"YV","12/16/2023","6253","N943LR","DEN","09:20","09:15","135","130","-5","09:30","15","0","0","0","0","0"
"YV","12/17/2023","6253","N934FJ","DEN","09:20","10:02","135","132","42","10:29","27","39","0","0","0","0"
"YV","12/18/2023","6253","N902FJ","DEN","09:20","09:16","135","126","-4","09:34","18","0","0","0","0","0"
"YV","12/19/2023","6253","N950LR","DEN","09:20","09:16","135","126","-4","09:38","22","0","0","0","0","0"
"YV","12/20/2023","6253","N927LR","DEN","09:20","10:56","135","109","96","11:07","11","70","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
