Detailed Statistics Departures  
Origin Airport: Springfield, MO: Springfield-Branson National (SGF)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2023","5302","N615NN","CLT","16:33","16:40","127","122","7","16:59","19","0","0","0","0","0"
"OH","12/01/2023","5604","N616NN","CLT","11:59","11:53","127","118","-6","12:08","15","0","0","0","0","0"
"OH","12/02/2023","5302","N556NN","CLT","16:33","16:37","127","107","4","16:48","11","0","0","0","0","0"
"OH","12/02/2023","5604","N570NN","CLT","11:59","11:53","127","120","-6","12:05","12","0","0","0","0","0"
"OH","12/03/2023","5302","N597NN","CLT","16:33","16:30","127","110","-3","16:43","13","0","0","0","0","0"
"OH","12/03/2023","5599","N547NN","CLT","18:43","18:35","127","114","-8","18:54","19","0","0","0","0","0"
"OH","12/03/2023","5604","N604NN","CLT","11:59","12:33","127","103","34","12:48","15","0","0","0","0","0"
"OH","12/04/2023","5302","N580NN","CLT","16:33","16:37","127","121","4","16:54","17","0","0","0","0","0"
"OH","12/04/2023","5599","N582NN","CLT","18:43","18:42","127","123","-1","18:57","15","0","0","0","0","0"
"OH","12/04/2023","5604","N558NN","CLT","11:59","12:02","127","115","3","12:18","16","0","0","0","0","0"
"OH","12/05/2023","5466","N564NN","CLT","16:34","16:39","126","118","5","16:59","20","0","0","0","0","0"
"OH","12/06/2023","5466","N567NN","CLT","16:34","16:27","126","127","-7","16:40","13","0","0","0","0","0"
"OH","12/07/2023","5466","N582NN","CLT","18:43","19:14","126","110","31","19:28","14","15","0","0","0","0"
"OH","12/08/2023","5466","N555NN","CLT","18:43","18:37","126","121","-6","18:48","11","0","0","0","0","0"
"OH","12/09/2023","5466","N611NN","CLT","16:34","16:39","126","163","5","16:58","19","0","0","37","0","5"
"OH","12/10/2023","5466","N611NN","CLT","18:43","18:43","126","141","0","18:58","15","0","0","15","0","0"
"OH","12/11/2023","5466","N607NN","CLT","18:43","18:26","126","117","-17","18:38","12","0","0","0","0","0"
