Detailed Statistics Departures  
Origin Airport: Springfield, MO: Springfield-Branson National (SGF)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5478","N964SW","DEN","13:40","13:40","140","118","0","13:53","13","0","0","0","0","0"
"OO","12/01/2022","4145","N802SK","ATL","11:22","11:20","103","84","-2","11:30","10","0","0","0","0","0"
"OO","12/01/2022","5257","N221PS","DEN","09:15","09:11","138","129","-4","09:27","16","0","0","0","0","0"
"OO","12/01/2022","5281","N914EV","DEN","13:40","13:43","138","133","3","13:59","16","0","0","0","0","0"
"OO","12/01/2022","5562","N916SW","ORD","08:00","07:54","107","106","-6","08:18","24","0","0","0","0","0"
"OO","12/01/2023","5709","N792SK","DEN","13:37","13:54","136","119","17","14:06","12","0","0","0","0","0"
"OO","12/02/2021","5478","N593ML","DEN","13:40","13:30","140","119","-10","13:46","16","0","0","0","0","0"
"OO","12/02/2022","4145","N162PQ","ATL","11:22","12:25","103","85","63","12:37","12","45","0","0","0","0"
"OO","12/02/2022","5257","N913EV","DEN","09:15","09:07","138","161","-8","09:42","35","15","0","0","0","0"
"OO","12/02/2022","5281","N909SW","DEN","13:40","13:30","138","138","-10","13:46","16","0","0","0","0","0"
"OO","12/02/2022","5562","N221PS","ORD","08:00","07:50","107","100","-10","08:08","18","0","0","0","0","0"
"OO","12/02/2023","5709","N792SK","DEN","13:37","13:48","136","123","11","14:01","13","0","0","0","0","0"
"OO","12/03/2021","5478","N453SW","DEN","13:40","13:49","140","111","9","13:59","10","0","0","0","0","0"
"OO","12/03/2022","4145","N161PQ","ATL","13:45","13:45","97","104","0","14:02","17","0","0","0","0","0"
"OO","12/03/2022","5257","N982SW","DEN","09:15","09:08","138","147","-7","09:32","24","0","0","0","0","0"
"OO","12/03/2022","5281","N986SW","DEN","13:40","13:32","138","132","-8","13:46","14","0","0","0","0","0"
"OO","12/03/2022","5562","N868AS","ORD","08:00","07:55","107","118","-5","08:12","17","0","0","0","0","0"
"OO","12/03/2023","3935","N689CA","ATL","17:05","17:01","106","128","-4","17:45","44","0","0","18","0","0"
