Detailed Statistics Departures  
Origin Airport: St. George, UT: St George Regional (SGU)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3117","N633SK","PHX","07:40","07:33","79","71","-7","07:53","20","0","0","0","0","0"
"OO","12/01/2021","3194","N717EV","PHX","11:00","10:51","70","62","-9","11:00","9","0","0","0","0","0"
"OO","12/01/2021","3227","N726SK","PHX","19:26","19:19","74","61","-7","19:27","8","0","0","0","0","0"
"OO","12/01/2021","4235","N449SW","SLC","06:15","06:07","67","63","-8","06:21","14","0","0","0","0","0"
"OO","12/01/2021","4282","N446SW","SLC","17:51","17:42","77","63","-9","17:56","14","0","0","0","0","0"
"OO","12/01/2021","4337","N449SW","SLC","11:41","11:32","72","66","-9","11:44","12","0","0","0","0","0"
"OO","12/01/2021","5028","N494CA","DEN","14:35","14:27","112","97","-8","14:44","17","0","0","0","0","0"
"OO","12/01/2021","5141","N909EV","DEN","06:30","06:25","112","105","-5","06:41","16","0","0","0","0","0"
"OO","12/01/2022","3117","N708SK","PHX","07:50","07:45","70","58","-5","07:57","12","0","0","0","0","0"
"OO","12/01/2022","3212","N604SK","PHX","13:03","12:57","70","70","-6","13:16","19","0","0","0","0","0"
"OO","12/01/2022","4235","N439SW","SLC","06:10","06:07","72","74","-3","06:31","24","0","0","0","0","0"
"OO","12/01/2022","4282","N549CA","SLC","19:04","19:02","71","66","-2","19:18","16","0","0","0","0","0"
"OO","12/01/2022","4337","N549CA","SLC","13:00","12:53","75","69","-7","13:09","16","0","0","0","0","0"
"OO","12/01/2022","5045","N207PS","DEN","18:15","18:07","107","98","-8","18:26","19","0","0","0","0","0"
"OO","12/01/2022","5080","N440SW","DEN","08:30","08:22","122","104","-8","08:39","17","0","0","0","0","0"
"OO","12/01/2022","5090","N925EV","DEN","17:25","17:21","120","117","-4","17:56","35","0","0","0","0","0"
"OO","12/01/2023","3035","N762SK","PHX","06:15","06:12","74","102","-3","06:55","43","0","0","25","0","0"
"OO","12/01/2023","3194","N510SY","PHX","12:51","16:25","76","83","214","16:53","28","214","0","7","0","0"
"OO","12/01/2023","3253","N744SK","DFW","13:35","13:47","161","172","12","14:17","30","0","12","11","0","0"
"OO","12/01/2023","4235","N809SK","SLC","06:39","06:37","81","60","-2","06:44","7","0","0","0","0","0"
"OO","12/01/2023","4253","N809SK","SLC","11:52","11:52","78","72","0","12:07","15","0","0","0","0","0"
"OO","12/01/2023","4308","N809SK","SLC","17:30","17:24","83","71","-6","17:42","18","0","0","0","0","0"
"OO","12/01/2023","5067","N917SW","DEN","17:44","17:36","108","101","-8","17:58","22","0","0","0","0","0"
"OO","12/01/2023","5080","N983SW","DEN","10:17","10:11","120","94","-6","10:23","12","0","0","0","0","0"
"OO","12/02/2021","3117","N748EV","PHX","07:28","07:28","79","78","0","07:54","26","0","0","0","0","0"
"OO","12/02/2021","3194","N706SK","PHX","10:08","09:58","70","68","-10","10:13","15","0","0","0","0","0"
"OO","12/02/2021","4235","N879AS","SLC","06:15","06:14","67","65","-1","06:26","12","0","0","0","0","0"
"OO","12/02/2021","4282","N442SW","SLC","17:51","17:40","77","73","-11","17:55","15","0","0","0","0","0"
"OO","12/02/2021","4337","N506CA","SLC","11:41","11:45","72","66","4","11:56","11","0","0","0","0","0"
"OO","12/02/2021","5028","N743SK","DEN","14:35","14:25","112","96","-10","14:37","12","0","0","0","0","0"
"OO","12/02/2021","5141","N856AS","DEN","06:30","06:26","112","122","-4","06:56","30","0","0","0","0","0"
"OO","12/02/2022","3117","N727SK","PHX","07:50","07:37","70","73","-13","07:59","22","0","0","0","0","0"
