Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0453","N760US","LAX","06:42","06:43","263","216","1","06:55","12","0","0","0","0","0"
"AA","12/01/2021","0590","N673AW","PHX","17:50","17:46","216","185","-4","17:57","11","0","0","0","0","0"
"AA","12/01/2021","0831","N667AW","CLT","16:43","16:48","120","97","5","16:58","10","0","0","0","0","0"
"AA","12/01/2021","0833","N710UW","CLT","12:25","12:21","115","93","-4","12:32","11","0","0","0","0","0"
"AA","12/01/2021","0858","N650AW","CLT","07:06","07:00","121","107","-6","07:16","16","0","0","0","0","0"
"AA","12/01/2021","0984","N858NN","MIA","07:25","07:19","165","192","-6","07:35","16","0","0","21","0","0"
"AA","12/01/2021","1003","N339SU","ORD","06:00","05:55","79","69","-5","06:08","13","0","0","0","0","0"
"AA","12/01/2021","1035","N832AW","BOS","17:00","16:53","163","168","-7","17:18","25","0","0","0","0","0"
"AA","12/01/2021","1079","N755US","LGA","15:42","15:33","138","136","-9","15:44","11","0","0","0","0","0"
"AA","12/01/2021","1150","N815AW","LGA","12:56","12:45","136","137","-11","12:57","12","0","0","0","0","0"
"AA","12/01/2021","1362","N836AW","DFW","12:58","12:53","118","93","-5","13:03","10","0","0","0","0","0"
"AA","12/01/2021","1410","N916NN","DFW","07:13","08:21","131","119","68","08:30","9","56","0","0","0","0"
"AA","12/01/2021","1515","N929NN","CLT","05:21","05:13","119","91","-8","05:25","12","0","0","0","0","0"
"AA","12/01/2021","1716","N342RX","MIA","06:00","05:55","166","161","-5","06:14","19","0","0","0","0","0"
"AA","12/01/2021","1974","N823AW","BOS","10:45","10:36","159","135","-9","10:47","11","0","0","0","0","0"
"AA","12/01/2021","2261","N9018E","DFW","06:00","05:56","120","106","-4","06:06","10","0","0","0","0","0"
"AA","12/01/2021","2574","N343PN","PHX","07:10","07:08","220","185","-2","07:22","14","0","0","0","0","0"
"AA","12/01/2021","2629","N816NN","ORD","15:02","14:57","80","74","-5","15:08","11","0","0","0","0","0"
"AA","12/01/2021","2686","N870NN","CLT","18:29","18:17","115","109","-12","18:29","12","0","0","0","0","0"
"AA","12/01/2021","2858","N823AW","DFW","17:56","17:45","119","119","-11","18:07","22","0","0","0","0","0"
"AA","12/01/2021","2896","N773XF","DFW","15:44","15:37","125","101","-7","15:47","10","0","0","0","0","0"
"AA","12/01/2021","2901","N964AN","DFW","19:11","19:02","123","106","-9","19:11","9","0","0","0","0","0"
"AA","12/01/2022","0453","N802AW","LAX","19:35","19:36","250","246","1","19:48","12","0","0","0","0","0"
"AA","12/01/2022","0543","N93003","PHL","06:30","06:30","127","141","0","06:52","22","0","0","0","0","0"
"AA","12/01/2022","0590","N947NN","PHX","14:44","14:43","211","201","-1","14:55","12","0","0","0","0","0"
"AA","12/01/2022","0688","N822AW","LGA","07:29","09:53","136","135","144","10:06","13","143","0","0","0","0"
"AA","12/01/2022","0858","N925UY","CLT","07:12","07:03","106","132","-9","07:36","33","0","0","17","0","0"
"AA","12/01/2022","0944","N814NN","MIA","05:25","05:19","167","153","-6","05:31","12","0","0","0","0","0"
"AA","12/01/2022","0955","N9018E","ORD","07:22","07:11","78","85","-11","07:23","12","0","0","0","0","0"
"AA","12/01/2022","1073","N856NN","ORD","17:00","06:01","80","71","781","06:14","13","485","0","0","0","287"
"AA","12/01/2022","1104","N748UW","LGA","13:58","14:02","136","142","4","14:12","10","0","0","0","0","0"
"AA","12/01/2022","1362","N816NN","DFW","12:48","12:40","118","105","-8","12:50","10","0","0","0","0","0"
"AA","12/01/2022","1410","N841NN","DFW","07:10","07:03","120","135","-7","07:27","24","0","0","0","0","0"
"AA","12/01/2022","1515","N947AN","CLT","05:30","05:22","111","107","-8","05:38","16","0","0","0","0","0"
"AA","12/01/2022","2261","N925NN","DFW","05:46","05:34","120","115","-12","05:55","21","0","0","0","0","0"
"AA","12/01/2022","2410","N884NN","DFW","11:29","11:27","118","112","-2","11:38","11","0","0","0","0","0"
"AA","12/01/2022","2574","N301NW","PHX","07:50","07:48","213","199","-2","07:58","10","0","0","0","0","0"
"AA","12/01/2022","2858","N898NN","DFW","17:57","17:54","118","122","-3","18:06","12","0","0","0","0","0"
"AA","12/01/2022","2937","N173US","CLT","16:46","16:41","106","106","-5","16:50","9","0","0","0","0","0"
"AA","12/01/2023","0471","N12028","PHL","06:00","05:48","124","115","-12","06:02","14","0","0","0","0","0"
"AA","12/01/2023","0590","N658AW","PHX","18:08","18:30","210","207","22","18:43","13","19","0","0","0","0"
"AA","12/01/2023","0629","N825AW","ORD","06:00","05:50","77","76","-10","06:05","15","0","0","0","0","0"
"AA","12/01/2023","0712","N306PB","CLT","07:20","07:12","110","103","-8","07:24","12","0","0","0","0","0"
"AA","12/01/2023","0795","N817AW","DCA","06:28","06:21","117","120","-7","06:36","15","0","0","0","0","0"
"AA","12/01/2023","1362","N346PR","DFW","11:35","11:33","121","127","-2","11:43","10","0","0","0","0","0"
"AA","12/01/2023","1441","N710UW","LGA","06:57","06:52","138","131","-5","07:02","10","0","0","0","0","0"
"AA","12/01/2023","1515","N164NN","CLT","05:21","05:18","108","94","-3","05:29","11","0","0","0","0","0"
"AA","12/01/2023","1716","N308RD","MIA","05:30","05:24","164","160","-6","05:41","17","0","0","0","0","0"
"AA","12/01/2023","2261","N842NN","DFW","05:30","05:18","122","121","-12","05:31","13","0","0","0","0","0"
"AA","12/01/2023","2477","N710UW","LGA","13:33","13:52","137","128","19","14:07","15","0","0","0","0","0"
"AA","12/01/2023","2480","N652AW","DFW","09:41","11:57","118","129","136","12:08","11","0","0","11","0","136"
"AA","12/01/2023","2486","N725UW","CLT","14:30","15:01","108","103","31","15:12","11","4","0","0","0","22"
"AA","12/01/2023","2487","N673AW","DFW","17:47","17:44","116","133","-3","18:02","18","0","0","0","0","0"
"AA","12/01/2023","2493","N713UW","CLT","09:14","09:09","108","107","-5","09:19","10","0","0","0","0","0"
"AA","12/01/2023","2500","N824AW","LAX","19:23","19:19","249","251","-4","19:31","12","0","0","0","0","0"
"AA","12/01/2023","2574","N827AW","PHX","07:47","07:41","208","219","-6","07:52","11","0","0","0","0","0"
"AA","12/01/2023","2711","N306NY","DFW","07:01","06:50","124","125","-11","07:09","19","0","0","0","0","0"
"AA","12/02/2021","0374","N335PH","MIA","06:00","05:55","165","153","-5","06:08","13","0","0","0","0","0"
"AA","12/02/2021","0453","N825AW","LAX","06:42","06:39","262","222","-3","06:52","13","0","0","0","0","0"
"AA","12/02/2021","0590","N664AW","PHX","17:50","17:45","216","180","-5","17:56","11","0","0","0","0","0"
"AA","12/02/2021","0831","N119US","CLT","16:43","16:36","120","93","-7","16:45","9","0","0","0","0","0"
"AA","12/02/2021","0833","N821AW","CLT","12:25","13:30","115","91","65","13:39","9","41","0","0","0","0"
"AA","12/02/2021","0858","N667AW","CLT","07:06","06:55","121","116","-11","07:07","12","0","0","0","0","0"
"AA","12/02/2021","1003","N301NW","ORD","06:00","05:54","79","74","-6","06:07","13","0","0","0","0","0"
"AA","12/02/2021","1035","N839AW","BOS","17:00","16:49","163","143","-11","17:01","12","0","0","0","0","0"
"AA","12/02/2021","1079","N774XF","LGA","15:42","15:40","138","143","-2","16:04","24","0","0","0","0","0"
"AA","12/02/2021","1130","N748UW","DFW","12:58","12:46","118","105","-12","13:06","20","0","0","0","0","0"
"AA","12/02/2021","1150","N756US","LGA","12:56","12:45","136","141","-11","12:54","9","0","0","0","0","0"
"AA","12/02/2021","1410","N867NN","DFW","07:13","08:06","131","93","53","08:15","9","15","0","0","0","0"
"AA","12/02/2021","1515","N865NN","CLT","05:21","05:15","119","102","-6","05:26","11","0","0","0","0","0"
