Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1230","N129DU","SLC","14:23","14:23","197","175","0","14:32","9","0","0","0","0","0"
"DL","12/01/2021","1526","N928DU","ATL","06:05","06:03","96","91","-2","06:11","8","0","0","0","0","0"
"DL","12/01/2021","2166","N898DN","ATL","15:41","15:32","90","89","-9","15:51","19","0","0","0","0","0"
"DL","12/01/2021","2210","N3762Y","ATL","10:02","09:59","92","78","-3","10:08","9","0","0","0","0","0"
"DL","12/01/2021","2231","N113DQ","SLC","18:23","18:18","201","171","-5","18:28","10","0","0","0","0","0"
"DL","12/01/2021","2569","N362NW","MSP","18:15","18:07","96","86","-8","18:16","9","0","0","0","0","0"
"DL","12/01/2021","2592","N333DX","MSP","06:30","06:26","94","89","-4","06:36","10","0","0","0","0","0"
"DL","12/01/2021","2593","N859DN","ATL","12:59","12:51","87","80","-8","13:00","9","0","0","0","0","0"
"DL","12/01/2021","2641","N923DZ","ATL","07:05","06:56","96","86","-9","07:06","10","0","0","0","0","0"
"DL","12/01/2021","2794","N809DN","ATL","17:39","17:33","90","88","-6","17:46","13","0","0","0","0","0"
"DL","12/01/2021","2846","N117DU","MSP","10:03","09:58","92","91","-5","10:07","9","0","0","0","0","0"
"DL","12/01/2021","2866","N312US","SLC","07:30","07:24","201","177","-6","07:36","12","0","0","0","0","0"
"DL","12/01/2022","0679","N943AT","DTW","10:40","10:32","93","80","-8","10:42","10","0","0","0","0","0"
"DL","12/01/2022","0702","N355DN","ATL","16:10","16:09","95","82","-1","16:18","9","0","0","0","0","0"
"DL","12/01/2022","0738","N607AT","MSP","10:13","10:10","97","90","-3","10:21","11","0","0","0","0","0"
