Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4697","N480PX","LGA","08:31","08:26","143","126","-5","08:32","6","0","0","0","0","0"
"9E","12/01/2021","4826","N292PQ","LGA","15:30","15:20","143","138","-10","15:28","8","0","0","0","0","0"
"9E","12/01/2021","4857","N902XJ","LGA","06:00","05:55","148","130","-5","06:03","8","0","0","0","0","0"
"9E","12/01/2021","4867","N232PQ","LGA","18:00","17:51","144","132","-9","17:59","8","0","0","0","0","0"
"9E","12/01/2021","5204","N922XJ","LGA","12:25","12:20","143","132","-5","12:27","7","0","0","0","0","0"
"9E","12/01/2022","4648","N485PX","LGA","11:50","11:51","142","136","1","12:04","13","0","0","0","0","0"
"9E","12/01/2022","4658","N490PX","LGA","18:19","18:12","147","143","-7","18:25","13","0","0","0","0","0"
"9E","12/01/2022","4670","N917XJ","LGA","08:37","08:35","137","138","-2","08:52","17","0","0","0","0","0"
"9E","12/01/2022","4725","N166PQ","LGA","15:15","15:10","144","140","-5","15:23","13","0","0","0","0","0"
"9E","12/01/2022","5474","N146PQ","LGA","06:00","05:55","144","131","-5","06:05","10","0","0","0","0","0"
"9E","12/01/2023","5326","N335PQ","LGA","06:00","05:56","149","130","-4","06:08","12","0","0","0","0","0"
"9E","12/01/2023","5357","N922XJ","LGA","11:34","12:39","145","164","65","13:08","29","63","0","19","0","2"
"9E","12/01/2023","5393","N921XJ","LGA","09:09","09:04","140","127","-5","09:10","6","0","0","0","0","0"
"9E","12/01/2023","5475","N182GJ","LGA","19:35","19:30","142","126","-5","19:41","11","0","0","0","0","0"
"9E","12/02/2021","4646","N320PQ","MSP","15:30","15:22","95","101","-8","15:37","15","0","0","0","0","0"
"9E","12/02/2021","4697","N478PX","LGA","08:31","08:27","143","148","-4","08:42","15","0","0","0","0","0"
"9E","12/02/2021","4826","N303PQ","LGA","15:30","15:25","143","148","-5","15:45","20","0","0","0","0","0"
"9E","12/02/2021","4857","N485PX","LGA","06:00","05:55","148","150","-5","06:08","13","0","0","0","0","0"
"9E","12/02/2021","4867","N314PQ","LGA","18:00","17:55","144","131","-5","18:05","10","0","0","0","0","0"
"9E","12/02/2021","5204","N916XJ","LGA","12:25","12:20","143","129","-5","12:29","9","0","0","0","0","0"
"9E","12/02/2022","4648","N920XJ","LGA","11:50","11:49","142","127","-1","11:58","9","0","0","0","0","0"
"9E","12/02/2022","4658","N303PQ","LGA","18:19","18:14","147","126","-5","18:23","9","0","0","0","0","0"
"9E","12/02/2022","4670","N490PX","LGA","08:37","08:32","137","132","-5","08:42","10","0","0","0","0","0"
"9E","12/02/2022","4725","N925XJ","LGA","15:15","15:32","144","139","17","15:44","12","0","0","0","0","0"
"9E","12/02/2022","5474","N310PQ","LGA","06:00","05:57","144","137","-3","06:11","14","0","0","0","0","0"
"9E","12/02/2023","4996","N295PQ","MSP","16:00","15:58","95","89","-2","16:10","12","0","0","0","0","0"
