Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3736","N208AN","ORD","10:34","10:31","82","72","-3","10:39","8","0","0","0","0","0"
"MQ","12/01/2021","3775","N300LK","ORD","17:45","17:39","91","78","-6","17:48","9","0","0","0","0","0"
"MQ","12/01/2021","4221","N281NN","AUS","10:05","09:54","129","112","-11","10:04","10","0","0","0","0","0"
"MQ","12/01/2021","4246","N200NN","AUS","21:45","21:41","131","113","-4","21:53","12","0","0","0","0","0"
"MQ","12/01/2022","3333","N233NN","ORD","06:00","05:50","78","79","-10","06:13","23","0","0","0","0","0"
"MQ","12/01/2022","3358","N229NN","AUS","18:57","18:53","128","126","-4","19:01","8","0","0","0","0","0"
"MQ","12/01/2022","3359","N293NN","BOS","15:15","15:08","149","150","-7","15:20","12","0","0","0","0","0"
"MQ","12/01/2022","3362","N205NN","CLT","12:40","13:12","112","99","32","13:23","11","2","0","0","0","17"
"MQ","12/01/2022","3513","N260NN","ORD","14:15","14:12","78","74","-3","14:26","14","0","0","0","0","0"
"MQ","12/01/2022","4221","N212NN","AUS","10:07","09:56","128","126","-11","10:07","11","0","0","0","0","0"
"MQ","12/01/2023","3497","N245NN","ORD","18:01","18:03","81","91","2","18:31","28","0","0","0","0","0"
"MQ","12/01/2023","3707","N228NN","BOS","13:38","13:49","149","156","11","14:01","12","7","0","7","0","4"
"MQ","12/01/2023","3855","N288NN","DFW","14:55","14:59","120","135","4","15:17","18","4","0","15","0","0"
"MQ","12/01/2023","3863","N769KW","ORD","14:54","14:47","81","71","-7","15:03","16","0","0","0","0","0"
"MQ","12/02/2021","3736","N293NN","ORD","10:34","10:28","82","76","-6","10:43","15","0","0","0","0","0"
"MQ","12/02/2021","4120","N228NN","ORD","17:45","17:37","91","96","-8","17:50","13","0","0","0","0","0"
"MQ","12/02/2021","4221","N242NN","AUS","10:05","09:55","129","124","-10","10:05","10","0","0","0","0","0"
