Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0699","N308FR","DEN","18:28","18:25","151","138","-3","18:40","15","0","0","0","0","0"
"F9","12/01/2021","1210","N723FR","MCO","09:48","09:50","149","131","2","10:03","13","0","0","0","0","0"
"F9","12/01/2021","2095","N701FR","LAS","18:07","19:31","227","189","84","19:41","10","0","0","0","0","46"
"F9","12/01/2021","2678","N312FR","MIA","16:23","16:18","169","150","-5","16:30","12","0","0","0","0","0"
"F9","12/01/2022","0699","N236FR","DEN","14:37","14:32","153","158","-5","14:46","14","0","0","0","0","0"
"F9","12/01/2022","2095","N710FR","LAS","22:02","22:34","233","224","32","22:45","11","17","0","0","0","6"
"F9","12/01/2023","2850","N604FR","MCO","20:45","20:43","156","149","-2","20:58","15","0","0","0","0","0"
"F9","12/01/2023","3107","N614FR","LAS","16:12","16:13","231","217","1","16:31","18","0","0","0","0","0"
"F9","12/01/2023","3301","N616FR","DEN","20:45","20:44","157","146","-1","20:56","12","0","0","0","0","0"
"F9","12/02/2021","0701","N711FR","DEN","20:05","19:57","153","137","-8","20:08","11","0","0","0","0","0"
"F9","12/02/2021","1212","N374FR","MCO","09:58","09:49","157","131","-9","10:00","11","0","0","0","0","0"
"F9","12/02/2021","1586","N376FR","ATL","18:47","18:34","95","85","-13","18:44","10","0","0","0","0","0"
"F9","12/02/2021","2095","N710FR","LAS","18:15","18:07","227","205","-8","18:23","16","0","0","0","0","0"
"F9","12/02/2022","0699","N230FR","DEN","12:59","12:50","149","169","-9","13:02","12","0","0","0","0","0"
"F9","12/02/2022","1210","N723FR","MCO","10:39","10:43","149","134","4","10:58","15","0","0","0","0","0"
"F9","12/02/2022","2095","N710FR","LAS","22:02","22:31","236","260","29","23:00","29","13","0","38","0","2"
"F9","12/02/2022","2490","N309FR","TPA","20:48","20:44","128","138","-4","21:06","22","0","0","0","0","0"
"F9","12/02/2023","2850","N605FR","MCO","20:45","20:37","156","169","-8","20:57","20","0","0","0","0","0"
"F9","12/02/2023","3301","N361FR","DEN","20:23","20:45","157","136","22","20:59","14","0","0","0","0","0"
"F9","12/03/2021","0699","N709FR","DEN","15:22","15:14","152","143","-8","15:23","9","0","0","0","0","0"
"F9","12/03/2021","1210","N717FR","MCO","11:17","11:12","152","154","-5","11:23","11","0","0","0","0","0"
"F9","12/03/2021","2097","N347FR","LAS","17:54","17:45","227","203","-9","17:56","11","0","0","0","0","0"
"F9","12/03/2021","2678","N232FR","MIA","16:38","16:53","169","161","15","17:02","9","0","0","0","0","0"
"F9","12/03/2022","0701","N238FR","DEN","22:19","21:58","153","157","-21","22:08","10","0","0","0","0","0"
"F9","12/03/2022","1210","N720FR","MCO","10:39","12:55","149","137","136","13:07","12","18","0","0","0","106"
"F9","12/03/2022","2095","","LAS","22:02","00:00","236","0","0","00:00","0","0","0","0","0","0"
"F9","12/03/2022","2490","N386FR","TPA","20:48","20:38","134","119","-10","20:50","12","0","0","0","0","0"
"F9","12/03/2023","1210","N311FR","MCO","12:15","12:10","154","140","-5","12:24","14","0","0","0","0","0"
"F9","12/03/2023","2850","N624FR","MCO","20:45","20:26","158","156","-19","20:42","16","0","0","0","0","0"
"F9","12/03/2023","4567","N360FR","DEN","22:20","22:09","157","139","-11","22:24","15","0","0","0","0","0"
"F9","12/04/2021","0699","N352FR","DEN","18:28","18:36","151","135","8","18:47","11","0","0","0","0","0"
"F9","12/04/2021","1210","N706FR","MCO","09:48","10:43","149","128","55","10:53","10","20","0","0","0","14"
"F9","12/04/2021","2095","N710FR","LAS","17:54","17:53","227","201","-1","18:06","13","0","0","0","0","0"
"F9","12/04/2022","0699","N383FR","DEN","14:37","14:37","153","139","0","14:49","12","0","0","0","0","0"
"F9","12/04/2022","2095","N704FR","LAS","22:02","21:55","236","225","-7","22:13","18","0","0","0","0","0"
"F9","12/04/2023","2850","N616FR","MCO","20:35","20:24","156","151","-11","20:39","15","0","0","0","0","0"
"F9","12/04/2023","3107","N611FR","LAS","12:10","12:11","234","219","1","12:29","18","0","0","0","0","0"
"F9","12/04/2023","3301","N326FR","DEN","20:27","20:15","157","149","-12","20:28","13","0","0","0","0","0"
"F9","12/05/2021","0701","N711FR","DEN","20:06","19:56","153","146","-10","20:03","7","0","0","0","0","0"
"F9","12/05/2021","1212","N722FR","MCO","11:15","11:07","152","144","-8","11:19","12","0","0","0","0","0"
"F9","12/05/2021","1586","N337FR","ATL","18:52","18:42","95","94","-10","18:54","12","0","0","0","0","0"
"F9","12/05/2021","2095","N709FR","LAS","18:13","18:05","230","212","-8","18:18","13","0","0","0","0","0"
"F9","12/05/2022","0699","N346FR","DEN","12:59","12:59","149","153","0","13:10","11","0","0","0","0","0"
"F9","12/05/2022","1210","N370FR","MCO","10:39","17:10","149","136","391","17:23","13","0","0","0","0","378"
"F9","12/05/2022","2095","N721FR","LAS","22:04","22:18","235","243","14","22:28","10","0","0","8","0","14"
"F9","12/05/2022","2490","N386FR","TPA","20:48","21:25","134","123","37","21:39","14","26","0","0","0","0"
"F9","12/05/2023","2850","N610FR","MCO","20:35","20:26","156","144","-9","20:41","15","0","0","0","0","0"
"F9","12/05/2023","4567","N229FR","DEN","20:36","20:17","156","140","-19","20:30","13","0","0","0","0","0"
"F9","12/06/2021","0699","N375FR","DEN","20:08","20:02","153","149","-6","20:13","11","0","0","0","0","0"
"F9","12/06/2021","1210","N716FR","MCO","15:37","18:39","153","133","182","18:50","11","0","0","0","0","162"
"F9","12/06/2021","2097","N715FR","LAS","18:13","18:13","230","230","0","18:29","16","0","0","0","0","0"
"F9","12/06/2021","2678","N373FR","MIA","16:47","17:02","169","163","15","17:14","12","0","0","0","0","0"
"F9","12/06/2022","2095","N721FR","LAS","22:04","21:58","235","249","-6","22:18","20","0","0","0","0","0"
"F9","12/06/2023","2850","N607FR","MCO","20:35","20:29","156","133","-6","20:47","18","0","0","0","0","0"
"F9","12/06/2023","3301","N352FR","DEN","20:23","20:13","157","139","-10","20:29","16","0","0","0","0","0"
