Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5782","N934FJ","DFW","11:29","11:20","116","96","-9","11:34","14","0","0","0","0","0"
"YV","12/01/2022","6217","N86350","IAH","13:00","13:23","140","128","23","13:32","9","0","0","0","0","0"
"YV","12/02/2022","6217","N86350","IAH","13:00","12:56","140","125","-4","13:06","10","0","0","0","0","0"
"YV","12/03/2022","6217","N88327","IAH","13:00","12:52","140","112","-8","13:02","10","0","0","0","0","0"
"YV","12/04/2021","5782","N953LR","DFW","11:29","00:00","116","0","0","00:00","0","0","0","0","0","0"
"YV","12/04/2022","6121","N85354","IAH","06:10","06:01","140","116","-9","06:15","14","0","0","0","0","0"
"YV","12/04/2022","6217","N89308","IAH","13:00","13:00","140","128","0","13:15","15","0","0","0","0","0"
"YV","12/05/2022","6217","N83329","IAH","13:00","12:51","140","138","-9","13:19","28","0","0","0","0","0"
"YV","12/06/2022","6217","N86350","IAH","13:00","12:57","140","122","-3","13:06","9","0","0","0","0","0"
"YV","12/07/2021","5782","N925FJ","DFW","11:29","11:20","116","108","-9","11:31","11","0","0","0","0","0"
"YV","12/07/2022","6217","N89342","IAH","13:00","13:13","140","122","13","13:23","10","0","0","0","0","0"
"YV","12/08/2021","5782","N957LR","DFW","11:29","11:39","116","110","10","11:54","15","0","0","0","0","0"
"YV","12/08/2022","6217","N86336","IAH","13:00","12:59","140","117","-1","13:08","9","0","0","0","0","0"
"YV","12/09/2022","6217","N83329","IAH","13:00","13:06","140","127","6","13:15","9","0","0","0","0","0"
"YV","12/10/2022","6217","N87319","IAH","13:00","15:09","140","132","129","15:24","15","121","0","0","0","0"
"YV","12/11/2021","5782","","DFW","11:29","00:00","116","0","0","00:00","0","0","0","0","0","0"
"YV","12/11/2022","6121","N87345","IAH","06:10","06:07","140","132","-3","06:19","12","0","0","0","0","0"
"YV","12/11/2022","6217","N87339","IAH","13:00","12:49","140","120","-11","13:02","13","0","0","0","0","0"
"YV","12/12/2022","6217","N88326","IAH","13:00","12:57","140","123","-3","13:06","9","0","0","0","0","0"
"YV","12/13/2022","6217","N85354","IAH","13:00","12:58","140","127","-2","13:10","12","0","0","0","0","0"
"YV","12/14/2021","5782","N912FJ","DFW","11:29","11:23","116","107","-6","11:34","11","0","0","0","0","0"
"YV","12/14/2022","6217","N87303","IAH","13:00","15:13","140","132","133","15:23","10","125","0","0","0","0"
"YV","12/15/2021","5782","N944LR","DFW","11:29","11:23","116","118","-6","11:34","11","0","0","0","0","0"
"YV","12/18/2022","6163","N88332","IAH","06:07","06:06","144","119","-1","06:16","10","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
