Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5142","N708PS","PHL","15:44","15:32","131","116","-12","15:43","11","0","0","0","0","0"
"OH","12/01/2021","5323","N564NN","DCA","10:58","10:46","121","118","-12","11:03","17","0","0","0","0","0"
"OH","12/01/2021","5325","N604NN","PHL","06:00","05:50","132","119","-10","06:09","19","0","0","0","0","0"
"OH","12/01/2021","5690","N710PS","DCA","15:02","14:49","118","107","-13","14:58","9","0","0","0","0","0"
"OH","12/01/2022","5150","N570NN","DCA","09:04","08:49","126","119","-15","09:02","13","0","0","0","0","0"
"OH","12/01/2022","5426","N570NN","DCA","14:53","14:45","123","126","-8","15:01","16","0","0","0","0","0"
"OH","12/01/2023","5398","N609NN","DCA","16:10","16:57","120","113","47","17:14","17","1","0","0","0","39"
"OH","12/02/2021","5142","N523AE","PHL","15:44","15:34","131","123","-10","15:46","12","0","0","0","0","0"
"OH","12/02/2021","5323","N605NN","DCA","10:58","10:46","121","107","-12","10:56","10","0","0","0","0","0"
"OH","12/02/2021","5325","N601EN","PHL","06:00","05:48","132","137","-12","06:12","24","0","0","0","0","0"
"OH","12/02/2021","5690","N532EA","DCA","15:02","14:54","118","110","-8","15:11","17","0","0","0","0","0"
"OH","12/02/2022","5150","N592NN","DCA","09:04","08:51","126","115","-13","09:06","15","0","0","0","0","0"
"OH","12/02/2022","5426","N592NN","DCA","14:53","14:44","123","105","-9","14:53","9","0","0","0","0","0"
"OH","12/02/2023","5398","N507AE","DCA","16:07","16:48","124","121","41","17:06","18","4","0","0","0","34"
"OH","12/02/2023","5478","N538EG","DCA","06:10","06:07","124","117","-3","06:20","13","0","0","0","0","0"
"OH","12/03/2021","5142","N520DC","PHL","15:44","16:05","131","116","21","16:14","9","0","0","0","0","0"
"OH","12/03/2021","5323","N584NN","DCA","10:58","10:58","121","127","0","11:20","22","0","0","0","0","0"
"OH","12/03/2021","5325","N571NN","PHL","06:00","05:53","132","119","-7","06:06","13","0","0","0","0","0"
"OH","12/03/2021","5690","N501BG","DCA","15:02","15:00","118","110","-2","15:14","14","0","0","0","0","0"
"OH","12/03/2022","5091","N555NN","CLT","12:49","12:59","116","97","10","13:13","14","0","0","0","0","0"
"OH","12/03/2022","5150","N570NN","DCA","11:56","11:46","123","129","-10","12:23","37","0","0","0","0","0"
"OH","12/03/2022","5382","N552NN","DCA","06:06","05:54","126","112","-12","06:11","17","0","0","0","0","0"
"OH","12/03/2023","5398","N602NN","DCA","16:14","18:57","120","125","163","19:11","14","0","154","5","0","9"
"OH","12/03/2023","5478","N591NN","DCA","07:59","07:48","121","104","-11","08:01","13","0","0","0","0","0"
"OH","12/04/2021","5142","N582NN","PHL","16:56","16:44","132","126","-12","16:56","12","0","0","0","0","0"
"OH","12/04/2021","5277","N597NN","CLT","12:45","12:34","123","111","-11","12:46","12","0","0","0","0","0"
"OH","12/04/2021","5323","N560NN","DCA","10:58","10:52","121","121","-6","11:05","13","0","0","0","0","0"
"OH","12/04/2021","5325","N581NN","PHL","06:00","05:55","132","118","-5","06:13","18","0","0","0","0","0"
"OH","12/04/2021","5690","N529EA","DCA","15:02","14:50","118","114","-12","15:01","11","0","0","0","0","0"
"OH","12/04/2022","5150","N587NN","DCA","07:54","07:47","126","135","-7","08:14","27","0","0","0","0","0"
"OH","12/04/2022","5426","N558NN","DCA","15:02","14:59","123","108","-3","15:11","12","0","0","0","0","0"
"OH","12/04/2023","5398","N611NN","DCA","16:10","15:57","120","120","-13","16:11","14","0","0","0","0","0"
"OH","12/05/2021","5142","N512AE","PHL","15:44","15:44","131","136","0","15:57","13","0","0","0","0","0"
"OH","12/05/2021","5325","N559NN","PHL","06:00","05:59","132","113","-1","06:11","12","0","0","0","0","0"
"OH","12/05/2021","5690","N535EA","DCA","15:02","14:45","118","112","-17","14:58","13","0","0","0","0","0"
"OH","12/05/2022","5150","N565NN","DCA","09:04","09:04","126","107","0","09:18","14","0","0","0","0","0"
"OH","12/05/2022","5426","N565NN","DCA","14:53","14:46","123","123","-7","15:07","21","0","0","0","0","0"
"OH","12/05/2023","5398","N612NN","DCA","16:06","15:53","123","113","-13","16:05","12","0","0","0","0","0"
"OH","12/06/2021","5142","N503AE","PHL","15:44","15:39","131","121","-5","15:48","9","0","0","0","0","0"
"OH","12/06/2021","5323","N575NN","DCA","10:58","10:46","121","108","-12","10:57","11","0","0","0","0","0"
"OH","12/06/2021","5325","N605NN","PHL","06:00","05:52","132","114","-8","06:04","12","0","0","0","0","0"
"OH","12/06/2021","5690","N716PS","DCA","15:02","14:51","118","109","-11","15:02","11","0","0","0","0","0"
"OH","12/06/2022","5150","N582NN","DCA","09:04","11:47","126","117","163","12:05","18","0","0","0","0","154"
"OH","12/06/2022","5426","N558NN","DCA","14:53","14:45","123","111","-8","15:04","19","0","0","0","0","0"
"OH","12/06/2023","5398","N597NN","DCA","16:06","15:55","123","124","-11","16:10","15","0","0","0","0","0"
"OH","12/07/2021","5323","N532EA","DCA","10:58","10:49","121","112","-9","11:06","17","0","0","0","0","0"
"OH","12/07/2021","5325","N562NN","PHL","06:00","05:55","132","121","-5","06:12","17","0","0","0","0","0"
