Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3449","N633RW","EWR","17:40","17:33","156","174","-7","17:45","12","0","0","0","0","0"
"YX","12/01/2021","3541","N642RW","ORD","10:37","10:30","88","78","-7","10:42","12","0","0","0","0","0"
"YX","12/01/2021","4555","N446YX","LGA","06:00","05:54","145","135","-6","06:06","12","0","0","0","0","0"
"YX","12/01/2021","4701","N131HQ","PHL","16:56","17:20","131","123","24","17:30","10","0","16","0","0","0"
"YX","12/01/2021","4720","N446YX","DCA","18:26","18:23","120","116","-3","18:37","14","0","0","0","0","0"
"YX","12/01/2021","4743","N131HQ","LGA","10:11","10:03","138","146","-8","10:18","15","0","0","0","0","0"
"YX","12/01/2021","4776","N413YX","DCA","06:11","06:05","127","135","-6","06:15","10","0","0","0","0","0"
"YX","12/01/2021","4798","N127HQ","LGA","19:00","18:47","141","138","-13","18:57","10","0","0","0","0","0"
"YX","12/01/2022","4323","N105HQ","BOS","10:45","10:38","152","145","-7","10:48","10","0","0","0","0","0"
"YX","12/01/2022","4443","N806MD","LGA","18:06","17:52","144","138","-14","18:06","14","0","0","0","0","0"
"YX","12/01/2022","4743","N124HQ","LGA","09:27","00:00","143","0","0","00:00","0","0","0","0","0","0"
"YX","12/01/2022","4795","N405YX","DCA","06:06","05:56","124","120","-10","06:12","16","0","0","0","0","0"
"YX","12/01/2023","3549","N755YX","EWR","07:30","07:22","152","144","-8","07:41","19","0","0","0","0","0"
"YX","12/01/2023","3658","N732YX","ORD","10:35","10:33","85","80","-2","10:54","21","0","0","0","0","0"
"YX","12/01/2023","3684","N861RW","EWR","12:55","12:50","155","136","-5","13:07","17","0","0","0","0","0"
