Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3513","N831SK","DTW","10:17","10:10","91","89","-7","10:23","13","0","0","0","0","0"
"OO","12/01/2021","3797","N187PQ","MSP","12:40","12:37","92","99","-3","12:49","12","0","0","0","0","0"
"OO","12/01/2021","3807","N820SK","DTW","06:55","06:55","93","87","0","07:08","13","0","0","0","0","0"
"OO","12/01/2021","3834","N549CA","DTW","14:20","14:15","91","86","-5","14:27","12","0","0","0","0","0"
"OO","12/01/2021","4137","N161PQ","DTW","17:22","17:21","95","92","-1","17:32","11","0","0","0","0","0"
"OO","12/01/2021","5221","N604UX","DEN","16:30","16:29","159","154","-1","16:38","9","0","0","0","0","0"
"OO","12/01/2021","5356","N145SY","DEN","08:45","08:37","165","159","-8","09:08","31","0","0","0","0","0"
"OO","12/01/2021","5485","N160SY","ORD","17:08","17:05","90","83","-3","17:20","15","0","0","0","0","0"
"OO","12/01/2021","5489","N131SY","ORD","11:30","11:22","88","83","-8","11:37","15","0","0","0","0","0"
"OO","12/01/2022","5221","N785SK","DEN","16:25","16:21","149","149","-4","16:33","12","0","0","0","0","0"
"OO","12/01/2022","5579","N787SK","ORD","17:16","17:08","89","77","-8","17:22","14","0","0","0","0","0"
"OO","12/01/2023","5323","N116SY","IAH","11:05","11:01","144","147","-4","11:17","16","0","0","0","0","0"
"OO","12/01/2023","5437","N119SY","DEN","05:30","05:25","153","148","-5","05:42","17","0","0","0","0","0"
"OO","12/02/2021","3513","N831SK","DTW","10:17","10:08","91","81","-9","10:19","11","0","0","0","0","0"
"OO","12/02/2021","3797","N679CA","MSP","12:40","12:34","92","109","-6","12:57","23","0","0","0","0","0"
"OO","12/02/2021","3807","N803SK","DTW","06:55","06:52","93","88","-3","07:03","11","0","0","0","0","0"
"OO","12/02/2021","3834","N549CA","DTW","19:06","18:58","91","94","-8","19:11","13","0","0","0","0","0"
"OO","12/02/2021","4137","N804SK","DTW","17:22","17:17","95","95","-5","17:35","18","0","0","0","0","0"
"OO","12/02/2021","5221","N610UX","DEN","16:30","16:24","159","180","-6","16:49","25","15","0","0","0","0"
"OO","12/02/2021","5356","N128SY","DEN","08:45","08:45","165","163","0","09:04","19","0","0","0","0","0"
"OO","12/02/2021","5485","N116SY","ORD","17:08","17:00","90","77","-8","17:11","11","0","0","0","0","0"
"OO","12/02/2021","5489","N110SY","ORD","11:30","11:23","88","71","-7","11:33","10","0","0","0","0","0"
"OO","12/02/2022","5221","N779SK","DEN","16:25","16:22","149","168","-3","16:35","13","16","0","0","0","0"
"OO","12/02/2022","5579","N786SK","ORD","17:16","17:55","89","77","39","18:12","17","0","0","0","0","27"
"OO","12/02/2023","5323","N116SY","IAH","11:05","11:04","144","148","-1","11:23","19","0","0","0","0","0"
"OO","12/02/2023","5437","N110SY","DEN","05:30","05:27","153","146","-3","05:39","12","0","0","0","0","0"
"OO","12/03/2021","3513","N838SK","DTW","10:17","12:03","91","83","106","12:13","10","98","0","0","0","0"
"OO","12/03/2021","3797","N896SK","MSP","12:40","12:35","92","82","-5","12:43","8","0","0","0","0","0"
"OO","12/03/2021","3807","N809SK","DTW","06:55","06:49","93","95","-6","06:59","10","0","0","0","0","0"
"OO","12/03/2021","4137","N825SK","DTW","17:22","17:54","95","91","32","18:10","16","0","28","0","0","0"
"OO","12/03/2021","5221","N606UX","DEN","16:30","16:38","159","162","8","16:55","17","0","0","0","0","0"
"OO","12/03/2021","5340","N134SY","DEN","11:00","10:57","157","126","-3","11:06","9","0","0","0","0","0"
"OO","12/03/2021","5356","N209SY","DEN","08:45","08:43","165","142","-2","09:07","24","0","0","0","0","0"
"OO","12/03/2021","5485","N117SY","ORD","17:08","18:18","90","68","70","18:31","13","48","0","0","0","0"
"OO","12/03/2021","5489","N208SY","ORD","11:30","11:24","88","71","-6","11:38","14","0","0","0","0","0"
"OO","12/03/2022","5221","N787SK","DEN","16:25","16:24","149","168","-1","16:41","17","18","0","0","0","0"
"OO","12/03/2022","5579","N782SK","ORD","17:16","17:09","89","84","-7","17:30","21","0","0","0","0","0"
"OO","12/03/2023","5323","N117SY","IAH","11:05","11:01","144","156","-4","11:17","16","0","0","0","0","0"
"OO","12/03/2023","5437","N164SY","DEN","05:30","05:29","153","152","-1","05:48","19","0","0","0","0","0"
"OO","12/04/2021","3513","N834SK","DTW","10:17","10:13","91","86","-4","10:28","15","0","0","0","0","0"
"OO","12/04/2021","3797","N800SK","MSP","15:30","15:25","95","88","-5","15:34","9","0","0","0","0","0"
"OO","12/04/2021","3807","N885AS","DTW","06:55","06:55","93","92","0","07:11","16","0","0","0","0","0"
"OO","12/04/2021","3834","N802SK","DTW","14:20","14:15","91","84","-5","14:26","11","0","0","0","0","0"
"OO","12/04/2021","5221","N608UX","DEN","16:30","16:23","159","167","-7","16:53","30","0","0","0","0","0"
"OO","12/04/2021","5340","N144SY","DEN","11:00","10:53","157","135","-7","11:06","13","0","0","0","0","0"
"OO","12/04/2021","5550","N144SY","ORD","17:08","17:01","90","74","-7","17:10","9","0","0","0","0","0"
"OO","12/04/2021","5921","N121SY","DEN","08:45","09:00","165","149","15","09:24","24","0","0","0","0","0"
"OO","12/04/2022","5221","N782SK","DEN","16:25","16:17","149","157","-8","16:30","13","0","0","0","0","0"
"OO","12/04/2022","5579","N792SK","ORD","17:16","17:11","89","76","-5","17:23","12","0","0","0","0","0"
"OO","12/04/2023","5323","N113SY","IAH","11:05","11:04","144","131","-1","11:22","18","0","0","0","0","0"
"OO","12/04/2023","5437","N143SY","DEN","05:30","05:27","153","141","-3","05:37","10","0","0","0","0","0"
"OO","12/05/2021","3513","N836SK","DTW","10:24","15:42","91","88","318","15:54","12","315","0","0","0","0"
"OO","12/05/2021","3807","N803SK","DTW","06:55","08:35","95","77","100","08:47","12","82","0","0","0","0"
"OO","12/05/2021","4137","N830SK","DTW","17:27","17:47","93","93","20","17:59","12","20","0","0","0","0"
"OO","12/05/2021","5221","N624UX","DEN","16:30","16:29","159","157","-1","16:47","18","0","0","0","0","0"
"OO","12/05/2021","5550","N133SY","ORD","17:08","17:00","90","106","-8","17:17","17","0","0","0","0","0"
"OO","12/05/2021","5921","N793SK","DEN","08:45","08:44","161","156","-1","09:06","22","0","0","0","0","0"
"OO","12/05/2022","5221","N784SK","DEN","16:25","16:18","149","166","-7","16:41","23","0","0","0","0","0"
"OO","12/05/2022","5579","N786SK","ORD","17:16","17:05","89","81","-11","17:18","13","0","0","0","0","0"
"OO","12/05/2023","5437","N794SK","DEN","05:30","05:24","153","137","-6","05:39","15","0","0","0","0","0"
"OO","12/06/2021","3513","N549CA","DTW","10:24","10:19","91","83","-5","10:32","13","0","0","0","0","0"
"OO","12/06/2021","3807","N803SK","DTW","06:55","06:51","95","90","-4","07:08","17","0","0","0","0","0"
"OO","12/06/2021","4137","N689CA","DTW","17:27","17:22","93","105","-5","17:35","13","0","0","0","0","0"
"OO","12/06/2021","5221","N604UX","DEN","16:30","16:23","159","155","-7","16:36","13","0","0","0","0","0"
"OO","12/06/2021","5489","N114SY","ORD","11:30","11:26","88","78","-4","11:42","16","0","0","0","0","0"
"OO","12/06/2021","5550","N106SY","ORD","17:08","17:02","90","81","-6","17:17","15","0","0","0","0","0"
"OO","12/06/2021","5921","N790SK","DEN","08:45","08:44","161","145","-1","08:55","11","0","0","0","0","0"
"OO","12/06/2022","5221","N786SK","DEN","16:25","16:20","149","166","-5","16:33","13","0","0","0","0","0"
"OO","12/06/2022","5579","N793SK","ORD","17:16","17:06","89","64","-10","17:15","9","0","0","0","0","0"
"OO","12/06/2023","5323","N125SY","IAH","11:05","11:00","144","120","-5","11:11","11","0","0","0","0","0"
"OO","12/06/2023","5437","N141SY","DEN","05:30","05:20","153","140","-10","05:32","12","0","0","0","0","0"
"OO","12/07/2021","3513","N831SK","DTW","10:24","10:18","91","78","-6","10:28","10","0","0","0","0","0"
"OO","12/07/2021","3807","N805SK","DTW","06:55","06:49","95","85","-6","07:03","14","0","0","0","0","0"
"OO","12/07/2021","4137","N896SK","DTW","17:27","18:09","93","95","42","18:30","21","44","0","0","0","0"
"OO","12/07/2021","5221","N616UX","DEN","16:30","16:22","159","164","-8","16:40","18","0","0","0","0","0"
"OO","12/07/2021","5489","N213SY","ORD","11:30","11:23","88","79","-7","11:40","17","0","0","0","0","0"
"OO","12/07/2021","5550","N206SY","ORD","17:08","17:05","90","80","-3","17:18","13","0","0","0","0","0"
"OO","12/07/2021","5921","N792SK","DEN","08:45","08:40","161","157","-5","08:53","13","0","0","0","0","0"
"OO","12/07/2022","5221","N793SK","DEN","16:25","16:20","149","160","-5","16:34","14","0","0","0","0","0"
"OO","12/07/2022","5579","N797SK","ORD","17:16","17:04","89","76","-12","17:15","11","0","0","0","0","0"
"OO","12/07/2023","5323","N125SY","IAH","11:05","10:56","144","132","-9","11:13","17","0","0","0","0","0"
"OO","12/07/2023","5437","N145SY","DEN","05:30","06:12","153","132","42","06:24","12","21","0","0","0","0"
"OO","12/08/2021","3513","N831SK","DTW","10:24","10:17","91","91","-7","10:29","12","0","0","0","0","0"
"OO","12/08/2021","3807","N809SK","DTW","06:55","06:44","95","85","-11","06:58","14","0","0","0","0","0"
"OO","12/08/2021","4137","N825SK","DTW","17:27","22:37","93","78","310","22:48","11","295","0","0","0","0"
"OO","12/08/2021","5221","N603UX","DEN","16:30","16:20","159","143","-10","16:33","13","0","0","0","0","0"
"OO","12/08/2021","5489","N114SY","ORD","11:30","11:24","88","89","-6","11:42","18","0","0","0","0","0"
"OO","12/08/2021","5550","N163SY","ORD","17:08","17:03","90","85","-5","17:24","21","0","0","0","0","0"
"OO","12/08/2022","5221","N795SK","DEN","16:25","16:16","149","158","-9","16:28","12","0","0","0","0","0"
"OO","12/08/2022","5579","N792SK","ORD","17:16","17:32","89","98","16","18:10","38","0","0","0","0","25"
"OO","12/08/2023","5323","N116SY","IAH","11:05","11:25","144","134","20","11:39","14","0","0","0","0","0"
"OO","12/08/2023","5437","N167SY","DEN","05:30","05:28","153","147","-2","05:42","14","0","0","0","0","0"
"OO","12/09/2021","3513","N830SK","DTW","10:24","10:21","91","82","-3","10:33","12","0","0","0","0","0"
"OO","12/09/2021","3807","N885AS","DTW","06:55","15:20","95","86","505","15:31","11","496","0","0","0","0"
"OO","12/09/2021","4137","N162PQ","DTW","17:27","18:08","93","89","41","18:25","17","37","0","0","0","0"
"OO","12/09/2021","5221","N609UX","DEN","16:30","16:24","159","147","-6","16:35","11","0","0","0","0","0"
"OO","12/09/2021","5489","N109SY","ORD","11:30","11:24","88","78","-6","11:38","14","0","0","0","0","0"
"OO","12/09/2021","5550","N162SY","ORD","17:08","17:00","90","78","-8","17:10","10","0","0","0","0","0"
"OO","12/09/2022","5221","N797SK","DEN","16:25","18:26","149","151","121","18:42","16","0","0","0","0","123"
"OO","12/09/2022","5579","N784SK","ORD","17:16","17:14","89","77","-2","17:31","17","0","0","0","0","0"
"OO","12/09/2023","5323","N109SY","IAH","11:05","11:00","144","132","-5","11:10","10","0","0","0","0","0"
"OO","12/09/2023","5437","N202SY","DEN","05:30","05:24","153","145","-6","05:38","14","0","0","0","0","0"
"OO","12/09/2023","5622","N113SY","ORD","11:35","12:27","80","80","52","12:42","15","52","0","0","0","0"
"OO","12/10/2021","3513","N836SK","DTW","10:24","12:25","91","89","121","12:40","15","119","0","0","0","0"
"OO","12/10/2021","3807","N825SK","DTW","06:55","06:49","95","93","-6","07:09","20","0","0","0","0","0"
