Detailed Statistics Departures  
Origin Airport: St. Louis, MO: St Louis Lambert International (STL)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1710","N69818","ORD","15:05","14:56","77","80","-9","15:12","16","0","0","0","0","0"
"UA","12/01/2021","1856","N899UA","IAH","06:30","06:22","139","138","-8","06:53","31","0","0","0","0","0"
"UA","12/01/2021","2280","N826UA","DEN","13:30","13:20","145","157","-10","13:57","37","0","0","0","0","0"
"UA","12/01/2022","1152","N825UA","EWR","06:05","05:57","144","135","-8","06:11","14","0","0","0","0","0"
"UA","12/01/2022","1460","N847UA","EWR","13:06","13:33","144","143","27","13:42","9","0","0","17","0","9"
"UA","12/01/2022","1548","N871UA","IAH","06:10","06:14","134","140","4","06:30","16","0","0","0","0","0"
"UA","12/01/2022","1561","N37252","DEN","07:15","07:11","148","132","-4","07:24","13","0","0","0","0","0"
"UA","12/01/2022","1762","N458UA","DEN","13:27","13:47","144","135","20","14:00","13","0","0","0","0","0"
"UA","12/01/2022","1882","N15712","ORD","11:28","11:28","80","66","0","11:39","11","0","0","0","0","0"
"UA","12/01/2023","0528","N894UA","EWR","17:36","17:27","144","128","-9","17:39","12","0","0","0","0","0"
"UA","12/01/2023","1320","N25201","DEN","08:45","08:45","147","167","0","09:13","28","0","0","20","0","0"
"UA","12/01/2023","1453","N18243","ORD","17:39","17:27","76","89","-12","17:42","15","0","0","0","0","0"
"UA","12/01/2023","2239","N78509","DEN","16:39","16:29","147","152","-10","16:52","23","0","0","0","0","0"
"UA","12/01/2023","2241","N15751","IAH","16:43","16:37","132","158","-6","16:47","10","0","0","20","0","0"
"UA","12/01/2023","2442","N801UA","IAH","06:15","06:12","132","124","-3","06:24","12","0","0","0","0","0"
"UA","12/01/2023","2625","N437UA","DEN","13:38","13:31","142","135","-7","13:42","11","0","0","0","0","0"
"UA","12/02/2021","1710","N13718","ORD","15:05","14:57","77","73","-8","15:10","13","0","0","0","0","0"
"UA","12/02/2021","1856","N829UA","IAH","06:30","06:28","139","116","-2","06:40","12","0","0","0","0","0"
"UA","12/02/2021","2280","N876UA","DEN","13:30","13:29","145","132","-1","13:41","12","0","0","0","0","0"
"UA","12/02/2022","1152","N847UA","EWR","06:05","06:01","144","151","-4","06:15","14","0","0","0","0","0"
"UA","12/02/2022","1460","N847UA","EWR","13:06","13:07","144","138","1","13:19","12","0","0","0","0","0"
"UA","12/02/2022","1548","N852UA","IAH","06:10","06:00","134","124","-10","06:12","12","0","0","0","0","0"
"UA","12/02/2022","1561","N37263","DEN","07:15","07:06","148","140","-9","07:20","14","0","0","0","0","0"
"UA","12/02/2022","1762","N811UA","DEN","13:27","13:32","144","141","5","13:41","9","0","0","0","0","0"
"UA","12/02/2022","1882","N874UA","ORD","11:28","11:25","80","66","-3","11:34","9","0","0","0","0","0"
"UA","12/02/2023","0528","N462UA","EWR","17:36","17:36","144","120","0","17:50","14","0","0","0","0","0"
"UA","12/02/2023","1320","N37253","DEN","08:45","08:56","147","132","11","09:10","14","0","0","0","0","0"
"UA","12/02/2023","1453","N35236","ORD","17:39","17:41","76","71","2","17:54","13","0","0","0","0","0"
"UA","12/02/2023","2239","N37273","DEN","16:39","16:50","147","140","11","17:04","14","0","0","0","0","0"
"UA","12/02/2023","2442","N814UA","IAH","06:15","06:09","132","138","-6","06:20","11","0","0","0","0","0"
"UA","12/02/2023","2625","N17302","DEN","13:42","13:38","145","136","-4","13:50","12","0","0","0","0","0"
"UA","12/03/2021","1710","N76254","ORD","15:05","15:00","77","66","-5","15:13","13","0","0","0","0","0"
"UA","12/03/2021","1856","N469UA","IAH","06:30","06:29","139","117","-1","06:40","11","0","0","0","0","0"
"UA","12/03/2021","2280","N881UA","DEN","13:30","13:42","145","132","12","13:54","12","0","0","0","0","0"
"UA","12/03/2022","1152","N843UA","EWR","06:05","06:01","144","125","-4","06:15","14","0","0","0","0","0"
"UA","12/03/2022","1460","N843UA","EWR","13:06","12:55","144","131","-11","13:10","15","0","0","0","0","0"
