Detailed Statistics Departures  
Origin Airport: State College, PA: University Park (SCE)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/03/2021","2271","247NV","SFB","09:12","09:19","138","136","7","09:28","9","0","0","0","0","0"
"G4","12/06/2021","2271","238NV","SFB","09:12","09:15","138","145","3","09:23","8","0","0","0","0","0"
"G4","12/10/2021","2271","285NV","SFB","09:12","09:18","138","133","6","09:29","11","0","0","0","0","0"
"G4","12/13/2021","2271","238NV","SFB","09:12","09:10","138","133","-2","09:20","10","0","0","0","0","0"
"G4","12/17/2021","2400","310NV","SFB","21:11","21:52","137","137","41","22:03","11","18","0","0","0","23"
"G4","12/20/2021","2491","331NV","SFB","09:07","09:19","137","133","12","09:23","4","0","0","0","0","0"
"G4","12/24/2021","2517","294NV","SFB","09:07","09:30","137","119","23","09:36","6","0","0","0","0","0"
"G4","12/27/2021","2430","236NV","SFB","09:02","09:36","137","182","34","10:41","65","34","0","45","0","0"
"G4","12/31/2021","2400","311NV","SFB","20:33","22:19","137","137","106","22:27","8","15","0","0","0","91"

 SOURCE: Bureau of Transportation Statistics
