Detailed Statistics Departures  
Origin Airport: State College, PA: University Park (SCE)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","3675","N498CA","DTW","15:48","15:47","92","77","-1","15:57","10","0","0","0","0","0"
"OO","12/01/2023","5264","N794SK","ORD","06:45","06:40","126","123","-5","06:56","16","0","0","0","0","0"
"OO","12/01/2023","5331","N138SY","ORD","17:38","17:28","125","138","-10","17:41","13","0","0","0","0","0"
"OO","12/01/2023","5660","N908SW","ORD","12:07","11:56","128","119","-11","12:06","10","0","0","0","0","0"
"OO","12/02/2022","3675","N712EV","DTW","15:48","15:39","92","67","-9","15:45","6","0","0","0","0","0"
"OO","12/02/2023","5264","N789SK","ORD","06:45","06:35","126","128","-10","06:50","15","0","0","0","0","0"
"OO","12/02/2023","5331","N160SY","ORD","17:38","17:28","125","131","-10","17:45","17","0","0","0","0","0"
"OO","12/02/2023","5660","N881AS","ORD","12:07","11:57","128","138","-10","12:10","13","0","0","0","0","0"
"OO","12/03/2022","3675","N712EV","DTW","13:00","12:50","81","72","-10","12:58","8","0","0","0","0","0"
"OO","12/03/2023","5264","N790SK","ORD","06:45","06:35","126","115","-10","06:45","10","0","0","0","0","0"
"OO","12/03/2023","5331","N609UX","ORD","17:38","18:26","125","112","48","18:36","10","35","0","0","0","0"
"OO","12/03/2023","5660","N856AS","ORD","12:07","14:36","128","115","149","14:45","9","0","136","0","0","0"
"OO","12/04/2022","3675","N607SK","DTW","15:48","15:43","92","75","-5","15:53","10","0","0","0","0","0"
"OO","12/04/2023","5264","N790SK","ORD","06:45","06:39","126","115","-6","06:57","18","0","0","0","0","0"
"OO","12/04/2023","5331","N208SY","ORD","17:38","17:33","125","110","-5","17:44","11","0","0","0","0","0"
