Detailed Statistics Departures  
Origin Airport: Staunton, VA: Shenandoah Valley Regional (SHD)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5106","N907SW","ORD","13:57","13:49","126","117","-8","14:04","15","0","0","0","0","0"
"OO","12/01/2021","5146","N957SW","IAD","06:10","06:06","65","71","-4","06:39","33","0","0","0","0","0"
"OO","12/02/2021","5106","N455SW","ORD","13:57","14:02","126","130","5","14:07","5","0","0","0","0","0"
"OO","12/02/2021","5146","N455SW","IAD","06:10","06:09","65","54","-1","06:26","17","0","0","0","0","0"
"OO","12/03/2021","5106","N910EV","ORD","13:57","13:55","126","113","-2","14:02","7","0","0","0","0","0"
"OO","12/03/2021","5146","N910EV","IAD","06:10","05:56","65","51","-14","06:14","18","0","0","0","0","0"
"OO","12/04/2021","5106","N417SW","ORD","13:57","13:48","126","117","-9","14:07","19","0","0","0","0","0"
"OO","12/04/2021","5146","N417SW","IAD","06:10","06:06","65","51","-4","06:30","24","0","0","0","0","0"
"OO","12/05/2021","5106","N417SW","ORD","13:57","13:56","126","115","-1","14:04","8","0","0","0","0","0"
"OO","12/05/2021","5146","N980SW","IAD","06:10","06:03","65","51","-7","06:27","24","0","0","0","0","0"
"OO","12/06/2021","5106","N472CA","ORD","13:57","13:52","126","124","-5","14:05","13","0","0","0","0","0"
"OO","12/06/2021","5146","N472CA","IAD","06:10","06:00","65","39","-10","06:05","5","0","0","0","0","0"
"OO","12/07/2021","5106","N465SW","ORD","13:57","14:00","126","119","3","14:16","16","0","0","0","0","0"
"OO","12/07/2021","5146","N472CA","IAD","06:10","06:00","65","33","-10","06:05","5","0","0","0","0","0"
"OO","12/08/2021","5106","N432SW","ORD","13:57","14:56","126","132","59","15:20","24","0","0","0","0","65"
"OO","12/08/2021","5146","N904EV","IAD","06:10","06:03","65","37","-7","06:07","4","0","0","0","0","0"
"OO","12/09/2021","5106","N679SA","ORD","13:57","13:47","126","115","-10","14:04","17","0","0","0","0","0"
"OO","12/09/2021","5146","N679SA","IAD","06:10","06:09","65","53","-1","06:33","24","0","0","0","0","0"
"OO","12/10/2021","5106","N487CA","ORD","13:57","13:45","126","131","-12","14:03","18","0","0","0","0","0"
"OO","12/10/2021","5146","N978SW","IAD","06:10","06:24","65","44","14","06:30","6","0","0","0","0","0"
"OO","12/11/2021","5106","N943SW","ORD","13:57","13:47","126","126","-10","14:07","20","0","0","0","0","0"
"OO","12/11/2021","5146","N943SW","IAD","06:10","07:36","65","38","86","07:45","9","59","0","0","0","0"
"OO","12/12/2021","5106","N913EV","ORD","13:57","13:47","126","127","-10","13:57","10","0","0","0","0","0"
"OO","12/12/2021","5146","N913EV","IAD","06:10","06:07","65","44","-3","06:22","15","0","0","0","0","0"
"OO","12/13/2021","5106","N904EV","ORD","13:57","13:47","126","107","-10","13:57","10","0","0","0","0","0"
"OO","12/13/2021","5146","N904EV","IAD","06:10","06:23","65","49","13","06:47","24","0","0","0","0","0"
"OO","12/14/2021","5106","N943SW","ORD","13:57","13:47","126","123","-10","14:04","17","0","0","0","0","0"
"OO","12/14/2021","5146","N943SW","IAD","06:10","06:00","65","55","-10","06:22","22","0","0","0","0","0"
"OO","12/15/2021","5106","N472CA","ORD","13:57","14:46","126","108","49","14:55","9","31","0","0","0","0"
"OO","12/15/2021","5146","N472CA","IAD","06:10","06:03","65","61","-7","06:28","25","0","0","0","0","0"
"OO","12/16/2021","5106","N679SA","ORD","12:40","12:32","125","109","-8","12:46","14","0","0","0","0","0"
"OO","12/16/2021","5146","N980SW","IAD","08:31","08:27","55","39","-4","08:32","5","0","0","0","0","0"
"OO","12/17/2021","5106","N465SW","ORD","12:40","13:42","125","116","62","13:55","13","53","0","0","0","0"
"OO","12/17/2021","5146","N969SW","IAD","08:31","08:23","55","46","-8","08:36","13","0","0","0","0","0"
"OO","12/18/2021","5106","N967SW","ORD","12:40","12:43","125","114","3","12:59","16","0","0","0","0","0"
"OO","12/18/2021","5146","N967SW","IAD","08:31","08:28","55","54","-3","08:47","19","0","0","0","0","0"
