Detailed Statistics Departures  
Origin Airport: Stillwater, OK: Stillwater Regional (SWO)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3706","N616AE","DFW","06:20","06:16","77","60","-4","06:29","13","0","0","0","0","0"
"MQ","12/01/2021","3881","N619AE","DFW","14:37","14:31","67","61","-6","14:38","7","0","0","0","0","0"
"MQ","12/02/2021","3706","N693AE","DFW","06:20","06:32","77","61","12","06:45","13","0","0","0","0","0"
"MQ","12/02/2021","3881","N684JW","DFW","14:37","14:38","67","55","1","14:45","7","0","0","0","0","0"
"MQ","12/03/2021","3706","N688AE","DFW","06:20","06:20","77","63","0","06:30","10","0","0","0","0","0"
"MQ","12/03/2021","3881","N687JS","DFW","14:37","14:35","67","62","-2","14:46","11","0","0","0","0","0"
"MQ","12/04/2021","3706","N607AE","DFW","06:20","06:24","77","64","4","06:33","9","0","0","0","0","0"
"MQ","12/04/2021","3881","N922AE","DFW","14:37","14:53","67","66","16","15:09","16","3","0","0","0","12"
"MQ","12/05/2021","3881","N931AE","DFW","14:37","14:26","67","72","-11","14:44","18","0","0","0","0","0"
"MQ","12/06/2021","3706","N619AE","DFW","06:20","06:11","77","73","-9","06:27","16","0","0","0","0","0"
"MQ","12/06/2021","3881","N611AE","DFW","14:37","14:24","67","73","-13","14:34","10","0","0","0","0","0"
"MQ","12/07/2021","3881","N606AE","DFW","14:37","14:29","67","58","-8","14:37","8","0","0","0","0","0"
"MQ","12/08/2021","3881","N694AE","DFW","14:37","14:33","67","67","-4","14:41","8","0","0","0","0","0"
"MQ","12/09/2021","3706","N612AE","DFW","06:20","06:08","77","73","-12","06:23","15","0","0","0","0","0"
"MQ","12/09/2021","3881","N618AE","DFW","14:37","14:34","67","69","-3","14:46","12","0","0","0","0","0"
"MQ","12/10/2021","3706","N616AE","DFW","06:20","06:17","77","70","-3","06:30","13","0","0","0","0","0"
"MQ","12/10/2021","3881","N673AE","DFW","14:37","14:33","67","87","-4","15:00","27","0","0","16","0","0"
"MQ","12/11/2021","3706","N687JS","DFW","06:20","06:13","77","73","-7","06:23","10","0","0","0","0","0"
"MQ","12/11/2021","3881","N922AE","DFW","14:37","14:37","67","68","0","14:48","11","0","0","0","0","0"
"MQ","12/12/2021","3881","N681AE","DFW","14:37","14:30","67","53","-7","14:35","5","0","0","0","0","0"
"MQ","12/13/2021","3706","N928AE","DFW","06:20","06:15","77","61","-5","06:25","10","0","0","0","0","0"
"MQ","12/13/2021","3881","N687JS","DFW","14:37","14:35","67","56","-2","14:41","6","0","0","0","0","0"
"MQ","12/14/2021","3881","N616AE","DFW","14:37","14:32","67","84","-5","15:07","35","0","0","0","0","0"
