Detailed Statistics Departures  
Origin Airport: Stillwater, OK: Stillwater Regional (SWO)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","4915","N718EV","DFW","14:33","14:23","70","62","-10","14:35","12","0","0","0","0","0"
"OO","12/01/2022","4926","N724EV","DFW","06:10","06:03","70","68","-7","06:16","13","0","0","0","0","0"
"OO","12/01/2023","3072","N758SK","DFW","06:00","05:49","88","73","-11","05:59","10","0","0","0","0","0"
"OO","12/01/2023","3198","N632SK","DFW","14:27","14:20","75","70","-7","14:29","9","0","0","0","0","0"
"OO","12/02/2022","4915","N702SK","DFW","14:33","14:42","70","69","9","14:54","12","0","0","0","0","0"
"OO","12/02/2022","4926","N758SK","DFW","06:10","06:36","70","80","26","07:04","28","0","0","0","36","0"
"OO","12/02/2023","3072","N706SK","DFW","06:00","05:50","88","63","-10","06:01","11","0","0","0","0","0"
"OO","12/02/2023","3198","N763SK","DFW","14:27","14:17","75","59","-10","14:24","7","0","0","0","0","0"
"OO","12/03/2022","4915","N719SK","DFW","14:33","14:21","70","66","-12","14:31","10","0","0","0","0","0"
"OO","12/03/2022","4926","N709SK","DFW","06:10","05:59","70","90","-11","06:25","26","0","0","0","0","0"
"OO","12/03/2023","3072","N726SK","DFW","06:00","05:44","88","105","-16","06:36","52","0","0","0","0","0"
"OO","12/03/2023","3198","N766SK","DFW","14:27","14:20","75","68","-7","14:37","17","0","0","0","0","0"
"OO","12/04/2022","4915","N630SK","DFW","14:33","14:27","70","64","-6","14:40","13","0","0","0","0","0"
"OO","12/04/2022","4926","N758SK","DFW","06:10","06:00","70","83","-10","06:24","24","0","0","0","0","0"
"OO","12/04/2023","3072","N609SK","DFW","06:00","05:50","88","73","-10","06:04","14","0","0","0","0","0"
"OO","12/04/2023","3198","N709SK","DFW","14:27","14:17","75","66","-10","14:27","10","0","0","0","0","0"
"OO","12/05/2022","4915","N774SK","DFW","14:33","14:32","70","66","-1","14:50","18","0","0","0","0","0"
"OO","12/05/2022","4926","N771SK","DFW","06:10","06:01","70","77","-9","06:22","21","0","0","0","0","0"
"OO","12/05/2023","3072","N607SK","DFW","06:00","05:51","89","58","-9","05:57","6","0","0","0","0","0"
"OO","12/05/2023","3198","N708EV","DFW","14:27","14:17","75","69","-10","14:22","5","0","0","0","0","0"
"OO","12/06/2022","4915","N656CA","DFW","14:33","14:38","70","69","5","14:51","13","0","0","0","0","0"
"OO","12/06/2022","4926","N604SK","DFW","06:10","06:00","70","73","-10","06:18","18","0","0","0","0","0"
"OO","12/06/2023","3072","N758SK","DFW","06:00","05:50","89","79","-10","06:15","25","0","0","0","0","0"
"OO","12/06/2023","3198","N758SK","DFW","14:27","14:12","75","58","-15","14:23","11","0","0","0","0","0"
"OO","12/07/2022","4915","N765SK","DFW","14:33","14:42","70","74","9","14:56","14","0","0","0","0","0"
"OO","12/07/2022","4926","N707SK","DFW","06:10","06:02","70","97","-8","06:31","29","19","0","0","0","0"
"OO","12/07/2023","3072","N611SK","DFW","06:00","05:50","89","75","-10","06:15","25","0","0","0","0","0"
"OO","12/07/2023","3198","N724SK","DFW","14:27","14:18","75","63","-9","14:29","11","0","0","0","0","0"
"OO","12/08/2022","4915","N730SK","DFW","14:33","14:29","70","65","-4","14:41","12","0","0","0","0","0"
"OO","12/08/2022","4926","N756SK","DFW","06:10","06:06","70","85","-4","06:30","24","0","0","0","0","0"
"OO","12/08/2023","3072","N633SK","DFW","06:00","05:55","89","69","-5","06:06","11","0","0","0","0","0"
"OO","12/08/2023","3198","N726SK","DFW","14:27","14:20","75","60","-7","14:27","7","0","0","0","0","0"
