Detailed Statistics Departures  
Origin Airport: Stockton, CA: Stockton Metro (SCK)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","0226","318NV","LAS","19:55","19:49","68","65","-6","19:54","5","0","0","0","0","0"
"G4","12/01/2022","0048","313NV","LAS","22:27","22:40","72","65","13","22:44","4","0","0","0","0","0"
"G4","12/01/2022","0077","262NV","LAS","14:46","14:52","72","83","6","15:09","17","5","0","11","0","1"
"G4","12/01/2023","0009","218NV","LAS","18:26","18:31","75","73","5","18:41","10","0","0","0","0","0"
"G4","12/01/2023","0053","301NV","LAS","15:56","16:09","75","91","13","16:29","20","0","0","16","0","13"
"G4","12/01/2023","1739","301NV","PHX","10:40","10:53","103","109","13","11:06","13","0","0","6","13","0"
"G4","12/02/2021","0226","239NV","LAS","22:05","00:00","68","0","0","00:00","0","0","0","0","0","0"
"G4","12/02/2021","0234","239NV","LAS","16:05","16:05","68","75","0","16:17","12","0","0","0","0","0"
"G4","12/02/2022","0008","262NV","LAS","09:15","11:02","72","84","107","11:18","16","0","0","12","0","107"
"G4","12/02/2022","0048","307NV","LAS","21:24","22:37","72","69","73","22:43","6","29","0","0","0","41"
"G4","12/02/2022","1727","307NV","PHX","16:27","16:58","100","103","31","17:10","12","0","0","3","0","31"
"G4","12/03/2021","0226","","LAS","21:55","00:00","68","0","0","00:00","0","0","0","0","0","0"
