Detailed Statistics Departures  
Origin Airport: Sun Valley/Hailey/Ketchum, ID: Friedman Memorial (SUN)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3591","N276SY","SLC","07:28","07:24","62","62","-4","07:38","14","0","0","0","0","0"
"OO","12/01/2021","3980","N298SY","SLC","15:35","15:29","62","52","-6","15:37","8","0","0","0","0","0"
"OO","12/01/2021","5419","N617UX","DEN","14:30","14:24","110","100","-6","14:35","11","0","0","0","0","0"
"OO","12/01/2022","3591","N274SY","SLC","07:30","07:29","64","79","-1","08:08","39","0","0","0","0","0"
"OO","12/01/2022","3763","N269SY","SLC","13:16","19:42","68","69","386","20:08","26","0","387","0","0","0"
"OO","12/01/2022","5656","N622UX","DEN","14:30","00:00","110","0","0","00:00","0","0","0","0","0","0"
"OO","12/01/2023","4124","N289SY","SLC","13:20","13:26","64","72","6","13:50","24","0","0","0","0","0"
"OO","12/01/2023","4131","N284SY","SLC","07:30","07:20","69","67","-10","07:42","22","0","0","0","0","0"
"OO","12/01/2023","5656","N610UX","DEN","14:25","14:51","117","111","26","15:14","23","0","0","0","0","20"
"OO","12/02/2021","3591","N282SY","SLC","07:28","07:22","62","57","-6","07:37","15","0","0","0","0","0"
"OO","12/02/2021","3980","N285SY","SLC","15:35","15:39","62","63","4","15:58","19","0","0","0","0","0"
"OO","12/02/2021","5419","N603UX","DEN","14:30","16:06","110","117","96","16:36","30","0","0","0","0","103"
"OO","12/02/2022","3591","N272SY","SLC","07:30","07:25","64","66","-5","07:41","16","0","0","0","0","0"
"OO","12/02/2022","3763","N280SY","SLC","13:16","13:12","68","61","-4","13:27","15","0","0","0","0","0"
"OO","12/02/2022","5656","N619UX","DEN","14:30","14:29","110","98","-1","14:43","14","0","0","0","0","0"
"OO","12/02/2023","4124","N272SY","SLC","13:20","19:41","64","68","381","20:12","31","0","381","4","0","0"
"OO","12/02/2023","4131","N281SY","SLC","07:30","07:16","69","59","-14","07:39","23","0","0","0","0","0"
"OO","12/02/2023","5656","N610UX","DEN","14:25","00:00","117","0","0","00:00","0","0","0","0","0","0"
"OO","12/03/2021","3591","N282SY","SLC","07:28","07:24","62","70","-4","07:47","23","0","0","0","0","0"
"OO","12/03/2021","3980","N278SY","SLC","15:35","15:29","62","53","-6","15:39","10","0","0","0","0","0"
"OO","12/03/2021","5419","N618UX","DEN","14:30","14:24","110","106","-6","14:37","13","0","0","0","0","0"
"OO","12/03/2022","3591","N280SY","SLC","07:30","07:20","64","71","-10","07:39","19","0","0","0","0","0"
"OO","12/03/2022","3763","N269SY","SLC","13:16","13:13","68","56","-3","13:23","10","0","0","0","0","0"
"OO","12/03/2022","5656","N602UX","DEN","14:30","14:20","110","104","-10","14:39","19","0","0","0","0","0"
"OO","12/03/2023","4124","N281SY","SLC","13:20","13:01","64","65","-19","13:26","25","0","0","0","0","0"
"OO","12/03/2023","4131","N288SY","SLC","07:30","07:13","69","64","-17","07:38","25","0","0","0","0","0"
"OO","12/03/2023","5656","N610UX","DEN","14:25","14:10","117","107","-15","14:38","28","0","0","0","0","0"
"OO","12/04/2021","3591","N288SY","SLC","07:28","07:23","62","55","-5","07:40","17","0","0","0","0","0"
"OO","12/04/2021","5544","N618UX","DEN","14:30","14:20","110","87","-10","14:27","7","0","0","0","0","0"
"OO","12/04/2022","3591","N268SY","SLC","07:30","07:29","64","112","-1","08:41","72","47","0","0","0","0"
"OO","12/04/2022","3763","N284SY","SLC","13:16","13:22","68","92","6","14:07","45","0","30","0","0","0"
"OO","12/04/2022","5656","N621UX","DEN","14:30","14:22","110","140","-8","15:19","57","22","0","0","0","0"
"OO","12/04/2023","4124","N279SY","SLC","13:20","13:15","64","52","-5","13:30","15","0","0","0","0","0"
"OO","12/04/2023","4131","N276SY","SLC","07:30","07:12","69","59","-18","07:32","20","0","0","0","0","0"
"OO","12/04/2023","5656","N601UX","DEN","14:25","14:16","117","113","-9","14:38","22","0","0","0","0","0"
"OO","12/05/2021","3591","N264SY","SLC","07:28","07:22","66","43","-6","07:30","8","0","0","0","0","0"
"OO","12/05/2021","3763","N273SY","SLC","13:10","13:00","71","62","-10","13:23","23","0","0","0","0","0"
"OO","12/05/2021","5544","N611UX","DEN","14:30","14:20","110","102","-10","14:40","20","0","0","0","0","0"
"OO","12/05/2022","3591","N284SY","SLC","07:30","09:47","64","51","137","09:56","9","0","124","0","0","0"
"OO","12/05/2022","3763","N278SY","SLC","13:16","21:35","68","45","499","21:40","5","0","476","0","0","0"
"OO","12/05/2022","5656","N619UX","DEN","14:30","14:19","110","99","-11","14:30","11","0","0","0","0","0"
"OO","12/05/2023","4124","N268SY","SLC","13:20","13:10","64","57","-10","13:31","21","0","0","0","0","0"
"OO","12/05/2023","4131","N270SY","SLC","07:30","07:26","69","61","-4","07:41","15","0","0","0","0","0"
"OO","12/05/2023","5656","N625UX","DEN","14:25","14:12","117","109","-13","14:34","22","0","0","0","0","0"
"OO","12/06/2021","3591","N272SY","SLC","07:28","07:21","66","44","-7","07:28","7","0","0","0","0","0"
"OO","12/06/2021","3763","N262SY","SLC","13:10","13:07","71","67","-3","13:30","23","0","0","0","0","0"
"OO","12/06/2021","5544","N610UX","DEN","14:30","14:18","110","99","-12","14:25","7","0","0","0","0","0"
"OO","12/06/2022","3591","N293SY","SLC","07:30","07:50","64","107","20","08:35","45","0","63","0","0","0"
"OO","12/06/2022","3763","N284SY","SLC","13:16","14:13","68","62","57","14:29","16","51","0","0","0","0"
"OO","12/06/2022","5656","N617UX","DEN","14:30","14:23","110","103","-7","14:35","12","0","0","0","0","0"
"OO","12/06/2023","4124","N274SY","SLC","13:20","13:17","64","54","-3","13:27","10","0","0","0","0","0"
"OO","12/06/2023","4131","N291SY","SLC","07:30","07:24","69","67","-6","07:39","15","0","0","0","0","0"
"OO","12/06/2023","5656","N606UX","DEN","14:25","14:20","117","96","-5","14:29","9","0","0","0","0","0"
"OO","12/07/2021","3591","N272SY","SLC","07:28","07:22","66","58","-6","07:38","16","0","0","0","0","0"
"OO","12/07/2021","3763","N272SY","SLC","13:10","13:01","71","70","-9","13:28","27","0","0","0","0","0"
"OO","12/07/2021","5544","N612UX","DEN","14:30","14:12","110","111","-18","14:34","22","0","0","0","0","0"
"OO","12/07/2022","3591","N284SY","SLC","07:30","07:20","64","66","-10","07:39","19","0","0","0","0","0"
"OO","12/07/2022","3763","N267SY","SLC","13:16","13:14","68","75","-2","13:43","29","0","0","0","0","0"
"OO","12/07/2022","5656","N602UX","DEN","14:30","14:29","110","99","-1","14:34","5","0","0","0","0","0"
"OO","12/07/2023","4124","N287SY","SLC","13:06","12:59","75","52","-7","13:10","11","0","0","0","0","0"
"OO","12/07/2023","4131","N274SY","SLC","07:29","07:20","80","63","-9","07:36","16","0","0","0","0","0"
"OO","12/07/2023","5656","N605UX","DEN","14:25","14:08","117","109","-17","14:26","18","0","0","0","0","0"
"OO","12/08/2021","3591","N250SY","SLC","07:28","07:22","66","67","-6","07:42","20","0","0","0","0","0"
"OO","12/08/2021","3763","N280SY","SLC","13:10","13:04","71","60","-6","13:22","18","0","0","0","0","0"
"OO","12/08/2021","5544","N617UX","DEN","14:30","14:22","110","98","-8","14:32","10","0","0","0","0","0"
"OO","12/08/2022","3591","N285SY","SLC","07:30","07:18","64","71","-12","07:43","25","0","0","0","0","0"
"OO","12/08/2022","3763","N267SY","SLC","13:16","13:18","68","59","2","13:31","13","0","0","0","0","0"
"OO","12/08/2022","5656","N617UX","DEN","14:30","15:26","110","102","56","15:42","16","0","0","0","0","48"
"OO","12/08/2023","4124","N283SY","SLC","13:06","13:01","75","59","-5","13:13","12","0","0","0","0","0"
"OO","12/08/2023","4131","N290SY","SLC","07:29","07:26","80","76","-3","07:55","29","0","0","0","0","0"
"OO","12/08/2023","5656","N625UX","DEN","14:25","14:20","117","104","-5","14:30","10","0","0","0","0","0"
"OO","12/09/2021","3591","N291SY","SLC","07:28","07:22","66","55","-6","07:30","8","0","0","0","0","0"
"OO","12/09/2021","3763","N280SY","SLC","13:10","13:00","71","77","-10","13:23","23","0","0","0","0","0"
"OO","12/09/2021","5544","N621UX","DEN","14:30","14:20","110","99","-10","14:27","7","0","0","0","0","0"
"OO","12/09/2022","3591","N272SY","SLC","07:30","07:24","64","97","-6","08:19","55","27","0","0","0","0"
"OO","12/09/2022","3763","N250SY","SLC","13:16","15:21","68","56","125","15:35","14","113","0","0","0","0"
"OO","12/09/2022","5656","N622UX","DEN","14:30","14:19","110","97","-11","14:29","10","0","0","0","0","0"
"OO","12/09/2023","4124","N262SY","SLC","13:06","12:58","75","80","-8","13:26","28","0","0","0","0","0"
"OO","12/09/2023","4131","N284SY","SLC","07:29","07:16","80","62","-13","07:36","20","0","0","0","0","0"
"OO","12/09/2023","5656","N607UX","DEN","14:25","14:15","117","94","-10","14:24","9","0","0","0","0","0"
"OO","12/10/2021","3591","N291SY","SLC","07:28","07:26","66","93","-2","08:02","36","25","0","0","0","0"
"OO","12/10/2021","3763","N285SY","SLC","13:10","13:05","71","67","-5","13:28","23","0","0","0","0","0"
"OO","12/10/2021","5544","N618UX","DEN","14:30","14:16","110","96","-14","14:25","9","0","0","0","0","0"
"OO","12/10/2022","3591","N273SY","SLC","07:30","07:28","64","68","-2","07:52","24","0","0","0","0","0"
"OO","12/10/2022","3763","N289SY","SLC","13:16","13:04","68","73","-12","13:34","30","0","0","0","0","0"
"OO","12/10/2022","5656","N619UX","DEN","14:30","14:21","110","139","-9","15:07","46","20","0","0","0","0"
"OO","12/10/2023","4124","N265SY","SLC","13:06","13:02","75","62","-4","13:20","18","0","0","0","0","0"
"OO","12/10/2023","4131","N289SY","SLC","07:29","07:18","80","47","-11","07:29","11","0","0","0","0","0"
"OO","12/10/2023","5656","N616UX","DEN","14:25","14:31","117","117","6","15:00","29","0","0","0","0","0"
"OO","12/11/2021","3591","N291SY","SLC","07:28","07:24","66","53","-4","07:35","11","0","0","0","0","0"
"OO","12/11/2021","3763","N272SY","SLC","13:10","13:04","71","79","-6","13:37","33","0","0","0","0","0"
"OO","12/11/2021","5544","N607UX","DEN","14:30","14:20","110","90","-10","14:31","11","0","0","0","0","0"
"OO","12/11/2022","3591","N285SY","SLC","07:30","07:27","64","85","-3","08:04","37","18","0","0","0","0"
"OO","12/11/2022","3763","N287SY","SLC","13:16","13:15","68","103","-1","14:13","58","34","0","0","0","0"
"OO","12/11/2022","5656","N617UX","DEN","14:30","14:25","110","129","-5","15:02","37","0","0","0","0","0"
"OO","12/11/2023","4124","N286SY","SLC","13:06","13:01","75","65","-5","13:20","19","0","0","0","0","0"
"OO","12/11/2023","4131","N286SY","SLC","07:29","07:18","80","75","-11","07:48","30","0","0","0","0","0"
"OO","12/11/2023","5656","N615UX","DEN","14:25","14:16","117","95","-9","14:24","8","0","0","0","0","0"
"OO","12/12/2021","3591","N283SY","SLC","07:28","07:27","66","100","-1","08:29","62","33","0","0","0","0"
"OO","12/12/2021","3763","N278SY","SLC","13:10","13:16","71","66","6","13:41","25","0","0","0","0","0"
"OO","12/12/2021","5544","N605UX","DEN","14:30","14:18","110","114","-12","14:40","22","0","0","0","0","0"
"OO","12/12/2022","3591","N268SY","SLC","07:30","07:20","64","84","-10","07:56","36","0","0","0","0","0"
"OO","12/12/2022","3763","N287SY","SLC","13:16","13:09","68","77","-7","13:36","27","0","0","0","0","0"
"OO","12/12/2022","5656","N611UX","DEN","14:30","14:23","110","126","-7","14:50","27","0","0","0","0","0"
"OO","12/12/2023","4124","N286SY","SLC","13:06","12:49","75","60","-17","13:03","14","0","0","0","0","0"
"OO","12/12/2023","4131","N265SY","SLC","07:29","07:15","80","68","-14","07:38","23","0","0","0","0","0"
"OO","12/12/2023","5656","N611UX","DEN","14:25","15:22","117","113","57","15:43","21","53","0","0","0","0"
"OO","12/13/2021","3591","N272SY","SLC","07:28","07:25","66","92","-3","08:15","50","23","0","0","0","0"
"OO","12/13/2021","3763","N283SY","SLC","13:10","14:10","71","82","60","14:47","37","0","71","0","0","0"
"OO","12/13/2021","5544","N625UX","DEN","14:30","14:22","110","134","-8","15:07","45","16","0","0","0","0"
"OO","12/13/2022","3591","N285SY","SLC","07:30","08:06","64","60","36","08:17","11","32","0","0","0","0"
"OO","12/13/2022","3763","N278SY","SLC","13:16","13:32","68","68","16","13:52","20","16","0","0","0","0"
"OO","12/13/2022","5656","N608UX","DEN","14:30","17:44","110","115","194","17:58","14","0","199","0","0","0"
"OO","12/13/2023","4124","N262SY","SLC","13:06","12:56","75","79","-10","13:22","26","0","0","0","0","0"
"OO","12/13/2023","4131","N276SY","SLC","07:29","07:24","80","52","-5","07:31","7","0","0","0","0","0"
"OO","12/13/2023","5656","N618UX","DEN","14:25","14:11","117","116","-14","14:30","19","0","0","0","0","0"
"OO","12/14/2021","3591","N268SY","SLC","07:28","07:24","66","81","-4","07:58","34","0","0","0","0","0"
"OO","12/14/2021","3763","N268SY","SLC","13:10","13:05","71","86","-5","13:47","42","0","0","0","0","0"
"OO","12/14/2021","5544","N623UX","DEN","14:30","16:11","110","117","101","16:22","11","0","108","0","0","0"
"OO","12/14/2022","3591","N276SY","SLC","07:30","07:20","64","64","-10","07:38","18","0","0","0","0","0"
"OO","12/14/2022","3763","N263SY","SLC","13:16","13:25","68","54","9","13:35","10","0","0","0","0","0"
"OO","12/14/2022","5656","N619UX","DEN","14:30","16:50","110","128","140","17:23","33","0","0","0","0","158"
