Detailed Statistics Departures  
Origin Airport: Syracuse, NY: Syracuse Hancock International (SYR)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","2590","231NV","SRQ","11:37","11:43","190","177","6","11:52","9","0","0","0","0","0"
"G4","12/01/2022","0326","322NV","BNA","18:54","18:54","137","148","0","19:25","31","0","0","0","0","0"
"G4","12/01/2022","2971","309NV","SFB","20:57","20:40","167","156","-17","20:51","11","0","0","0","0","0"
"G4","12/01/2023","0329","249NV","BNA","11:46","11:37","146","140","-9","11:46","9","0","0","0","0","0"
"G4","12/01/2023","2715","277NV","PIE","20:05","19:57","191","171","-8","20:05","8","0","0","0","0","0"
"G4","12/02/2021","0627","322NV","BNA","15:53","16:20","138","140","27","16:30","10","0","0","2","0","27"
"G4","12/02/2021","2281","329NV","SFB","20:54","20:54","167","153","0","21:06","12","0","0","0","0","0"
"G4","12/02/2022","0529","234NV","FLL","19:44","19:51","188","165","7","20:03","12","0","0","0","0","0"
"G4","12/02/2022","2686","202NV","PIE","10:57","11:06","175","171","9","11:14","8","0","0","0","0","0"
"G4","12/02/2023","0962","297NV","PGD","15:46","15:35","204","181","-11","15:45","10","0","0","0","0","0"
"G4","12/02/2023","3002","204NV","SRQ","13:39","13:25","193","181","-14","13:34","9","0","0","0","0","0"
"G4","12/03/2021","0944","216NV","FLL","18:05","18:08","194","221","3","18:24","16","0","0","27","0","3"
"G4","12/03/2021","2013","261NV","PIE","11:28","12:00","182","176","32","12:10","10","26","0","0","0","0"
"G4","12/03/2022","0932","294NV","PGD","14:18","14:28","177","172","10","14:38","10","0","0","0","0","0"
"G4","12/03/2022","1355","296NV","SRQ","13:05","13:22","178","168","17","13:32","10","0","0","0","0","0"
"G4","12/03/2023","0528","224NV","FLL","10:20","10:29","198","202","9","10:50","21","0","0","0","0","0"
"G4","12/03/2023","1313","234NV","SFB","19:27","20:09","173","191","42","20:19","10","42","0","18","0","0"
"G4","12/04/2021","1786","283NV","PGD","19:09","19:09","189","175","0","19:19","10","0","0","0","0","0"
"G4","12/04/2021","2590","287NV","SRQ","12:07","11:58","190","178","-9","12:08","10","0","0","0","0","0"
"G4","12/04/2022","0326","322NV","BNA","18:54","18:51","137","134","-3","19:01","10","0","0","0","0","0"
"G4","12/04/2022","2875","317NV","SFB","20:57","20:57","167","152","0","21:09","12","0","0","0","0","0"
"G4","12/04/2023","1959","254NV","BNA","11:46","11:37","146","131","-9","11:45","8","0","0","0","0","0"
"G4","12/04/2023","2597","283NV","PIE","20:05","20:12","191","168","7","20:20","8","0","0","0","0","0"
"G4","12/05/2021","0627","323NV","BNA","15:53","16:08","138","130","15","16:18","10","0","0","0","0","0"
"G4","12/05/2021","2281","329NV","SFB","20:54","21:12","167","160","18","21:23","11","0","0","0","0","0"
"G4","12/05/2022","0529","222NV","FLL","19:44","19:41","188","180","-3","19:53","12","0","0","0","0","0"
"G4","12/05/2022","0972","279NV","PIE","10:57","11:12","175","167","15","11:25","13","0","0","0","0","0"
"G4","12/06/2021","0944","222NV","FLL","18:05","18:27","194","202","22","18:38","11","0","0","8","0","22"
"G4","12/06/2021","2013","259NV","PIE","11:28","11:33","182","176","5","11:41","8","0","0","0","0","0"
"G4","12/06/2023","3002","278NV","SRQ","12:45","12:43","187","176","-2","12:56","13","0","0","0","0","0"
"G4","12/07/2022","3001","280NV","SRQ","13:34","13:24","188","171","-10","13:34","10","0","0","0","0","0"
"G4","12/07/2023","0495","221NV","FLL","12:26","12:20","199","227","-6","13:19","59","0","0","22","0","0"
"G4","12/07/2023","1262","331NV","SFB","19:49","19:32","170","150","-17","19:41","9","0","0","0","0","0"
"G4","12/08/2021","2590","219NV","SRQ","11:37","11:22","190","184","-15","11:35","13","0","0","0","0","0"
"G4","12/08/2022","1208","290NV","SFB","20:26","20:16","166","153","-10","20:27","11","0","0","0","0","0"
"G4","12/08/2022","1982","322NV","BNA","18:53","18:41","140","142","-12","18:51","10","0","0","0","0","0"
"G4","12/08/2023","0328","249NV","BNA","16:21","15:55","146","126","-26","16:11","16","0","0","0","0","0"
"G4","12/08/2023","2597","288NV","PIE","20:35","20:41","189","169","6","20:55","14","0","0","0","0","0"
"G4","12/09/2021","0627","323NV","BNA","15:53","16:52","138","149","59","17:10","18","11","0","11","0","48"
"G4","12/09/2021","2281","311NV","SFB","20:54","20:45","167","162","-9","20:58","13","0","0","0","0","0"
"G4","12/09/2022","0529","223NV","FLL","19:38","19:36","190","170","-2","19:47","11","0","0","0","0","0"
"G4","12/09/2022","1041","289NV","PIE","10:57","11:08","183","168","11","11:17","9","0","0","0","0","0"
"G4","12/09/2023","0962","197NV","PGD","15:51","15:43","202","181","-8","15:53","10","0","0","0","0","0"
"G4","12/09/2023","3011","204NV","SRQ","13:45","13:27","187","180","-18","13:38","11","0","0","0","0","0"
"G4","12/10/2021","0944","222NV","FLL","18:05","18:26","194","190","21","18:36","10","0","0","0","0","17"
"G4","12/10/2021","2013","207NV","PIE","11:28","12:33","182","177","65","12:53","20","0","0","0","0","60"
"G4","12/10/2022","0898","230NV","PGD","14:15","14:29","188","175","14","14:39","10","0","0","0","0","0"
"G4","12/10/2022","1383","280NV","SRQ","13:04","13:27","188","174","23","13:43","16","0","0","0","0","0"
"G4","12/10/2023","0491","221NV","FLL","12:26","14:01","199","238","95","14:39","38","0","0","134","0","0"
"G4","12/10/2023","1332","331NV","SFB","19:40","19:52","170","201","12","20:05","13","0","0","31","0","12"
"G4","12/11/2021","1786","251NV","PGD","19:09","19:09","189","202","0","19:20","11","0","0","0","0","0"
"G4","12/11/2021","2590","281NV","SRQ","12:07","12:01","190","186","-6","12:16","15","0","0","0","0","0"
"G4","12/11/2022","0319","322NV","BNA","18:53","21:08","140","158","135","21:42","34","0","0","18","0","135"
"G4","12/11/2022","1284","317NV","SFB","20:26","20:12","166","183","-14","20:47","35","0","0","0","0","0"
"G4","12/11/2023","0999","277NV","PIE","20:35","20:49","189","172","14","20:58","9","0","0","0","0","0"
"G4","12/11/2023","1958","249NV","BNA","16:21","16:06","146","178","-15","16:51","45","0","0","17","0","0"
"G4","12/12/2021","0627","322NV","BNA","15:53","15:45","138","156","-8","15:58","13","0","0","0","0","0"
"G4","12/12/2021","2281","311NV","SFB","20:54","20:54","167","155","0","21:08","14","0","0","0","0","0"
"G4","12/12/2022","0529","223NV","FLL","19:38","19:49","190","183","11","19:59","10","0","0","0","0","0"
"G4","12/12/2022","2662","290NV","PIE","10:57","11:08","183","165","11","11:19","11","0","0","0","0","0"
"G4","12/13/2021","0944","222NV","FLL","18:05","18:00","194","175","-5","18:13","13","0","0","0","0","0"
"G4","12/13/2021","2013","223NV","PIE","11:28","11:21","182","163","-7","11:30","9","0","0","0","0","0"
"G4","12/13/2023","3002","204NV","SRQ","12:45","12:37","187","185","-8","12:43","6","0","0","0","0","0"
"G4","12/14/2023","0495","224NV","FLL","12:26","12:38","199","171","12","12:47","9","0","0","0","0","0"
"G4","12/14/2023","1262","331NV","SFB","19:44","19:35","170","153","-9","19:45","10","0","0","0","0","0"
"G4","12/15/2021","2558","215NV","SRQ","20:11","19:51","188","154","-20","19:59","8","0","0","0","0","0"
"G4","12/15/2022","1100","229NV","PIE","13:07","13:26","183","203","19","13:39","13","19","0","20","0","0"
"G4","12/15/2022","1385","292NV","SRQ","15:00","16:16","188","242","76","17:10","54","76","0","54","0","0"
"G4","12/15/2023","0328","254NV","BNA","16:21","16:24","146","125","3","16:36","12","0","0","0","0","0"
"G4","12/15/2023","2597","250NV","PIE","20:35","20:35","189","166","0","20:48","13","0","0","0","0","0"
"G4","12/16/2021","0607","241NV","BNA","19:49","19:44","136","137","-5","19:53","9","0","0","0","0","0"
"G4","12/16/2021","1568","251NV","PGD","11:43","11:42","188","183","-1","11:52","10","0","0","0","0","0"
"G4","12/16/2021","1810","286NV","PIE","09:46","09:48","181","172","2","10:03","15","0","0","0","0","0"
"G4","12/16/2021","2372","310NV","SFB","14:45","14:32","168","163","-13","14:43","11","0","0","0","0","0"
"G4","12/16/2022","0355","318NV","BNA","12:03","11:56","140","169","-7","12:33","37","0","0","22","0","0"
