Detailed Statistics Departures  
Origin Airport: Syracuse, NY: Syracuse Hancock International (SYR)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0404","N929NN","CLT","19:18","19:07","136","128","-11","19:20","13","0","0","0","0","0"
"AA","12/01/2021","0530","N831NN","CLT","06:00","05:53","155","120","-7","06:05","12","0","0","0","0","0"
"AA","12/01/2021","2730","N879NN","CLT","11:41","11:39","146","120","-2","11:49","10","0","0","0","0","0"
"AA","12/01/2022","0404","N8009T","CLT","19:27","19:49","139","120","22","20:02","13","0","0","0","0","0"
"AA","12/01/2022","0530","N558UW","CLT","06:10","06:05","139","121","-5","06:17","12","0","0","0","0","0"
"AA","12/01/2022","1884","N766US","DFW","06:44","06:41","256","241","-3","06:52","11","0","0","0","0","0"
"AA","12/01/2022","2064","N749US","CLT","11:50","11:48","139","134","-2","12:17","29","0","0","0","0","0"
"AA","12/01/2023","0530","N647AW","CLT","06:06","06:41","125","113","35","06:52","11","23","0","0","0","0"
"AA","12/01/2023","1348","N647AW","CLT","17:16","17:16","125","129","0","17:27","11","0","0","0","0","0"
"AA","12/01/2023","1508","N122US","DFW","06:26","06:23","239","236","-3","06:35","12","0","0","0","0","0"
"AA","12/01/2023","2730","N185UW","CLT","13:30","13:22","125","134","-8","13:31","9","0","0","0","0","0"
"AA","12/02/2021","0404","N854NN","CLT","19:18","19:07","136","122","-11","19:21","14","0","0","0","0","0"
"AA","12/02/2021","0530","N977NN","CLT","06:00","05:55","155","109","-5","06:05","10","0","0","0","0","0"
"AA","12/02/2021","2730","N830NN","CLT","11:41","11:40","146","116","-1","11:50","10","0","0","0","0","0"
