Detailed Statistics Departures  
Origin Airport: Syracuse, NY: Syracuse Hancock International (SYR)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4056","N908AE","ORD","17:25","17:17","150","133","-8","17:32","15","0","0","0","0","0"
"MQ","12/01/2021","4255","N224NN","DFW","06:10","06:03","261","227","-7","06:13","10","0","0","0","0","0"
"MQ","12/01/2022","3310","N214NN","ORD","06:00","06:01","148","133","1","06:15","14","0","0","0","0","0"
"MQ","12/01/2022","3750","N273NN","ORD","16:40","16:52","151","144","12","17:04","12","0","0","0","0","0"
"MQ","12/01/2023","4134","N873RW","ORD","11:32","11:26","133","128","-6","11:35","9","0","0","0","0","0"
"MQ","12/02/2021","3774","N760MQ","ORD","08:10","08:00","151","124","-10","08:08","8","0","0","0","0","0"
"MQ","12/02/2021","4056","N696AE","ORD","17:25","17:14","150","138","-11","17:31","17","0","0","0","0","0"
"MQ","12/02/2021","4255","N271NN","DFW","06:10","06:04","261","215","-6","06:16","12","0","0","0","0","0"
"MQ","12/02/2021","4399","N242NN","ORD","05:44","05:41","155","128","-3","05:52","11","0","0","0","0","0"
"MQ","12/02/2022","3310","N265NN","ORD","06:00","05:54","148","131","-6","06:15","21","0","0","0","0","0"
"MQ","12/02/2022","3750","N290NN","ORD","16:40","16:34","151","122","-6","16:45","11","0","0","0","0","0"
"MQ","12/03/2021","3774","N762DT","ORD","08:10","08:03","151","150","-7","08:12","9","0","0","0","0","0"
"MQ","12/03/2021","4056","N662EH","ORD","17:25","17:16","150","157","-9","17:37","21","0","0","0","0","0"
"MQ","12/03/2021","4399","N299JJ","ORD","05:44","05:39","155","167","-5","06:11","32","0","0","0","0","0"
"MQ","12/03/2022","3583","N217NN","MIA","06:00","07:08","197","193","68","07:17","9","0","64","0","0","0"
"MQ","12/03/2022","3750","N203NN","ORD","16:40","16:38","151","126","-2","16:49","11","0","0","0","0","0"
"MQ","12/03/2023","4134","N779RN","ORD","11:32","11:52","133","127","20","12:02","10","0","0","0","0","0"
"MQ","12/04/2021","3774","N908AE","ORD","08:10","08:39","151","169","29","09:05","26","29","0","18","0","0"
"MQ","12/04/2022","3310","N233NN","ORD","05:40","05:32","148","153","-8","06:03","31","0","0","0","0","0"
"MQ","12/04/2022","3750","N210NN","ORD","16:40","16:43","151","134","3","16:57","14","0","0","0","0","0"
"MQ","12/04/2023","4134","N765ST","ORD","11:32","11:43","133","113","11","11:53","10","0","0","0","0","0"
"MQ","12/05/2021","3774","N763CC","ORD","08:10","08:41","151","140","31","08:57","16","20","0","0","0","0"
"MQ","12/05/2021","4056","N941LT","ORD","17:25","17:13","150","139","-12","17:25","12","0","0","0","0","0"
"MQ","12/05/2022","3310","N761RW","ORD","06:00","05:56","148","143","-4","06:26","30","0","0","0","0","0"
"MQ","12/05/2022","3750","N244NN","ORD","16:40","16:30","151","136","-10","16:44","14","0","0","0","0","0"
