Detailed Statistics Departures  
Origin Airport: Syracuse, NY: Syracuse Hancock International (SYR)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1360","N339NW","ATL","12:05","12:03","146","132","-2","12:12","9","0","0","0","0","0"
"DL","12/01/2021","2140","N374NW","ATL","19:10","19:08","156","135","-2","19:24","16","0","0","0","0","0"
"DL","12/01/2021","2991","N326US","ATL","06:25","06:18","149","138","-7","06:36","18","0","0","0","0","0"
"DL","12/01/2022","1276","N377NW","ATL","11:53","12:05","155","133","12","12:16","11","0","0","0","0","0"
"DL","12/01/2022","2140","N341NW","ATL","18:09","18:09","164","138","0","18:24","15","0","0","0","0","0"
"DL","12/01/2022","2899","N362NB","LGA","05:35","05:30","92","57","-5","05:43","13","0","0","0","0","0"
"DL","12/01/2022","2991","N317US","ATL","06:15","06:13","170","138","-2","06:32","19","0","0","0","0","0"
"DL","12/01/2023","1144","N372NW","DTW","05:35","05:20","105","82","-15","05:35","15","0","0","0","0","0"
"DL","12/01/2023","1169","N360NW","ATL","06:00","05:58","154","147","-2","06:09","11","0","0","0","0","0"
"DL","12/01/2023","1375","N360NW","ATL","14:33","14:23","152","148","-10","14:35","12","0","0","0","0","0"
"DL","12/02/2021","1360","N378NW","ATL","12:05","12:05","146","125","0","12:14","9","0","0","0","0","0"
"DL","12/02/2021","2140","N375NC","ATL","19:10","18:53","156","143","-17","19:20","27","0","0","0","0","0"
"DL","12/02/2021","2991","N332NW","ATL","06:25","06:22","149","125","-3","06:31","9","0","0","0","0","0"
"DL","12/02/2022","1276","N3764D","ATL","11:53","11:50","155","132","-3","12:02","12","0","0","0","0","0"
"DL","12/02/2022","2140","N355NW","ATL","18:09","18:17","164","133","8","18:29","12","0","0","0","0","0"
"DL","12/02/2022","2899","N317NB","LGA","05:35","05:32","92","85","-3","06:13","41","0","0","0","0","0"
"DL","12/02/2022","2991","N323US","ATL","06:15","06:15","170","159","0","06:50","35","0","0","0","0","0"
"DL","12/02/2023","1144","N372NW","DTW","05:35","05:33","105","103","-2","05:44","11","0","0","0","0","0"
"DL","12/02/2023","1169","N343NW","ATL","06:00","07:43","154","154","103","07:55","12","103","0","0","0","0"
"DL","12/02/2023","1375","N343NW","ATL","14:33","15:05","152","147","32","15:18","13","0","0","0","0","27"
"DL","12/03/2021","1360","N320US","ATL","12:05","12:03","146","131","-2","12:16","13","0","0","0","0","0"
"DL","12/03/2021","2140","N320US","ATL","19:10","19:15","156","138","5","19:33","18","0","0","0","0","0"
"DL","12/03/2021","2991","N356NW","ATL","06:25","06:50","149","139","25","07:17","27","15","0","0","0","0"
"DL","12/03/2022","1691","N351NW","ATL","15:00","14:52","167","132","-8","15:03","11","0","0","0","0","0"
"DL","12/03/2022","2899","N316NB","LGA","05:35","05:32","92","58","-3","05:42","10","0","0","0","0","0"
"DL","12/03/2022","2991","N323US","ATL","06:15","06:09","170","155","-6","06:39","30","0","0","0","0","0"
"DL","12/03/2023","1144","N343NW","DTW","05:35","05:29","105","94","-6","05:46","17","0","0","0","0","0"
"DL","12/03/2023","1169","N352NW","ATL","06:00","05:59","154","157","-1","06:17","18","0","0","0","0","0"
"DL","12/03/2023","1375","N327NW","ATL","14:33","14:35","152","158","2","14:47","12","0","0","0","0","0"
"DL","12/04/2021","2828","N378NW","ATL","13:10","13:02","149","127","-8","13:14","12","0","0","0","0","0"
"DL","12/04/2021","2991","N378NW","ATL","06:25","06:25","149","155","0","06:59","34","0","0","0","0","0"
"DL","12/04/2022","1276","N312US","ATL","11:53","11:46","155","139","-7","11:57","11","0","0","0","0","0"
"DL","12/04/2022","2140","N353NW","ATL","18:09","19:26","164","126","77","19:36","10","0","0","0","0","39"
"DL","12/04/2022","2991","N332NW","ATL","06:15","06:11","170","149","-4","06:39","28","0","0","0","0","0"
"DL","12/04/2023","0813","N369NW","ATL","14:32","14:26","152","132","-6","14:38","12","0","0","0","0","0"
"DL","12/04/2023","1144","N365NW","DTW","05:35","05:41","105","75","6","05:52","11","0","0","0","0","0"
"DL","12/04/2023","1169","N369NW","ATL","06:00","05:57","154","151","-3","06:12","15","0","0","0","0","0"
"DL","12/05/2021","1360","N369NW","ATL","11:55","11:57","145","138","2","12:10","13","0","0","0","0","0"
"DL","12/05/2021","2140","N312US","ATL","18:15","18:33","171","131","18","18:43","10","0","0","0","0","0"
