Detailed Statistics Departures  
Origin Airport: Syracuse, NY: Syracuse Hancock International (SYR)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2023","6339","N89313","IAD","06:05","06:02","90","71","-3","06:12","10","0","0","0","0","0"
"YV","12/02/2023","6188","N86324","IAD","14:45","14:34","88","75","-11","14:44","10","0","0","0","0","0"
"YV","12/02/2023","6339","N85323","IAD","06:05","06:58","90","75","53","07:12","14","0","38","0","0","0"
"YV","12/03/2023","6188","N93305","IAD","14:45","14:39","88","97","-6","14:51","12","0","0","0","0","0"
"YV","12/03/2023","6339","N88330","IAD","06:05","06:05","90","92","0","06:31","26","0","0","0","0","0"
"YV","12/04/2023","6078","N85320","IAD","19:42","19:40","91","92","-2","20:14","34","0","0","0","0","0"
"YV","12/04/2023","6188","N85354","IAD","14:45","14:39","88","78","-6","14:50","11","0","0","0","0","0"
"YV","12/04/2023","6339","N87353","IAD","06:05","06:00","90","87","-5","06:20","20","0","0","0","0","0"
"YV","12/05/2023","6078","N89313","IAD","19:42","19:35","91","96","-7","20:05","30","0","0","0","0","0"
"YV","12/07/2023","6339","N88301","IAD","06:05","06:06","90","116","1","07:02","56","0","0","27","0","0"
"YV","12/08/2023","6339","N87319","IAD","06:05","06:02","90","73","-3","06:14","12","0","0","0","0","0"
"YV","12/09/2023","6188","N93305","IAD","14:45","14:40","88","74","-5","14:51","11","0","0","0","0","0"
"YV","12/09/2023","6339","N88301","IAD","06:05","05:58","90","73","-7","06:12","14","0","0","0","0","0"
"YV","12/10/2023","6188","N88327","IAD","14:45","14:42","88","81","-3","14:53","11","0","0","0","0","0"
"YV","12/10/2023","6339","N87345","IAD","06:05","06:09","90","78","4","06:18","9","0","0","0","0","0"
"YV","12/11/2023","6078","N88327","IAD","19:42","19:42","91","125","0","20:51","69","0","0","34","0","0"
"YV","12/11/2023","6188","N88301","IAD","14:45","15:32","88","78","47","15:44","12","6","0","0","0","31"
"YV","12/11/2023","6339","N89317","IAD","06:05","05:57","90","148","-8","07:12","75","0","0","50","0","0"
"YV","12/12/2023","6078","N85323","IAD","19:42","19:31","91","76","-11","19:43","12","0","0","0","0","0"
"YV","12/14/2023","6339","N86316","IAD","06:05","06:17","90","72","12","06:32","15","0","0","0","0","0"
"YV","12/15/2023","6339","N89317","IAD","06:05","06:04","90","75","-1","06:20","16","0","0","0","0","0"
"YV","12/16/2023","6339","N88326","IAD","06:05","06:03","90","81","-2","06:20","17","0","0","0","0","0"
"YV","12/17/2023","6339","N88326","IAD","06:05","06:18","90","83","13","06:28","10","0","0","0","0","0"
"YV","12/18/2023","6078","N88325","IAD","19:42","19:37","91","87","-5","19:53","16","0","0","0","0","0"
"YV","12/18/2023","6339","N88346","IAD","06:05","06:04","90","75","-1","06:14","10","0","0","0","0","0"
"YV","12/19/2023","6078","N86322","IAD","19:42","19:38","91","103","-4","20:19","41","0","0","0","0","0"
"YV","12/21/2023","6060","N86324","IAD","14:53","14:44","87","67","-9","14:52","8","0","0","0","0","0"
"YV","12/22/2023","6060","N86350","IAD","14:53","14:58","87","70","5","15:10","12","0","0","0","0","0"
"YV","12/25/2023","6060","N86309","IAD","14:53","14:39","87","70","-14","14:50","11","0","0","0","0","0"
"YV","12/26/2023","6060","N80343","IAD","14:53","14:45","87","73","-8","14:55","10","0","0","0","0","0"
"YV","12/28/2023","6060","N87345","IAD","14:53","14:56","87","79","3","15:08","12","0","0","0","0","0"
"YV","12/29/2023","6060","N88341","IAD","14:53","14:44","87","73","-9","14:52","8","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
