Detailed Statistics Departures  
Origin Airport: Syracuse, NY: Syracuse Hancock International (SYR)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5065","N725PS","DCA","11:33","11:33","86","89","0","11:50","17","0","0","0","0","0"
"OH","12/01/2021","5099","N716PS","DCA","18:00","17:57","91","90","-3","18:13","16","0","0","0","0","0"
"OH","12/01/2021","5140","N564NN","DCA","06:16","06:08","104","67","-8","06:19","11","0","0","0","0","0"
"OH","12/01/2022","5053","N586NN","DCA","17:30","17:21","106","95","-9","17:43","22","0","0","0","0","0"
"OH","12/01/2022","5094","N557NN","DCA","11:33","11:27","106","67","-6","11:40","13","0","0","0","0","0"
"OH","12/01/2022","5508","N606NN","DCA","05:42","05:34","108","88","-8","05:46","12","0","0","0","0","0"
"OH","12/02/2021","5065","N718PS","DCA","11:33","11:40","86","98","7","12:03","23","0","0","12","0","7"
"OH","12/02/2021","5099","N546FF","DCA","18:00","17:54","91","90","-6","18:11","17","0","0","0","0","0"
"OH","12/02/2021","5140","N586NN","DCA","06:16","06:08","104","79","-8","06:22","14","0","0","0","0","0"
"OH","12/02/2022","5053","N608NN","DCA","17:30","17:22","106","94","-8","17:35","13","0","0","0","0","0"
"OH","12/02/2022","5094","N605NN","DCA","11:33","12:47","106","84","74","12:58","11","14","0","0","0","38"
"OH","12/02/2022","5508","N552NN","DCA","05:42","05:35","108","92","-7","06:01","26","0","0","0","0","0"
"OH","12/02/2023","5399","N616NN","CLT","13:44","13:32","132","136","-12","13:48","16","0","0","0","0","0"
"OH","12/02/2023","5407","N540EG","DCA","17:42","17:31","93","82","-11","17:43","12","0","0","0","0","0"
"OH","12/03/2021","5065","N542EA","DCA","11:33","11:30","86","87","-3","11:46","16","0","0","0","0","0"
"OH","12/03/2021","5099","N703PS","DCA","18:00","18:20","91","98","20","18:40","20","0","0","7","0","20"
"OH","12/03/2021","5140","N584NN","DCA","06:16","06:04","104","120","-12","06:52","48","0","0","0","0","0"
"OH","12/03/2022","5053","N554NN","DCA","17:13","17:06","106","83","-7","17:23","17","0","0","0","0","0"
"OH","12/03/2022","5094","N569NN","DCA","11:10","11:01","106","96","-9","11:24","23","0","0","0","0","0"
"OH","12/03/2022","5408","N568NN","CLT","11:32","11:19","150","123","-13","11:31","12","0","0","0","0","0"
"OH","12/04/2021","5099","N521AE","DCA","17:29","17:19","91","73","-10","17:34","15","0","0","0","0","0"
"OH","12/04/2022","5053","N591NN","DCA","17:30","17:19","106","96","-11","17:35","16","0","0","0","0","0"
"OH","12/05/2021","5099","N703PS","DCA","18:00","17:48","91","122","-12","18:03","15","0","0","19","0","0"
