Detailed Statistics Departures  
Origin Airport: Syracuse, NY: Syracuse Hancock International (SYR)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4668","N914XJ","DTW","06:08","06:04","107","97","-4","06:18","14","0","0","0","0","0"
"9E","12/01/2021","4756","N316PQ","LGA","19:00","18:55","81","82","-5","19:06","11","0","0","0","0","0"
"9E","12/01/2021","4923","N325PQ","JFK","05:30","05:28","90","74","-2","05:54","26","0","0","0","0","0"
"9E","12/01/2021","4994","N912XJ","LGA","12:25","12:18","69","50","-7","12:26","8","0","0","0","0","0"
"9E","12/01/2021","5072","N490PX","LGA","05:50","05:45","75","56","-5","05:59","14","0","0","0","0","0"
"9E","12/01/2021","5151","N919XJ","LGA","16:45","16:41","76","63","-4","17:01","20","0","0","0","0","0"
"9E","12/01/2021","5225","N348PQ","DTW","17:59","18:00","99","94","1","18:17","17","0","0","0","0","0"
"9E","12/01/2022","4688","N181GJ","LGA","07:00","07:47","85","74","47","07:59","12","36","0","0","0","0"
"9E","12/01/2022","4763","N913XJ","LGA","19:43","19:38","86","51","-5","19:45","7","0","0","0","0","0"
"9E","12/01/2022","4908","N929XJ","JFK","12:31","12:25","82","59","-6","12:36","11","0","0","0","0","0"
"9E","12/01/2022","4961","N147PQ","DTW","12:20","12:15","98","86","-5","12:22","7","0","0","0","0","0"
"9E","12/01/2022","5114","N927XJ","JFK","18:25","18:21","94","79","-4","18:32","11","0","0","0","0","0"
"9E","12/01/2022","5184","N676CA","JFK","05:26","05:23","94","69","-3","05:36","13","0","0","0","0","0"
"9E","12/01/2022","5259","N232PQ","LGA","10:17","11:16","82","70","59","11:34","18","6","0","0","0","41"
"9E","12/01/2022","5378","N134EV","DTW","17:10","17:00","104","83","-10","17:11","11","0","0","0","0","0"
"9E","12/01/2022","5413","N310PQ","LGA","15:55","15:53","84","93","-2","16:07","14","0","0","0","0","0"
"9E","12/01/2022","5437","N135EV","DTW","06:00","06:45","112","94","45","07:05","20","27","0","0","0","0"
"9E","12/01/2023","4880","N604LR","JFK","16:57","16:55","98","121","-2","17:21","26","0","0","21","0","0"
"9E","12/01/2023","4987","N604LR","JFK","05:20","05:19","100","67","-1","05:32","13","0","0","0","0","0"
"9E","12/01/2023","4989","N308PQ","JFK","12:10","12:06","92","67","-4","12:16","10","0","0","0","0","0"
"9E","12/01/2023","5004","N293PQ","LGA","11:15","11:34","84","55","19","11:45","11","0","0","0","0","0"
"9E","12/01/2023","5051","N279PQ","DTW","17:32","17:22","103","92","-10","17:35","13","0","0","0","0","0"
"9E","12/01/2023","5215","N133EV","DTW","13:03","12:56","101","80","-7","13:19","23","0","0","0","0","0"
"9E","12/01/2023","5267","N295PQ","LGA","06:00","05:55","85","55","-5","06:08","13","0","0","0","0","0"
"9E","12/01/2023","5300","N306PQ","LGA","16:33","16:28","86","58","-5","16:39","11","0","0","0","0","0"
"9E","12/02/2021","4756","N341PQ","LGA","19:00","18:59","81","83","-1","19:22","23","0","0","0","0","0"
"9E","12/02/2021","4859","N182GJ","DTW","09:45","09:43","98","83","-2","09:52","9","0","0","0","0","0"
"9E","12/02/2021","4895","N582CA","DTW","06:08","06:07","107","85","-1","06:20","13","0","0","0","0","0"
"9E","12/02/2021","4923","N153PQ","JFK","05:30","05:24","90","58","-6","05:35","11","0","0","0","0","0"
"9E","12/02/2021","4994","N919XJ","LGA","12:25","12:24","69","53","-1","12:34","10","0","0","0","0","0"
"9E","12/02/2021","5072","N491PX","LGA","05:50","05:45","75","64","-5","06:00","15","0","0","0","0","0"
"9E","12/02/2021","5151","N482PX","LGA","16:45","16:41","76","55","-4","16:52","11","0","0","0","0","0"
"9E","12/02/2021","5225","N929XJ","DTW","17:59","17:54","99","96","-5","18:02","8","0","0","0","0","0"
"9E","12/02/2021","5291","N376CA","DTW","13:05","14:44","98","88","99","14:57","13","0","0","0","0","89"
"9E","12/02/2022","4688","N901XJ","LGA","07:00","06:51","85","99","-9","07:38","47","0","0","0","0","0"
"9E","12/02/2022","4763","N335PQ","LGA","19:43","19:33","86","59","-10","19:47","14","0","0","0","0","0"
"9E","12/02/2022","4908","N297PQ","JFK","12:31","12:26","82","62","-5","12:36","10","0","0","0","0","0"
"9E","12/02/2022","4961","N903XJ","DTW","12:20","12:08","98","89","-12","12:23","15","0","0","0","0","0"
"9E","12/02/2022","5114","N935XJ","JFK","18:25","18:23","94","71","-2","18:37","14","0","0","0","0","0"
"9E","12/02/2022","5184","N304PQ","JFK","05:26","05:21","94","84","-5","05:54","33","0","0","0","0","0"
"9E","12/02/2022","5259","N304PQ","LGA","10:17","10:12","82","56","-5","10:21","9","0","0","0","0","0"
"9E","12/02/2022","5378","N921XJ","DTW","17:10","17:05","104","84","-5","17:16","11","0","0","0","0","0"
"9E","12/02/2022","5413","N316PQ","LGA","15:55","15:50","84","58","-5","15:59","9","0","0","0","0","0"
"9E","12/02/2022","5437","N349PQ","DTW","06:00","05:55","112","116","-5","06:41","46","0","0","0","0","0"
