Detailed Statistics Departures  
Origin Airport: Syracuse, NY: Syracuse Hancock International (SYR)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3250","N603SK","ORD","08:11","07:57","152","125","-14","08:08","11","0","0","0","0","0"
"OO","12/01/2021","3253","N776SK","ORD","15:01","14:55","139","134","-6","15:07","12","0","0","0","0","0"
"OO","12/01/2021","4116","N554CA","DTW","13:05","13:02","98","83","-3","13:13","11","0","0","0","0","0"
"OO","12/01/2021","5491","N143SY","ORD","17:30","17:22","144","133","-8","17:37","15","0","0","0","0","0"
"OO","12/01/2021","5664","N128SY","DEN","15:30","15:26","270","242","-4","15:36","10","0","0","0","0","0"
"OO","12/01/2022","5228","N134SY","ORD","17:33","17:23","142","124","-10","17:35","12","0","0","0","0","0"
"OO","12/01/2023","5245","N211SY","ORD","17:33","17:28","141","152","-5","17:43","15","0","0","0","0","0"
"OO","12/02/2021","3253","N760EV","ORD","15:01","14:51","139","131","-10","15:04","13","0","0","0","0","0"
"OO","12/02/2021","5491","N119SY","ORD","17:30","17:25","144","131","-5","17:37","12","0","0","0","0","0"
"OO","12/02/2021","5664","N164SY","DEN","15:30","15:20","270","240","-10","15:28","8","0","0","0","0","0"
"OO","12/02/2022","5228","N204SY","ORD","17:33","17:31","142","144","-2","17:44","13","0","0","0","0","0"
"OO","12/02/2023","5245","N140SY","ORD","17:33","17:33","141","142","0","17:39","6","0","0","0","0","0"
"OO","12/03/2021","3253","N724EV","ORD","15:01","14:49","139","148","-12","15:03","14","0","0","0","0","0"
"OO","12/03/2021","5491","N105SY","ORD","17:30","17:20","144","153","-10","17:39","19","0","0","0","0","0"
"OO","12/03/2021","5664","N162SY","DEN","15:30","15:23","270","263","-7","15:36","13","0","0","0","0","0"
"OO","12/03/2022","5228","N125SY","ORD","17:33","17:25","142","126","-8","17:35","10","0","0","0","0","0"
"OO","12/03/2023","5245","N157SY","ORD","17:33","17:46","141","130","13","17:58","12","0","0","0","0","0"
"OO","12/04/2021","3253","N708SK","ORD","15:01","14:52","139","137","-9","15:07","15","0","0","0","0","0"
"OO","12/04/2021","3294","N709EV","ORD","05:36","05:31","156","195","-5","06:40","69","34","0","0","0","0"
"OO","12/04/2021","5849","N125SY","ORD","17:30","17:21","144","150","-9","17:32","11","0","0","0","0","0"
"OO","12/04/2021","5879","N149SY","DEN","15:30","15:23","270","251","-7","15:33","10","0","0","0","0","0"
"OO","12/04/2022","5228","N106SY","ORD","17:33","17:31","142","135","-2","17:50","19","0","0","0","0","0"
"OO","12/04/2023","5245","N160SY","ORD","17:33","17:32","141","137","-1","17:45","13","0","0","0","0","0"
"OO","12/05/2021","3253","N708EV","ORD","15:01","14:54","139","127","-7","15:07","13","0","0","0","0","0"
"OO","12/05/2021","3294","N719EV","ORD","05:36","05:30","156","136","-6","05:43","13","0","0","0","0","0"
"OO","12/05/2021","4078","N170PQ","DTW","13:00","04:53","95","89","953","05:06","13","947","0","0","0","0"
