Detailed Statistics Departures  
Origin Airport: Syracuse, NY: Syracuse Hancock International (SYR)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","2295","N4901U","ORD","06:45","06:37","136","139","-8","06:50","13","0","0","0","0","0"
"UA","12/01/2022","0437","N818UA","DEN","15:51","15:40","251","256","-11","15:53","13","0","0","0","0","0"
"UA","12/01/2022","1230","N438UA","EWR","06:02","05:58","83","58","-4","06:07","9","0","0","0","0","0"
"UA","12/01/2022","2661","N814UA","ORD","06:30","06:22","140","139","-8","06:42","20","0","0","0","0","0"
"UA","12/01/2023","1176","N854UA","DEN","08:01","07:52","249","245","-9","08:09","17","0","0","0","0","0"
"UA","12/01/2023","1764","N27277","EWR","06:00","05:53","79","60","-7","06:04","11","0","0","0","0","0"
"UA","12/01/2023","2483","N851UA","ORD","06:30","06:17","137","144","-13","06:38","21","0","0","0","0","0"
"UA","12/02/2021","2295","N877UA","ORD","06:45","06:43","136","121","-2","06:54","11","0","0","0","0","0"
"UA","12/02/2022","0437","N818UA","DEN","15:51","15:44","251","251","-7","15:55","11","0","0","0","0","0"
"UA","12/02/2022","1230","N435UA","EWR","06:02","05:54","83","71","-8","06:06","12","0","0","0","0","0"
"UA","12/02/2022","2661","N837UA","ORD","06:30","06:27","140","142","-3","07:04","37","0","0","0","0","0"
"UA","12/02/2023","1176","N813UA","DEN","08:01","07:51","249","251","-10","08:06","15","0","0","0","0","0"
"UA","12/02/2023","1764","N27277","EWR","06:00","06:41","79","52","41","06:53","12","0","0","0","0","0"
"UA","12/02/2023","2483","N817UA","ORD","06:30","06:27","137","132","-3","06:40","13","0","0","0","0","0"
"UA","12/03/2021","2295","N873UA","ORD","06:45","06:40","136","160","-5","07:10","30","0","0","19","0","0"
"UA","12/03/2022","0437","N840UA","DEN","15:51","15:50","251","249","-1","16:00","10","0","0","0","0","0"
"UA","12/03/2022","2661","N850UA","ORD","06:30","06:25","140","126","-5","06:35","10","0","0","0","0","0"
"UA","12/03/2023","1176","N803UA","DEN","08:01","08:02","249","236","1","08:19","17","0","0","0","0","0"
"UA","12/03/2023","1764","N37465","EWR","06:00","05:57","79","83","-3","06:23","26","0","0","0","0","0"
"UA","12/03/2023","2483","N893UA","ORD","06:30","10:54","137","122","264","11:08","14","249","0","0","0","0"
"UA","12/04/2021","2295","N821UA","ORD","06:45","06:43","136","145","-2","07:13","30","0","0","0","0","0"
"UA","12/04/2022","0437","N840UA","DEN","15:51","15:40","251","254","-11","15:52","12","0","0","0","0","0"
"UA","12/04/2022","1230","N838UA","EWR","06:02","05:55","85","73","-7","06:09","14","0","0","0","0","0"
"UA","12/04/2022","2661","N851UA","ORD","06:30","06:25","140","137","-5","06:43","18","0","0","0","0","0"
"UA","12/04/2023","1176","N807UA","DEN","08:01","07:51","249","235","-10","08:08","17","0","0","0","0","0"
"UA","12/04/2023","1764","N27268","EWR","06:00","05:52","79","55","-8","06:07","15","0","0","0","0","0"
"UA","12/04/2023","2483","N847UA","ORD","06:30","06:18","137","115","-12","06:29","11","0","0","0","0","0"
"UA","12/05/2021","2295","N852UA","ORD","06:45","06:56","136","139","11","07:09","13","0","0","0","0","0"
"UA","12/05/2022","0437","N840UA","DEN","15:51","15:57","251","248","6","16:11","14","0","0","0","0","0"
"UA","12/05/2022","1230","N896UA","EWR","06:02","05:51","83","64","-11","06:03","12","0","0","0","0","0"
"UA","12/05/2022","2661","N807UA","ORD","06:30","06:25","140","154","-5","07:08","43","0","0","0","0","0"
"UA","12/05/2023","1176","N801UA","DEN","08:01","08:01","249","246","0","08:49","48","0","0","0","0","0"
"UA","12/05/2023","1764","N27273","EWR","06:00","05:58","79","96","-2","06:39","41","0","0","15","0","0"
"UA","12/05/2023","2483","N884UA","ORD","06:30","06:22","137","158","-8","07:02","40","0","0","0","0","0"
"UA","12/06/2021","2295","N893UA","ORD","06:45","06:49","136","133","4","07:02","13","0","0","0","0","0"
"UA","12/06/2022","0437","N875UA","DEN","15:51","15:50","251","247","-1","16:01","11","0","0","0","0","0"
"UA","12/06/2022","1230","N894UA","EWR","06:02","05:51","83","88","-11","06:04","13","0","0","0","0","0"
"UA","12/06/2022","2661","N452UA","ORD","06:30","06:19","140","142","-11","06:36","17","0","0","0","0","0"
"UA","12/06/2023","1176","N804UA","DEN","08:01","07:56","249","243","-5","08:34","38","0","0","0","0","0"
"UA","12/06/2023","1764","N27251","EWR","06:00","05:56","79","104","-4","06:46","50","0","0","21","0","0"
"UA","12/06/2023","2483","N825UA","ORD","06:30","06:23","137","175","-7","07:39","76","0","0","31","0","0"
"UA","12/07/2021","2295","N845UA","ORD","06:45","06:37","136","160","-8","07:25","48","0","0","16","0","0"
"UA","12/07/2022","0437","N820UA","DEN","15:51","15:46","251","259","-5","15:55","9","0","0","0","0","0"
"UA","12/07/2022","2661","N463UA","ORD","06:30","06:23","140","140","-7","06:34","11","0","0","0","0","0"
"UA","12/07/2023","1176","N804UA","DEN","08:01","07:52","249","268","-9","08:38","46","0","0","0","0","0"
"UA","12/07/2023","1764","N37278","EWR","06:00","05:51","79","91","-9","06:39","48","0","0","0","0","0"
"UA","12/07/2023","2483","N883UA","ORD","06:30","06:21","137","174","-9","07:29","68","0","0","28","0","0"
"UA","12/08/2021","2295","N847UA","ORD","06:45","07:31","136","152","46","08:14","43","46","0","16","0","0"
"UA","12/08/2022","0437","N823UA","DEN","15:51","17:58","251","244","127","18:26","28","85","0","0","0","35"
"UA","12/08/2022","1230","N802UA","EWR","06:02","05:54","83","77","-8","06:10","16","0","0","0","0","0"
"UA","12/08/2022","2661","N840UA","ORD","06:30","06:25","140","145","-5","06:35","10","0","0","0","0","0"
"UA","12/08/2023","1176","N842UA","DEN","08:01","07:51","249","252","-10","08:06","15","0","0","0","0","0"
"UA","12/08/2023","1764","N77259","EWR","06:00","05:51","79","60","-9","06:04","13","0","0","0","0","0"
"UA","12/08/2023","2483","N878UA","ORD","06:30","06:23","137","119","-7","06:34","11","0","0","0","0","0"
"UA","12/09/2021","2295","N811UA","ORD","06:45","06:45","136","167","0","07:40","55","0","0","31","0","0"
