Detailed Statistics Departures  
Origin Airport: Tallahassee, FL: Tallahassee International (TLH)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1479","N3739P","ATL","17:30","17:27","74","62","-3","17:41","14","0","0","0","0","0"
"DL","12/01/2021","1745","N390DA","ATL","06:00","05:58","69","62","-2","06:11","13","0","0","0","0","0"
"DL","12/01/2021","2267","N608AT","ATL","10:24","10:17","74","63","-7","10:28","11","0","0","0","0","0"
"DL","12/01/2021","2511","N3766","ATL","07:05","06:59","74","63","-6","07:12","13","0","0","0","0","0"
"DL","12/01/2022","1033","N3735D","ATL","07:05","07:03","71","64","-2","07:14","11","0","0","0","0","0"
"DL","12/01/2022","1402","N946AT","ATL","10:31","10:23","69","56","-8","10:34","11","0","0","0","0","0"
"DL","12/01/2022","1723","N952AT","ATL","14:22","14:19","81","65","-3","14:34","15","0","0","0","0","0"
"DL","12/01/2022","1745","N3734B","ATL","05:15","05:12","68","56","-3","05:22","10","0","0","0","0","0"
"DL","12/01/2022","2191","N946AT","ATL","18:55","18:54","82","73","-1","19:10","16","0","0","0","0","0"
"DL","12/01/2023","1609","N373DA","ATL","06:00","06:00","72","65","0","06:13","13","0","0","0","0","0"
"DL","12/01/2023","2336","N373DA","ATL","10:33","10:25","75","68","-8","10:41","16","0","0","0","0","0"
"DL","12/01/2023","2832","N933AT","ATL","17:25","17:07","70","72","-18","17:27","20","0","0","0","0","0"
"DL","12/01/2023","2897","N980AT","ATL","14:25","14:12","64","65","-13","14:23","11","0","0","0","0","0"
"DL","12/01/2023","2915","N988AT","ATL","07:49","07:41","76","79","-8","08:07","26","0","0","0","0","0"
"DL","12/02/2021","1244","N974AT","ATL","14:15","14:08","71","65","-7","14:22","14","0","0","0","0","0"
"DL","12/02/2021","1745","N378DA","ATL","06:00","05:59","69","63","-1","06:08","9","0","0","0","0","0"
"DL","12/02/2021","2197","N925AT","ATL","18:56","18:50","73","67","-6","19:03","13","0","0","0","0","0"
"DL","12/02/2021","2267","N965AT","ATL","10:24","10:18","74","69","-6","10:34","16","0","0","0","0","0"
"DL","12/02/2021","2511","N3768","ATL","07:23","07:21","76","68","-2","07:34","13","0","0","0","0","0"
"DL","12/02/2022","1033","N3737C","ATL","07:05","07:01","71","56","-4","07:12","11","0","0","0","0","0"
"DL","12/02/2022","1402","N893AT","ATL","10:31","10:23","69","66","-8","10:38","15","0","0","0","0","0"
"DL","12/02/2022","1723","N919AT","ATL","14:22","14:31","81","57","9","14:39","8","0","0","0","0","0"
"DL","12/02/2022","1745","N979AT","ATL","05:15","05:08","68","57","-7","05:18","10","0","0","0","0","0"
"DL","12/02/2022","2191","N952AT","ATL","18:55","20:43","82","64","108","20:59","16","0","0","0","0","90"
"DL","12/02/2023","1609","N3758Y","ATL","06:00","05:54","72","59","-6","06:04","10","0","0","0","0","0"
"DL","12/02/2023","2336","N980AT","ATL","10:33","10:27","71","66","-6","10:40","13","0","0","0","0","0"
"DL","12/02/2023","2832","N921AT","ATL","17:25","17:17","70","70","-8","17:38","21","0","0","0","0","0"
"DL","12/02/2023","2897","N926AT","ATL","14:25","14:40","64","62","15","14:48","8","0","0","0","0","0"
"DL","12/02/2023","2915","N983AT","ATL","07:49","07:43","76","89","-6","08:06","23","0","0","0","0","0"
"DL","12/03/2021","1244","N934AT","ATL","14:15","14:07","71","66","-8","14:19","12","0","0","0","0","0"
"DL","12/03/2021","1745","N3733Z","ATL","06:00","05:56","69","66","-4","06:06","10","0","0","0","0","0"
"DL","12/03/2021","2197","N390DA","ATL","18:56","18:49","73","85","-7","19:13","24","0","0","0","0","0"
"DL","12/03/2021","2267","N927AT","ATL","10:24","10:20","74","62","-4","10:30","10","0","0","0","0","0"
"DL","12/03/2021","2511","N3735D","ATL","07:23","07:18","76","67","-5","07:32","14","0","0","0","0","0"
"DL","12/03/2022","1033","N3735D","ATL","07:05","06:59","71","64","-6","07:08","9","0","0","0","0","0"
"DL","12/03/2022","1402","N934AT","ATL","10:31","10:23","69","66","-8","10:37","14","0","0","0","0","0"
"DL","12/03/2022","1723","N978AT","ATL","14:38","14:30","76","69","-8","14:44","14","0","0","0","0","0"
"DL","12/03/2022","1745","N927AT","ATL","05:15","05:02","68","61","-13","05:13","11","0","0","0","0","0"
"DL","12/03/2023","1609","N3746H","ATL","06:00","05:56","72","62","-4","06:12","16","0","0","0","0","0"
"DL","12/03/2023","2336","N3746H","ATL","10:33","10:25","75","64","-8","10:35","10","0","0","0","0","0"
"DL","12/03/2023","2832","N980AT","ATL","17:25","17:19","70","71","-6","17:31","12","0","0","0","0","0"
"DL","12/03/2023","2897","N927AT","ATL","14:25","14:17","64","68","-8","14:33","16","0","0","0","0","0"
"DL","12/03/2023","2915","N998AT","ATL","07:49","08:32","76","69","43","08:45","13","36","0","0","0","0"
"DL","12/04/2021","1244","N938AT","ATL","14:15","14:05","71","53","-10","14:13","8","0","0","0","0","0"
"DL","12/04/2021","1745","N3771K","ATL","06:00","05:56","69","58","-4","06:08","12","0","0","0","0","0"
"DL","12/04/2021","2267","N921AT","ATL","10:24","10:18","74","59","-6","10:29","11","0","0","0","0","0"
"DL","12/04/2021","2511","N3746H","ATL","07:23","07:15","76","61","-8","07:26","11","0","0","0","0","0"
"DL","12/04/2022","1033","N393DA","ATL","07:05","07:00","71","67","-5","07:16","16","0","0","0","0","0"
"DL","12/04/2022","1402","N937AT","ATL","10:31","10:24","69","62","-7","10:37","13","0","0","0","0","0"
"DL","12/04/2022","1723","N952AT","ATL","14:22","14:08","81","63","-14","14:19","11","0","0","0","0","0"
"DL","12/04/2022","1745","N965AT","ATL","05:15","05:13","68","57","-2","05:23","10","0","0","0","0","0"
"DL","12/04/2022","2191","N985AT","ATL","18:55","18:45","82","64","-10","18:59","14","0","0","0","0","0"
