Detailed Statistics Departures  
Origin Airport: Tallahassee, FL: Tallahassee International (TLH)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5082","N509AE","DCA","06:02","05:57","117","150","-5","06:08","11","0","0","28","0","0"
"OH","12/01/2021","5249","N500AE","CLT","12:06","11:59","95","98","-7","12:14","15","0","0","0","0","0"
"OH","12/01/2021","5534","N612NN","CLT","15:26","15:26","100","96","0","15:45","19","0","0","0","0","0"
"OH","12/01/2021","5584","N524AE","CLT","10:00","10:02","100","89","2","10:15","13","0","0","0","0","0"
"OH","12/01/2021","5700","N560NN","CLT","20:15","20:14","100","93","-1","20:34","20","0","0","0","0","0"
"OH","12/01/2022","5082","N602NN","DCA","06:59","06:50","125","143","-9","07:11","21","0","0","0","0","0"
"OH","12/01/2022","5534","N566NN","CLT","13:45","13:48","95","94","3","14:04","16","0","0","0","0","0"
"OH","12/01/2022","5548","N614NN","CLT","18:15","18:25","95","86","10","18:42","17","0","0","0","0","0"
"OH","12/01/2022","5584","N572NN","CLT","06:45","06:40","96","94","-5","07:00","20","0","0","0","0","0"
"OH","12/01/2023","5082","N506AE","DCA","07:09","06:57","127","139","-12","07:12","15","0","0","0","0","0"
"OH","12/01/2023","5529","N615NN","CLT","12:11","12:04","99","99","-7","12:21","17","0","0","0","0","0"
"OH","12/02/2021","5082","N515AE","DCA","06:01","06:05","117","126","4","06:24","19","0","0","0","0","0"
"OH","12/02/2021","5249","N507AE","CLT","12:06","12:44","95","107","38","13:00","16","3","0","12","0","35"
"OH","12/02/2021","5534","N599NN","CLT","15:26","15:31","100","108","5","15:45","14","0","0","0","0","0"
"OH","12/02/2021","5584","N511AE","CLT","05:00","04:49","90","96","-11","05:11","22","0","0","0","0","0"
"OH","12/02/2021","5700","N557NN","CLT","20:15","20:01","100","92","-14","20:12","11","0","0","0","0","0"
"OH","12/02/2022","5082","N576NN","DCA","06:59","06:52","125","185","-7","07:22","30","0","0","53","0","0"
"OH","12/02/2022","5534","N609NN","CLT","13:45","13:49","95","98","4","13:59","10","0","0","0","0","0"
"OH","12/02/2022","5548","N565NN","CLT","18:15","18:13","95","95","-2","18:33","20","0","0","0","0","0"
"OH","12/02/2022","5584","N575NN","CLT","06:45","06:35","96","92","-10","06:53","18","0","0","0","0","0"
"OH","12/02/2023","5082","N536EA","DCA","07:09","07:04","127","130","-5","07:15","11","0","0","0","0","0"
"OH","12/03/2021","5082","N501BG","DCA","06:01","05:50","117","142","-11","06:15","25","0","0","0","0","0"
"OH","12/03/2021","5249","N590NN","CLT","12:06","12:28","95","96","22","12:43","15","0","0","1","0","22"
"OH","12/03/2021","5534","N589NN","CLT","15:26","15:22","100","107","-4","15:34","12","0","0","0","0","0"
