Detailed Statistics Departures  
Origin Airport: Tampa, FL: Tampa International (TPA)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0523","N224AK","SEA","18:05","18:03","384","371","-2","18:21","18","0","0","0","0","0"
"AS","12/01/2022","0607","N283AK","SFO","19:20","21:10","362","382","110","21:25","15","0","0","20","0","110"
"AS","12/01/2022","0635","N275AK","SEA","07:15","07:33","381","379","18","07:48","15","0","0","0","0","16"
"AS","12/01/2022","0770","N408AS","SEA","17:55","00:00","382","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","0307","N283AK","SEA","17:50","17:52","386","366","2","18:10","18","0","0","0","0","0"
"AS","12/01/2023","0359","N428AS","SEA","07:00","06:56","384","367","-4","07:11","15","0","0","0","0","0"
"AS","12/01/2023","0421","N946AK","LAX","18:55","18:46","336","332","-9","18:59","13","0","0","0","0","0"
"AS","12/01/2023","0433","N493AS","SAN","16:40","16:34","323","316","-6","16:48","14","0","0","0","0","0"
"AS","12/01/2023","0449","N264AK","SFO","08:45","08:31","375","366","-14","08:48","17","0","0","0","0","0"
"AS","12/02/2021","0311","N566AS","LAX","07:45","07:44","334","336","-1","08:09","25","0","0","0","0","0"
"AS","12/02/2021","0523","N486AS","SEA","18:05","18:15","384","349","10","18:31","16","0","0","0","0","0"
"AS","12/02/2021","0607","N532AS","SFO","08:25","08:30","365","345","5","08:49","19","0","0","0","0","0"
"AS","12/02/2021","0635","N278AK","SEA","07:00","07:05","385","375","5","07:24","19","0","0","0","0","0"
"AS","12/02/2022","0607","N551AS","SFO","19:20","19:08","362","374","-12","19:24","16","0","0","0","0","0"
"AS","12/02/2022","0635","N487AS","SEA","07:15","07:22","381","390","7","07:37","15","0","0","9","0","7"
"AS","12/02/2022","0770","N290AK","SEA","17:55","18:42","382","396","47","18:58","16","0","47","14","0","0"
"AS","12/02/2023","0307","N942AK","SEA","17:50","17:42","386","394","-8","18:03","21","0","0","0","0","0"
"AS","12/02/2023","0359","N706AL","SEA","07:00","07:01","384","377","1","07:24","23","0","0","0","0","0"
"AS","12/02/2023","0421","N931AK","LAX","18:55","18:47","336","333","-8","19:06","19","0","0","0","0","0"
"AS","12/02/2023","0433","N982AK","SAN","16:40","16:42","323","318","2","16:53","11","0","0","0","0","0"
"AS","12/03/2021","0523","N267AK","SEA","18:05","18:12","384","383","7","18:31","19","0","0","0","0","0"
"AS","12/03/2021","0635","N553AS","SEA","07:00","07:32","385","373","32","07:51","19","0","0","0","0","20"
"AS","12/03/2022","0607","N479AS","SFO","19:20","19:05","362","381","-15","19:33","28","0","0","0","0","0"
