Detailed Statistics Departures  
Origin Airport: Tampa, FL: Tampa International (TPA)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3925","N293NN","AUS","14:00","13:57","164","163","-3","14:12","15","0","0","0","0","0"
"MQ","12/01/2021","4180","N220NN","MIA","17:31","17:41","62","54","10","17:52","11","0","0","0","0","0"
"MQ","12/01/2022","3332","N279MQ","BNA","14:40","14:41","117","107","1","14:52","11","0","0","0","0","0"
"MQ","12/01/2022","3347","N274NN","BNA","09:50","09:45","117","117","-5","10:02","17","0","0","0","0","0"
"MQ","12/01/2022","3412","N278NN","MIA","13:25","13:25","67","54","0","13:34","9","0","0","0","0","0"
"MQ","12/01/2022","3962","N279MQ","RDU","19:59","19:48","110","96","-11","19:57","9","0","0","0","0","0"
"MQ","12/01/2023","3335","N217NN","MIA","07:00","06:50","65","51","-10","07:00","10","0","0","0","0","0"
"MQ","12/01/2023","3466","N205NN","MIA","20:30","21:04","65","55","34","21:14","10","2","0","0","0","22"
"MQ","12/01/2023","3668","N222NS","BNA","20:28","20:34","115","114","6","20:45","11","0","0","0","0","0"
"MQ","12/01/2023","3764","N205NN","RDU","10:18","10:09","105","102","-9","10:22","13","0","0","0","0","0"
"MQ","12/01/2023","3797","N205NN","BNA","15:15","15:12","115","112","-3","15:24","12","0","0","0","0","0"
"MQ","12/02/2021","3925","N292NN","AUS","14:00","14:38","164","145","38","14:45","7","7","0","0","0","12"
"MQ","12/02/2022","3332","N299JJ","BNA","14:40","14:30","117","116","-10","14:41","11","0","0","0","0","0"
"MQ","12/02/2022","3347","N258NN","BNA","09:50","09:56","117","118","6","10:09","13","0","0","0","0","0"
"MQ","12/02/2022","3412","N233NN","MIA","13:25","13:23","67","59","-2","13:36","13","0","0","0","0","0"
"MQ","12/02/2022","3962","N299JJ","RDU","19:59","20:16","110","108","17","20:29","13","0","0","0","0","15"
"MQ","12/02/2023","3335","N263NN","MIA","06:55","06:55","63","58","0","07:10","15","0","0","0","0","0"
"MQ","12/02/2023","3668","N264NN","BNA","19:45","00:42","115","114","297","01:00","18","0","0","0","0","296"
"MQ","12/02/2023","3764","N222NS","RDU","12:30","12:24","105","109","-6","12:40","16","0","0","0","0","0"
"MQ","12/02/2023","3797","N264NN","BNA","15:32","15:41","115","127","9","16:05","24","0","0","12","0","9"
"MQ","12/02/2023","3898","N267NN","MIA","15:32","15:29","64","56","-3","15:42","13","0","0","0","0","0"
"MQ","12/03/2021","3925","N249NN","AUS","14:00","13:58","164","154","-2","14:13","15","0","0","0","0","0"
"MQ","12/03/2022","3332","N222NS","BNA","14:40","14:48","117","119","8","14:58","10","0","0","0","0","0"
"MQ","12/03/2022","3347","N293NN","BNA","09:50","09:41","117","120","-9","09:52","11","0","0","0","0","0"
"MQ","12/03/2022","3412","N207AN","MIA","13:25","13:21","67","58","-4","13:31","10","0","0","0","0","0"
"MQ","12/03/2022","3962","N222NS","RDU","19:59","19:57","110","106","-2","20:10","13","0","0","0","0","0"
"MQ","12/03/2023","3335","N287NN","MIA","07:00","06:56","65","54","-4","07:12","16","0","0","0","0","0"
"MQ","12/03/2023","3466","N306DD","MIA","20:30","21:12","65","52","42","21:18","6","3","0","0","0","26"
"MQ","12/03/2023","3668","N222NS","BNA","20:28","21:22","115","106","54","21:34","12","45","0","0","0","0"
"MQ","12/03/2023","3764","N264NN","RDU","10:18","10:35","105","93","17","10:46","11","0","0","0","0","0"
"MQ","12/03/2023","3797","N222NS","BNA","15:15","15:23","115","118","8","15:42","19","0","0","0","0","0"
"MQ","12/04/2021","3925","N266NN","AUS","14:00","13:56","164","161","-4","14:08","12","0","0","0","0","0"
"MQ","12/04/2021","4180","N245NN","MIA","16:47","16:51","63","55","4","17:00","9","0","0","0","0","0"
"MQ","12/04/2022","3332","N258NN","BNA","14:40","16:06","117","106","86","16:16","10","75","0","0","0","0"
"MQ","12/04/2022","3347","N222NS","BNA","09:50","09:49","117","132","-1","10:06","17","0","0","0","0","0"
"MQ","12/04/2022","3412","N256NN","MIA","13:25","13:23","67","56","-2","13:35","12","0","0","0","0","0"
"MQ","12/04/2022","3962","N258NN","RDU","19:59","20:32","110","98","33","20:42","10","0","0","0","0","21"
"MQ","12/04/2023","3335","N241NN","MIA","07:00","06:56","65","58","-4","07:08","12","0","0","0","0","0"
"MQ","12/04/2023","3466","N281NN","MIA","20:30","20:30","65","62","0","20:45","15","0","0","0","0","0"
"MQ","12/04/2023","3668","N230NN","BNA","20:28","21:48","115","108","80","21:58","10","0","0","0","0","73"
