Detailed Statistics Departures  
Origin Airport: Tampa, FL: Tampa International (TPA)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0739","N358FR","DEN","22:04","21:58","248","231","-6","22:12","14","0","0","0","0","0"
"F9","12/01/2021","0826","N360FR","TTN","10:17","10:10","156","162","-7","10:34","24","0","0","0","0","0"
"F9","12/01/2021","2099","N349FR","LAS","22:44","23:03","315","286","19","23:17","14","0","0","0","0","0"
"F9","12/01/2021","2374","N331FR","PHL","21:38","21:32","158","139","-6","21:45","13","0","0","0","0","0"
"F9","12/01/2021","2380","N331FR","PHL","14:15","14:10","160","157","-5","14:33","23","0","0","0","0","0"
"F9","12/01/2021","2434","N238FR","CLE","18:28","18:18","157","171","-10","18:32","14","0","0","0","0","0"
"F9","12/01/2021","2436","N328FR","CLE","06:00","05:56","158","150","-4","06:11","15","0","0","0","0","0"
"F9","12/01/2021","2500","N358FR","BUF","06:15","06:11","168","153","-4","06:23","12","0","0","0","0","0"
"F9","12/01/2021","2510","N238FR","GRR","10:55","11:07","178","166","12","11:22","15","0","0","0","0","0"
"F9","12/01/2021","2518","N349FR","ISP","07:46","07:44","164","155","-2","07:57","13","0","0","0","0","0"
"F9","12/01/2021","2520","N360FR","ISP","17:23","17:21","165","157","-2","17:41","20","0","0","0","0","0"
"F9","12/01/2021","2538","N358FR","PWM","13:45","13:38","186","179","-7","13:59","21","0","0","0","0","0"
"F9","12/01/2021","2550","N205FR","ATL","15:35","15:20","100","89","-15","15:34","14","0","0","0","0","0"
"F9","12/01/2021","2554","N205FR","EWR","07:54","07:52","171","162","-2","08:03","11","0","0","0","0","0"
"F9","12/01/2021","2562","N380FR","ALB","14:59","14:48","165","162","-11","15:04","16","0","0","0","0","0"
"F9","12/01/2021","2567","N380FR","DFW","07:19","07:12","186","193","-7","07:24","12","0","0","0","0","0"
"F9","12/01/2021","2586","N328FR","LGA","19:18","19:10","167","159","-8","19:25","15","0","0","0","0","0"
"F9","12/01/2022","0120","N309FR","SJU","08:35","08:28","184","177","-7","08:43","15","0","0","0","0","0"
"F9","12/01/2022","0739","N322FR","DEN","14:06","15:00","253","251","54","15:17","17","0","0","0","0","52"
"F9","12/01/2022","0741","N719FR","DEN","19:45","22:24","254","250","159","22:39","15","1","0","0","0","154"
"F9","12/01/2022","1760","N337FR","CVG","10:23","10:33","138","131","10","10:49","16","0","0","0","0","0"
"F9","12/01/2022","2099","N356FR","LAS","18:57","18:50","311","310","-7","19:04","14","0","0","0","0","0"
"F9","12/01/2022","2378","N721FR","PHL","09:30","10:05","153","150","35","10:23","18","1","0","0","0","31"
"F9","12/01/2022","2432","N211FR","CLE","18:01","17:49","157","146","-12","18:00","11","0","0","0","0","0"
"F9","12/01/2022","2434","N339FR","CLE","06:00","05:45","159","172","-15","06:11","26","0","0","0","0","0"
"F9","12/01/2022","2436","N713FR","CLE","09:20","09:08","154","149","-12","09:19","11","0","0","0","0","0"
