Detailed Statistics Departures  
Origin Airport: Tampa, FL: Tampa International (TPA)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0048","N562JB","LGA","07:57","07:48","153","150","-9","07:59","11","0","0","0","0","0"
"B6","12/01/2021","0126","N580JB","JFK","19:30","20:07","156","153","37","20:17","10","8","0","0","0","26"
"B6","12/01/2021","0226","N587JB","JFK","06:45","06:34","153","154","-11","06:53","19","0","0","0","0","0"
"B6","12/01/2021","0392","N3077J","BOS","20:05","20:37","175","164","32","20:47","10","17","0","0","0","4"
"B6","12/01/2021","0426","N746JB","JFK","10:27","10:57","152","165","30","11:15","18","30","0","13","0","0"
"B6","12/01/2021","0548","N606JB","HPN","19:00","18:51","158","147","-9","19:01","10","0","0","0","0","0"
"B6","12/01/2021","0592","N975JT","BOS","15:25","15:38","179","165","13","15:49","11","0","0","0","0","0"
"B6","12/01/2021","0792","N975JT","BOS","07:00","07:06","172","177","6","07:16","10","0","0","0","0","0"
"B6","12/01/2021","0892","N3077J","BOS","12:00","11:54","174","159","-6","12:03","9","0","0","0","0","0"
"B6","12/01/2021","1534","N663JB","BDL","11:45","11:43","160","149","-2","11:53","10","0","0","0","0","0"
"B6","12/01/2021","2274","N608JB","EWR","09:54","09:47","159","167","-7","09:57","10","0","0","0","0","0"
"B6","12/01/2021","2751","N763JB","SJU","13:15","13:46","171","169","31","13:56","10","22","0","0","0","7"
"B6","12/01/2021","2810","N562JB","LGA","15:05","15:10","158","148","5","15:23","13","0","0","0","0","0"
"B6","12/01/2022","0048","N806JB","LGA","07:25","07:20","154","173","-5","07:38","18","0","0","0","0","0"
"B6","12/01/2022","0126","N834JB","JFK","14:00","14:35","159","156","35","14:48","13","10","0","0","0","22"
