Detailed Statistics Departures  
Origin Airport: Tampa, FL: Tampa International (TPA)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","4566","N109HQ","BNA","14:45","14:42","111","113","-3","14:57","15","0","0","0","0","0"
"YX","12/01/2021","4677","N109HQ","BNA","09:35","09:48","111","116","13","10:05","17","0","13","5","0","0"
"YX","12/01/2021","4694","N452YX","RDU","20:30","20:38","113","103","8","20:52","14","0","0","0","0","0"
"YX","12/02/2021","4566","N452YX","BNA","14:45","14:44","111","113","-1","15:01","17","0","0","0","0","0"
"YX","12/02/2021","4677","N452YX","BNA","09:35","09:31","111","112","-4","09:44","13","0","0","0","0","0"
"YX","12/02/2021","4694","N452YX","RDU","20:30","20:15","113","109","-15","20:27","12","0","0","0","0","0"
"YX","12/02/2023","4499","N105HQ","MIA","19:15","19:08","75","61","-7","19:24","16","0","0","0","0","0"
"YX","12/03/2021","4566","N452YX","BNA","14:45","14:36","111","108","-9","14:48","12","0","0","0","0","0"
"YX","12/03/2021","4677","N452YX","BNA","09:35","09:25","111","119","-10","09:44","19","0","0","0","0","0"
"YX","12/03/2021","4694","N452YX","RDU","20:30","20:23","113","110","-7","20:43","20","0","0","0","0","0"
"YX","12/04/2021","4566","N452YX","BNA","14:45","14:38","111","116","-7","14:55","17","0","0","0","0","0"
"YX","12/04/2021","4677","N452YX","BNA","09:35","09:32","111","109","-3","09:45","13","0","0","0","0","0"
"YX","12/04/2021","4694","N452YX","RDU","20:30","20:23","113","96","-7","20:32","9","0","0","0","0","0"
"YX","12/05/2021","4566","N437YX","BNA","14:45","14:36","111","136","-9","14:55","19","0","0","16","0","0"
"YX","12/05/2021","4677","N437YX","BNA","09:26","09:29","111","111","3","09:43","14","0","0","0","0","0"
"YX","12/05/2021","4694","N452YX","RDU","20:30","20:26","113","103","-4","20:45","19","0","0","0","0","0"
"YX","12/06/2021","4566","N452YX","BNA","14:45","16:01","111","116","76","16:16","15","0","0","5","0","76"
"YX","12/06/2021","4677","N452YX","BNA","09:35","09:36","111","152","1","09:54","18","0","1","41","0","0"
"YX","12/06/2021","4694","N452YX","RDU","20:30","21:07","113","104","37","21:22","15","5","0","0","0","23"
"YX","12/07/2021","4566","N452YX","BNA","14:45","14:44","111","116","-1","14:58","14","0","0","0","0","0"
"YX","12/07/2021","4677","N452YX","BNA","09:35","09:38","111","123","3","10:06","28","0","0","12","0","3"
"YX","12/07/2021","4694","N452YX","RDU","20:30","20:19","113","114","-11","20:39","20","0","0","0","0","0"
"YX","12/08/2021","4566","N411YX","BNA","14:45","14:37","111","215","-8","16:32","115","0","0","96","0","0"
"YX","12/08/2021","4677","N411YX","BNA","09:35","09:29","111","122","-6","09:51","22","0","0","0","0","0"
"YX","12/08/2021","4694","N446YX","RDU","20:30","20:20","113","106","-10","20:35","15","0","0","0","0","0"
"YX","12/09/2021","4566","N116HQ","BNA","14:45","14:39","111","123","-6","14:58","19","0","0","0","0","0"
"YX","12/09/2021","4677","N116HQ","BNA","09:35","10:00","111","119","25","10:12","12","5","20","8","0","0"
"YX","12/09/2021","4694","N116HQ","RDU","20:30","20:26","113","108","-4","20:40","14","0","0","0","0","0"
"YX","12/09/2023","4547","N124HQ","MIA","19:15","19:12","73","56","-3","19:22","10","0","0","0","0","0"
"YX","12/10/2021","4566","N449YX","BNA","14:45","14:36","111","111","-9","14:49","13","0","0","0","0","0"
"YX","12/10/2021","4677","N449YX","BNA","09:35","09:30","111","112","-5","09:43","13","0","0","0","0","0"
"YX","12/10/2021","4694","N449YX","RDU","20:30","20:23","113","109","-7","20:35","12","0","0","0","0","0"
"YX","12/11/2021","4566","N404YX","BNA","14:45","15:35","111","114","50","15:48","13","1","0","3","0","49"
"YX","12/11/2021","4677","N445YX","BNA","09:35","09:33","111","177","-2","09:42","9","0","0","64","0","0"
"YX","12/11/2021","4694","N401YX","RDU","20:30","20:19","113","109","-11","20:37","18","0","0","0","0","0"
"YX","12/12/2021","4566","N401YX","BNA","14:45","14:43","111","109","-2","14:57","14","0","0","0","0","0"
