Detailed Statistics Departures  
Origin Airport: Texarkana, AR: Texarkana Regional-Webb Field (TXK)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3875","N932AE","DFW","10:27","10:22","63","68","-5","10:32","10","0","0","0","0","0"
"MQ","12/01/2021","4008","N932AE","DFW","18:24","19:08","63","58","44","19:17","9","2","0","0","0","37"
"MQ","12/01/2021","4097","N693AE","DFW","06:20","06:21","67","70","1","06:35","14","0","0","0","0","0"
"MQ","12/02/2021","3875","N932AE","DFW","10:27","10:30","63","98","3","11:19","49","3","0","35","0","0"
"MQ","12/02/2021","4008","N684JW","DFW","18:24","18:16","63","60","-8","18:25","9","0","0","0","0","0"
"MQ","12/02/2021","4097","N616AE","DFW","06:20","06:15","67","60","-5","06:26","11","0","0","0","0","0"
"MQ","12/03/2021","3875","N607AE","DFW","10:27","10:27","63","61","0","10:37","10","0","0","0","0","0"
"MQ","12/03/2021","4008","N687JS","DFW","18:24","18:20","63","57","-4","18:29","9","0","0","0","0","0"
"MQ","12/03/2021","4097","N923AE","DFW","06:20","06:15","67","56","-5","06:22","7","0","0","0","0","0"
"MQ","12/04/2021","3875","N928AE","DFW","10:27","10:15","63","72","-12","10:36","21","0","0","0","0","0"
"MQ","12/04/2021","4008","N922AE","DFW","18:24","18:31","63","74","7","18:54","23","7","0","11","0","0"
"MQ","12/04/2021","4097","N611AE","DFW","06:20","06:19","67","77","-1","06:48","29","0","0","0","0","0"
"MQ","12/05/2021","3875","N689EC","DFW","10:27","10:26","63","69","-1","10:46","20","0","0","0","0","0"
"MQ","12/05/2021","4008","N664MS","DFW","18:24","19:40","63","66","76","19:59","19","0","0","3","0","76"
"MQ","12/05/2021","4097","N671AE","DFW","06:20","06:10","67","65","-10","06:25","15","0","0","0","0","0"
"MQ","12/06/2021","3875","N673AE","DFW","10:27","10:26","63","66","-1","10:33","7","0","0","0","0","0"
"MQ","12/06/2021","4008","N688AE","DFW","18:24","18:15","63","57","-9","18:22","7","0","0","0","0","0"
"MQ","12/06/2021","4097","N932AE","DFW","06:20","06:20","67","67","0","06:35","15","0","0","0","0","0"
"MQ","12/07/2021","3875","N671AE","DFW","10:27","10:21","63","67","-6","10:35","14","0","0","0","0","0"
"MQ","12/07/2021","4008","N606AE","DFW","18:24","18:14","63","57","-10","18:21","7","0","0","0","0","0"
"MQ","12/07/2021","4097","N922AE","DFW","06:20","06:15","67","55","-5","06:24","9","0","0","0","0","0"
"MQ","12/08/2021","3875","N653AE","DFW","10:27","10:21","63","113","-6","11:25","64","0","0","44","0","0"
"MQ","12/08/2021","4008","N689EC","DFW","18:24","18:17","63","67","-7","18:27","10","0","0","0","0","0"
"MQ","12/08/2021","4097","N932AE","DFW","06:20","09:46","67","55","206","09:53","7","0","0","0","0","194"
"MQ","12/09/2021","3875","N671AE","DFW","10:27","10:27","63","59","0","10:33","6","0","0","0","0","0"
"MQ","12/09/2021","4008","N618AE","DFW","18:24","18:14","63","58","-10","18:25","11","0","0","0","0","0"
"MQ","12/09/2021","4097","N684JW","DFW","06:20","06:18","67","55","-2","06:26","8","0","0","0","0","0"
"MQ","12/10/2021","3875","N607AE","DFW","10:27","10:24","63","69","-3","10:40","16","0","0","0","0","0"
"MQ","12/10/2021","4008","N673AE","DFW","18:24","18:36","63","73","12","18:51","15","0","0","10","0","12"
"MQ","12/10/2021","4097","N689EC","DFW","06:20","06:08","67","58","-12","06:18","10","0","0","0","0","0"
"MQ","12/11/2021","3875","N680AE","DFW","10:27","10:30","63","67","3","10:41","11","0","0","0","0","0"
"MQ","12/11/2021","4008","N687JS","DFW","18:24","18:22","63","57","-2","18:28","6","0","0","0","0","0"
"MQ","12/11/2021","4097","N681AE","DFW","06:20","06:17","67","67","-3","06:22","5","0","0","0","0","0"
"MQ","12/12/2021","3875","N616AE","DFW","10:27","10:20","63","54","-7","10:28","8","0","0","0","0","0"
"MQ","12/12/2021","4008","N681AE","DFW","18:24","18:24","63","76","0","18:38","14","0","0","0","0","0"
"MQ","12/12/2021","4097","N922AE","DFW","06:20","06:17","67","56","-3","06:26","9","0","0","0","0","0"
"MQ","12/13/2021","3875","N694AE","DFW","10:27","10:20","63","58","-7","10:31","11","0","0","0","0","0"
"MQ","12/13/2021","4008","N687JS","DFW","18:24","18:23","63","57","-1","18:31","8","0","0","0","0","0"
"MQ","12/13/2021","4097","N684JW","DFW","06:20","06:15","67","53","-5","06:27","12","0","0","0","0","0"
"MQ","12/14/2021","3875","N688AE","DFW","10:27","10:23","63","58","-4","10:30","7","0","0","0","0","0"
"MQ","12/14/2021","4008","N616AE","DFW","18:24","18:40","63","68","16","18:56","16","2","0","5","0","14"
"MQ","12/14/2021","4097","N689EC","DFW","06:20","06:15","67","80","-5","06:39","24","0","0","0","0","0"
"MQ","12/15/2021","3875","N689EC","DFW","10:27","10:23","63","71","-4","10:39","16","0","0","0","0","0"
"MQ","12/15/2021","4008","N687JS","DFW","18:24","18:15","63","63","-9","18:26","11","0","0","0","0","0"
"MQ","12/15/2021","4097","N616AE","DFW","06:20","06:17","67","63","-3","06:27","10","0","0","0","0","0"
"MQ","12/16/2021","3759","N688AE","DFW","20:09","19:58","79","99","-11","20:04","6","0","0","0","0","0"
"MQ","12/16/2021","3875","N673AE","DFW","10:30","10:26","73","79","-4","10:39","13","0","0","0","0","0"
"MQ","12/16/2021","4008","N687JS","DFW","18:21","18:18","78","74","-3","18:32","14","0","0","0","0","0"
"MQ","12/16/2021","4097","N687JS","DFW","06:19","06:18","81","60","-1","06:26","8","0","0","0","0","0"
"MQ","12/17/2021","3759","N606AE","DFW","20:09","20:01","79","59","-8","20:06","5","0","0","0","0","0"
"MQ","12/17/2021","3875","N933JN","DFW","10:30","10:30","73","58","0","10:37","7","0","0","0","0","0"
"MQ","12/17/2021","4008","N925AE","DFW","18:21","19:18","78","90","57","19:34","16","0","0","12","0","57"
"MQ","12/17/2021","4097","N607AE","DFW","06:19","06:16","81","68","-3","06:29","13","0","0","0","0","0"
"MQ","12/18/2021","3759","N932AE","DFW","20:09","20:57","79","68","48","21:09","12","0","0","0","0","37"
"MQ","12/18/2021","3875","N606AE","DFW","10:30","11:25","73","75","55","11:42","17","2","0","2","0","53"
"MQ","12/18/2021","4008","N653AE","DFW","18:21","18:48","78","80","27","18:59","11","5","0","2","0","22"
"MQ","12/18/2021","4097","N673AE","DFW","06:19","07:25","81","61","66","07:34","9","0","46","0","0","0"
"MQ","12/19/2021","3759","N688AE","DFW","20:09","19:55","79","61","-14","20:03","8","0","0","0","0","0"
"MQ","12/19/2021","3875","N606AE","DFW","10:30","10:30","73","71","0","10:39","9","0","0","0","0","0"
"MQ","12/19/2021","4008","N616AE","DFW","18:21","18:13","78","62","-8","18:23","10","0","0","0","0","0"
"MQ","12/19/2021","4097","N616AE","DFW","06:19","06:14","81","82","-5","06:40","26","0","0","0","0","0"
"MQ","12/20/2021","3759","N932AE","DFW","20:09","20:01","79","86","-8","20:08","7","0","0","0","0","0"
"MQ","12/20/2021","3875","N671AE","DFW","10:30","10:30","73","74","0","11:00","30","0","0","0","0","0"
"MQ","12/20/2021","4008","N680AE","DFW","18:21","18:29","78","62","8","18:40","11","0","0","0","0","0"
"MQ","12/20/2021","4097","N922AE","DFW","06:19","06:10","81","80","-9","06:36","26","0","0","0","0","0"
"MQ","12/21/2021","3759","N676AE","DFW","20:09","19:59","79","65","-10","20:06","7","0","0","0","0","0"
"MQ","12/21/2021","3875","N693AE","DFW","10:30","10:29","73","56","-1","10:39","10","0","0","0","0","0"
"MQ","12/21/2021","4008","N905JH","DFW","18:21","18:26","78","58","5","18:32","6","0","0","0","0","0"
"MQ","12/21/2021","4097","N689EC","DFW","06:19","06:15","81","54","-4","06:23","8","0","0","0","0","0"
"MQ","12/22/2021","3759","N616AE","DFW","20:09","19:59","79","64","-10","20:09","10","0","0","0","0","0"
"MQ","12/22/2021","3875","N619AE","DFW","10:30","10:28","73","58","-2","10:41","13","0","0","0","0","0"
"MQ","12/22/2021","4008","N688AE","DFW","18:21","18:11","78","53","-10","18:19","8","0","0","0","0","0"
"MQ","12/22/2021","4097","N688AE","DFW","06:19","06:17","81","52","-2","06:25","8","0","0","0","0","0"
"MQ","12/23/2021","3759","N689EC","DFW","20:09","20:05","79","88","-4","20:19","14","0","0","0","0","0"
"MQ","12/23/2021","3875","N687JS","DFW","10:30","10:30","73","59","0","10:41","11","0","0","0","0","0"
"MQ","12/23/2021","4008","N928AE","DFW","18:21","18:19","78","66","-2","18:32","13","0","0","0","0","0"
"MQ","12/23/2021","4097","N909AE","DFW","06:19","06:15","81","58","-4","06:24","9","0","0","0","0","0"
"MQ","12/24/2021","3875","N622AE","DFW","10:29","10:28","73","55","-1","10:36","8","0","0","0","0","0"
"MQ","12/24/2021","4097","N923AE","DFW","06:19","06:13","81","57","-6","06:20","7","0","0","0","0","0"
"MQ","12/25/2021","3759","N905JH","DFW","20:09","20:00","79","64","-9","20:08","8","0","0","0","0","0"
"MQ","12/25/2021","3875","N905JH","DFW","10:30","10:22","73","63","-8","10:28","6","0","0","0","0","0"
"MQ","12/25/2021","4008","N607AE","DFW","18:21","19:04","78","52","43","19:11","7","0","0","0","0","17"
"MQ","12/26/2021","3759","N932AE","DFW","20:09","20:00","79","96","-9","20:07","7","0","0","0","0","0"
"MQ","12/26/2021","3875","N671AE","DFW","10:30","12:30","73","53","120","12:36","6","2","0","0","0","98"
"MQ","12/26/2021","4008","N653AE","DFW","18:21","19:00","78","68","39","19:16","16","4","0","0","0","25"
"MQ","12/26/2021","4097","N694AE","DFW","06:19","06:14","81","89","-5","06:38","24","0","0","0","0","0"
"MQ","12/27/2021","3759","N676AE","DFW","20:09","21:56","79","54","107","22:01","5","0","0","0","0","82"
"MQ","12/27/2021","3875","N668HH","DFW","10:30","10:22","73","70","-8","10:40","18","0","0","0","0","0"
"MQ","12/27/2021","4008","N923AE","DFW","18:21","20:10","78","95","109","20:19","9","0","0","17","0","109"
"MQ","12/27/2021","4097","N923AE","DFW","06:19","06:12","81","65","-7","06:22","10","0","0","0","0","0"
"MQ","12/28/2021","3759","N618AE","DFW","20:09","20:07","79","58","-2","20:15","8","0","0","0","0","0"
"MQ","12/28/2021","3875","N931AE","DFW","10:30","13:30","73","53","180","13:40","10","11","0","0","0","149"
"MQ","12/28/2021","4008","N932AE","DFW","18:21","18:12","78","65","-9","18:21","9","0","0","0","0","0"
"MQ","12/28/2021","4097","N932AE","DFW","06:19","06:19","81","82","0","06:42","23","0","0","0","0","0"
"MQ","12/29/2021","3759","N933JN","DFW","20:09","20:02","79","81","-7","20:14","12","0","0","0","0","0"
"MQ","12/29/2021","3875","N668HH","DFW","10:30","10:33","73","80","3","10:52","19","0","0","0","0","0"
"MQ","12/29/2021","4008","N689EC","DFW","18:21","19:22","78","76","61","19:48","26","11","0","0","0","48"
"MQ","12/29/2021","4097","N689EC","DFW","06:19","06:18","81","77","-1","06:37","19","0","0","0","0","0"
"MQ","12/30/2021","3759","N905JH","DFW","20:09","19:59","79","68","-10","20:10","11","0","0","0","0","0"
"MQ","12/30/2021","3875","N688AE","DFW","10:30","10:29","73","57","-1","10:38","9","0","0","0","0","0"
"MQ","12/30/2021","4008","N618AE","DFW","18:21","18:18","78","61","-3","18:28","10","0","0","0","0","0"
"MQ","12/30/2021","4097","N681AE","DFW","06:19","00:00","81","0","0","00:00","0","0","0","0","0","0"
"MQ","12/31/2021","3875","N616AE","DFW","10:29","10:37","73","57","8","10:44","7","0","0","0","0","0"
"MQ","12/31/2021","4097","N932AE","DFW","06:19","06:14","81","63","-5","06:23","9","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
