Detailed Statistics Departures  
Origin Airport: Texarkana, AR: Texarkana Regional-Webb Field (TXK)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","4948","N656CA","DFW","06:20","06:17","67","83","-3","06:54","37","0","0","0","0","0"
"OO","12/01/2022","4952","N760SK","DFW","18:32","18:24","67","74","-8","18:39","15","0","0","0","0","0"
"OO","12/01/2022","5009","N760SK","DFW","11:19","11:10","67","55","-9","11:20","10","0","0","0","0","0"
"OO","12/01/2023","3119","N772SK","DFW","06:05","05:55","74","71","-10","06:07","12","0","0","0","0","0"
"OO","12/01/2023","3202","N771SK","DFW","16:25","17:10","73","86","45","17:30","20","0","0","13","0","45"
"OO","12/01/2023","4933","N715SK","DFW","10:23","10:12","73","73","-11","10:26","14","0","0","0","0","0"
"OO","12/02/2022","4948","N732SK","DFW","06:20","06:10","67","91","-10","06:48","38","0","0","0","0","0"
"OO","12/02/2022","4952","N708SK","DFW","18:32","18:22","67","67","-10","18:39","17","0","0","0","0","0"
"OO","12/02/2022","5009","N708SK","DFW","11:19","11:11","67","74","-8","11:29","18","0","0","0","0","0"
"OO","12/02/2023","3119","N708EV","DFW","06:05","05:57","74","58","-8","06:08","11","0","0","0","0","0"
"OO","12/02/2023","3202","N705SK","DFW","16:25","16:15","73","58","-10","16:23","8","0","0","0","0","0"
"OO","12/02/2023","4933","N724SK","DFW","10:23","10:18","73","58","-5","10:23","5","0","0","0","0","0"
"OO","12/03/2022","4948","N767SK","DFW","06:20","07:00","67","60","40","07:10","10","33","0","0","0","0"
"OO","12/03/2022","4952","N705SK","DFW","18:39","18:36","67","72","-3","18:46","10","0","0","0","0","0"
"OO","12/03/2022","5009","N719EV","DFW","11:19","11:07","67","61","-12","11:19","12","0","0","0","0","0"
"OO","12/03/2023","3119","N709SK","DFW","06:05","05:55","74","63","-10","06:08","13","0","0","0","0","0"
"OO","12/03/2023","3202","N706SK","DFW","16:25","16:22","73","67","-3","16:42","20","0","0","0","0","0"
"OO","12/03/2023","4933","N709SK","DFW","10:23","10:17","73","65","-6","10:27","10","0","0","0","0","0"
"OO","12/04/2022","4948","N776SK","DFW","06:20","06:14","67","54","-6","06:18","4","0","0","0","0","0"
"OO","12/04/2022","4952","N722EV","DFW","18:32","18:19","67","65","-13","18:27","8","0","0","0","0","0"
"OO","12/04/2022","5009","N722EV","DFW","11:19","11:34","67","60","15","11:42","8","0","0","0","0","0"
"OO","12/04/2023","3119","N766SK","DFW","06:05","05:55","74","83","-10","06:19","24","0","0","0","0","0"
"OO","12/04/2023","3202","N724SK","DFW","16:25","16:15","73","73","-10","16:29","14","0","0","0","0","0"
"OO","12/04/2023","4933","N706SK","DFW","10:23","10:18","73","79","-5","10:33","15","0","0","0","0","0"
"OO","12/05/2022","4948","N740SK","DFW","06:20","06:12","67","49","-8","06:17","5","0","0","0","0","0"
"OO","12/05/2022","4952","N773SK","DFW","18:32","18:19","67","60","-13","18:30","11","0","0","0","0","0"
"OO","12/05/2022","5009","N773SK","DFW","11:19","11:28","67","66","9","11:42","14","0","0","0","0","0"
"OO","12/05/2023","3119","N706SK","DFW","06:05","05:57","74","84","-8","06:18","21","0","0","0","0","0"
"OO","12/05/2023","3202","N632SK","DFW","16:27","16:17","73","69","-10","16:29","12","0","0","0","0","0"
"OO","12/05/2023","4933","N724EV","DFW","10:24","10:19","73","74","-5","10:34","15","0","0","0","0","0"
"OO","12/06/2022","4948","N710SK","DFW","06:20","06:12","67","56","-8","06:17","5","0","0","0","0","0"
"OO","12/06/2022","4952","N768SK","DFW","18:32","08:50","67","74","858","09:19","29","865","0","0","0","0"
"OO","12/06/2022","5009","N750EV","DFW","11:19","11:09","67","53","-10","11:17","8","0","0","0","0","0"
"OO","12/06/2023","3119","N706SK","DFW","06:05","05:55","74","73","-10","06:20","25","0","0","0","0","0"
"OO","12/06/2023","3202","N606SK","DFW","16:27","16:17","73","55","-10","16:24","7","0","0","0","0","0"
"OO","12/06/2023","4933","N758SK","DFW","10:24","10:13","73","69","-11","10:34","21","0","0","0","0","0"
"OO","12/07/2022","4948","N709SK","DFW","06:20","06:14","67","88","-6","06:43","29","15","0","0","0","0"
"OO","12/07/2022","4952","N756SK","DFW","18:32","18:36","67","82","4","18:53","17","0","0","0","0","19"
"OO","12/07/2022","5009","N776SK","DFW","11:19","11:11","67","62","-8","11:27","16","0","0","0","0","0"
"OO","12/07/2023","3119","N658CA","DFW","06:05","05:58","74","75","-7","06:20","22","0","0","0","0","0"
"OO","12/07/2023","3202","N726SK","DFW","16:27","16:26","73","112","-1","17:23","57","0","0","38","0","0"
"OO","12/07/2023","4933","N770SK","DFW","10:24","10:28","73","64","4","10:41","13","0","0","0","0","0"
"OO","12/08/2022","4948","N656CA","DFW","06:20","06:10","67","65","-10","06:20","10","0","0","0","0","0"
"OO","12/08/2022","4952","N750EV","DFW","18:32","18:29","67","64","-3","18:42","13","0","0","0","0","0"
"OO","12/08/2022","5009","N719EV","DFW","11:19","11:09","67","63","-10","11:21","12","0","0","0","0","0"
"OO","12/08/2023","3119","N709SK","DFW","06:05","05:49","74","81","-16","06:16","27","0","0","0","0","0"
"OO","12/08/2023","3202","N771SK","DFW","16:27","16:18","73","66","-9","16:33","15","0","0","0","0","0"
"OO","12/08/2023","4933","N611SK","DFW","10:24","10:29","73","68","5","10:47","18","0","0","0","0","0"
"OO","12/09/2022","4948","N748SK","DFW","06:20","06:09","67","72","-11","06:24","15","0","0","0","0","0"
"OO","12/09/2022","4952","N614QX","DFW","18:32","18:22","67","84","-10","18:43","21","0","0","0","0","0"
"OO","12/09/2022","5009","N614QX","DFW","11:19","11:16","67","80","-3","11:26","10","0","0","0","0","0"
"OO","12/09/2023","3119","N612QX","DFW","06:05","10:29","74","72","264","10:36","7","262","0","0","0","0"
"OO","12/09/2023","3202","N710EV","DFW","16:27","16:25","73","64","-2","16:33","8","0","0","0","0","0"
"OO","12/09/2023","4933","N706SK","DFW","10:24","10:14","73","78","-10","10:31","17","0","0","0","0","0"
"OO","12/10/2022","4948","N718EV","DFW","06:20","06:10","67","70","-10","06:25","15","0","0","0","0","0"
"OO","12/10/2022","4952","N755SK","DFW","18:39","18:37","67","68","-2","18:50","13","0","0","0","0","0"
"OO","12/10/2022","5009","N740SK","DFW","11:19","11:10","67","71","-9","11:31","21","0","0","0","0","0"
"OO","12/10/2023","3119","N632SK","DFW","06:05","05:55","74","95","-10","06:25","30","0","0","0","0","0"
"OO","12/10/2023","3202","N765SK","DFW","16:27","16:10","73","72","-17","16:24","14","0","0","0","0","0"
"OO","12/10/2023","4933","N772SK","DFW","10:24","11:12","73","71","48","11:27","15","46","0","0","0","0"
"OO","12/11/2022","4948","N740SK","DFW","06:20","06:13","67","64","-7","06:26","13","0","0","0","0","0"
"OO","12/11/2022","4952","N720EV","DFW","18:32","18:29","67","87","-3","18:50","21","17","0","0","0","0"
"OO","12/11/2022","5009","N720EV","DFW","11:19","11:06","67","70","-13","11:25","19","0","0","0","0","0"
"OO","12/11/2023","3119","N611SK","DFW","06:05","05:55","74","60","-10","06:09","14","0","0","0","0","0"
"OO","12/11/2023","3202","N707SK","DFW","16:27","16:15","73","102","-12","17:08","53","0","0","17","0","0"
"OO","12/11/2023","4933","N633SK","DFW","10:24","10:16","73","62","-8","10:28","12","0","0","0","0","0"
"OO","12/12/2022","4948","N719EV","DFW","06:20","06:10","67","60","-10","06:21","11","0","0","0","0","0"
"OO","12/12/2022","4952","N715SK","DFW","18:32","18:22","67","68","-10","18:29","7","0","0","0","0","0"
"OO","12/12/2022","5009","N715SK","DFW","11:19","11:09","67","78","-10","11:43","34","0","0","0","0","0"
"OO","12/12/2023","3119","N633SK","DFW","06:05","06:03","74","58","-2","06:13","10","0","0","0","0","0"
"OO","12/12/2023","3202","N658CA","DFW","16:27","16:22","73","68","-5","16:38","16","0","0","0","0","0"
"OO","12/12/2023","4933","N724EV","DFW","10:24","10:20","73","57","-4","10:28","8","0","0","0","0","0"
"OO","12/13/2022","4948","N709SK","DFW","06:20","06:06","67","86","-14","06:47","41","0","0","0","0","0"
"OO","12/13/2022","4952","N762SK","DFW","18:32","19:36","67","87","64","19:59","23","0","0","0","0","84"
"OO","12/13/2023","3119","N709SK","DFW","06:05","06:01","74","65","-4","06:17","16","0","0","0","0","0"
"OO","12/13/2023","3202","N717EV","DFW","16:27","16:17","73","55","-10","16:29","12","0","0","0","0","0"
"OO","12/13/2023","4933","N707EV","DFW","10:24","10:17","73","63","-7","10:31","14","0","0","0","0","0"
"OO","12/14/2022","4948","N707SK","DFW","06:20","06:14","67","57","-6","06:21","7","0","0","0","0","0"
"OO","12/14/2022","4952","N658CA","DFW","18:32","18:19","67","70","-13","18:33","14","0","0","0","0","0"
"OO","12/14/2022","5009","N751SK","DFW","11:19","11:09","67","61","-10","11:19","10","0","0","0","0","0"
"OO","12/14/2023","3119","N706SK","DFW","06:05","05:58","74","61","-7","06:12","14","0","0","0","0","0"
"OO","12/14/2023","3202","N772SK","DFW","16:27","16:38","73","93","11","17:19","41","11","0","20","0","0"
"OO","12/14/2023","4933","N773SK","DFW","10:24","11:16","73","56","52","11:25","9","0","0","0","0","35"
"OO","12/15/2022","4948","N762SK","DFW","06:20","06:15","66","67","-5","06:27","12","0","0","0","0","0"
"OO","12/15/2022","4962","N745SK","DFW","18:26","18:09","66","61","-17","18:23","14","0","0","0","0","0"
"OO","12/15/2022","5009","N732SK","DFW","10:23","10:13","66","66","-10","10:25","12","0","0","0","0","0"
"OO","12/15/2023","3119","N707SK","DFW","06:05","05:49","74","106","-16","06:44","55","0","0","16","0","0"
"OO","12/15/2023","3202","N614SK","DFW","16:27","16:22","73","83","-5","16:38","16","0","0","0","0","0"
"OO","12/15/2023","4933","N658CA","DFW","10:24","10:16","73","63","-8","10:30","14","0","0","0","0","0"
"OO","12/16/2022","4948","N758SK","DFW","06:20","06:07","66","69","-13","06:22","15","0","0","0","0","0"
"OO","12/16/2022","4962","N751EV","DFW","18:26","18:13","66","70","-13","18:23","10","0","0","0","0","0"
"OO","12/16/2022","5009","N772SK","DFW","10:23","10:14","66","72","-9","10:25","11","0","0","0","0","0"
"OO","12/16/2023","3119","N632SK","DFW","06:05","05:55","74","74","-10","06:09","14","0","0","0","0","0"
"OO","12/16/2023","3202","N762SK","DFW","16:27","16:19","73","77","-8","16:34","15","0","0","0","0","0"
"OO","12/16/2023","4933","N750SK","DFW","10:24","12:32","73","90","128","13:08","36","128","0","17","0","0"
"OO","12/17/2022","4948","N710EV","DFW","06:20","06:17","66","61","-3","06:29","12","0","0","0","0","0"
"OO","12/17/2022","4990","N732SK","DFW","14:20","14:10","66","61","-10","14:18","8","0","0","0","0","0"
"OO","12/17/2022","5009","N751EV","DFW","10:23","10:13","66","63","-10","10:23","10","0","0","0","0","0"
"OO","12/17/2023","3119","N608SK","DFW","06:05","06:00","74","66","-5","06:17","17","0","0","0","0","0"
"OO","12/17/2023","3202","N707EV","DFW","16:27","16:17","73","72","-10","16:37","20","0","0","0","0","0"
"OO","12/17/2023","4933","N717EV","DFW","10:24","11:08","73","53","44","11:18","10","0","24","0","0","0"
"OO","12/18/2022","4948","N720EV","DFW","06:20","06:20","66","55","0","06:32","12","0","0","0","0","0"
"OO","12/18/2022","4962","N767SK","DFW","18:26","18:36","66","59","10","18:48","12","0","0","0","0","0"
"OO","12/18/2022","5009","N719EV","DFW","10:23","10:11","66","57","-12","10:20","9","0","0","0","0","0"
"OO","12/18/2023","3119","N658CA","DFW","06:05","05:55","74","85","-10","06:06","11","0","0","0","0","0"
"OO","12/18/2023","3202","N707SK","DFW","16:27","16:22","73","60","-5","16:28","6","0","0","0","0","0"
"OO","12/18/2023","4933","N632SK","DFW","10:24","10:13","73","59","-11","10:23","10","0","0","0","0","0"
"OO","12/19/2022","4948","N741EV","DFW","06:20","09:18","56","55","178","09:24","6","177","0","0","0","0"
"OO","12/19/2022","4962","N768SK","DFW","18:26","18:03","66","77","-23","18:22","19","0","0","0","0","0"
"OO","12/19/2022","5009","N710EV","DFW","10:23","10:19","66","69","-4","10:32","13","0","0","0","0","0"
"OO","12/19/2023","3119","N658CA","DFW","06:05","06:01","74","52","-4","06:10","9","0","0","0","0","0"
"OO","12/19/2023","3202","N762SK","DFW","16:27","16:23","73","68","-4","16:37","14","0","0","0","0","0"
"OO","12/19/2023","4933","N718EV","DFW","10:24","10:10","73","60","-14","10:23","13","0","0","0","0","0"
"OO","12/20/2022","4948","N724SK","DFW","06:20","06:11","66","93","-9","06:43","32","18","0","0","0","0"
"OO","12/20/2022","4962","N708SK","DFW","18:26","18:16","66","65","-10","18:24","8","0","0","0","0","0"
"OO","12/20/2022","5009","N760SK","DFW","10:23","10:10","66","75","-13","10:25","15","0","0","0","0","0"
"OO","12/20/2023","3119","N720EV","DFW","06:06","05:58","74","66","-8","06:09","11","0","0","0","0","0"
"OO","12/20/2023","3202","N719EV","DFW","16:55","16:51","71","105","-4","17:44","53","0","0","30","0","0"
"OO","12/20/2023","4933","N745SK","DFW","10:36","10:28","71","60","-8","10:37","9","0","0","0","0","0"
"OO","12/21/2022","4948","N710EV","DFW","06:20","06:14","66","63","-6","06:29","15","0","0","0","0","0"
"OO","12/21/2022","4962","N768SK","DFW","18:26","18:32","66","63","6","18:45","13","0","0","0","0","0"
"OO","12/21/2022","5009","N719EV","DFW","10:23","10:09","66","60","-14","10:22","13","0","0","0","0","0"
"OO","12/21/2023","3119","N705SK","DFW","06:06","06:05","74","77","-1","06:30","25","0","0","0","0","0"
"OO","12/21/2023","3202","N726SK","DFW","16:29","16:27","71","65","-2","16:43","16","0","0","0","0","0"
"OO","12/21/2023","4933","N710EV","DFW","10:36","10:28","71","67","-8","10:46","18","0","0","0","0","0"
"OO","12/22/2022","4948","N720EV","DFW","06:20","06:10","66","65","-10","06:22","12","0","0","0","0","0"
"OO","12/22/2022","4962","N715SK","DFW","18:26","21:54","66","82","208","22:08","14","224","0","0","0","0"
"OO","12/22/2022","5009","N719EV","DFW","10:23","10:19","66","110","-4","10:53","34","40","0","0","0","0"
"OO","12/22/2023","3119","N720EV","DFW","06:06","05:56","74","84","-10","06:26","30","0","0","0","0","0"
