Detailed Statistics Departures  
Origin Airport: Toledo, OH: Eugene F Kranz Toledo Express (TOL)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3525","N677AE","ORD","13:30","13:21","77","58","-9","13:26","5","0","0","0","0","0"
"MQ","12/01/2021","3548","N935AE","ORD","18:35","18:25","87","67","-10","18:39","14","0","0","0","0","0"
"MQ","12/02/2021","3548","N902BC","ORD","18:35","18:28","87","66","-7","18:34","6","0","0","0","0","0"
"MQ","12/03/2021","3548","N935AE","ORD","18:35","18:27","87","86","-8","18:36","9","0","0","0","0","0"
"MQ","12/04/2021","3784","N697AB","ORD","13:40","13:30","77","64","-10","13:41","11","0","0","0","0","0"
"MQ","12/05/2021","3548","N698CB","ORD","18:35","18:43","87","88","8","18:56","13","0","0","0","0","0"
"MQ","12/06/2021","3548","N698CB","ORD","18:35","09:17","87","66","882","09:22","5","19","0","0","0","842"
"MQ","12/07/2021","3548","N670AE","ORD","15:25","15:17","79","70","-8","15:31","14","0","0","0","0","0"
"MQ","12/08/2021","3548","N613AE","ORD","18:35","18:33","87","80","-2","18:58","25","0","0","0","0","0"
"MQ","12/09/2021","3548","N663AR","ORD","18:35","18:28","87","76","-7","18:47","19","0","0","0","0","0"
"MQ","12/10/2021","3548","N622AE","ORD","18:35","19:18","87","120","43","20:04","46","0","43","33","0","0"
"MQ","12/11/2021","3784","N664MS","ORD","13:40","15:19","77","87","99","15:37","18","0","79","10","0","20"
"MQ","12/12/2021","3548","N670AE","ORD","18:35","18:25","87","89","-10","18:53","28","0","0","0","0","0"
"MQ","12/13/2021","3548","N697AB","ORD","18:35","18:24","87","86","-11","18:52","28","0","0","0","0","0"
"MQ","12/14/2021","3548","N941LT","ORD","15:25","15:17","79","69","-8","15:24","7","0","0","0","0","0"
"MQ","12/15/2021","3548","N662EH","ORD","18:35","21:38","87","71","183","21:43","5","0","0","167","0","0"
"MQ","12/16/2021","3525","N661JA","ORD","10:55","10:48","78","69","-7","10:56","8","0","0","0","0","0"
"MQ","12/16/2021","3548","N663AR","ORD","15:55","15:47","75","62","-8","15:51","4","0","0","0","0","0"
"MQ","12/17/2021","3525","N663AR","ORD","10:55","10:44","78","84","-11","10:51","7","0","0","0","0","0"
"MQ","12/17/2021","3548","N623AE","ORD","15:55","15:48","75","73","-7","15:53","5","0","0","0","0","0"
"MQ","12/18/2021","3525","N605KS","ORD","10:55","10:51","78","71","-4","11:02","11","0","0","0","0","0"
"MQ","12/18/2021","3548","N615AE","ORD","16:33","17:05","80","73","32","17:19","14","0","0","0","0","25"
"MQ","12/19/2021","3525","N670AE","ORD","10:55","10:46","78","65","-9","10:51","5","0","0","0","0","0"
"MQ","12/19/2021","3548","N613AE","ORD","15:55","15:51","75","53","-4","15:55","4","0","0","0","0","0"
"MQ","12/20/2021","3525","N677AE","ORD","10:55","10:52","78","60","-3","10:58","6","0","0","0","0","0"
"MQ","12/20/2021","3548","N918AE","ORD","15:55","15:50","75","62","-5","15:59","9","0","0","0","0","0"
"MQ","12/21/2021","3525","N677AE","ORD","10:55","10:51","78","54","-4","10:56","5","0","0","0","0","0"
"MQ","12/21/2021","3548","N661JA","ORD","15:55","15:50","75","62","-5","15:57","7","0","0","0","0","0"
"MQ","12/22/2021","3525","N670AE","ORD","10:55","10:51","78","76","-4","11:13","22","0","0","0","0","0"
"MQ","12/22/2021","3548","N678AE","ORD","15:55","15:52","75","65","-3","16:02","10","0","0","0","0","0"
"MQ","12/23/2021","3525","N698CB","ORD","10:55","10:46","78","62","-9","10:53","7","0","0","0","0","0"
"MQ","12/23/2021","3548","N941LT","ORD","15:55","15:48","75","70","-7","15:59","11","0","0","0","0","0"
"MQ","12/24/2021","3525","N675AE","ORD","14:10","14:04","76","64","-6","14:16","12","0","0","0","0","0"
"MQ","12/24/2021","3548","N697AB","ORD","11:38","11:35","82","84","-3","11:56","21","0","0","0","0","0"
"MQ","12/25/2021","3525","N670AE","ORD","11:38","11:33","82","73","-5","11:40","7","0","0","0","0","0"
"MQ","12/25/2021","3548","N677AE","ORD","16:33","16:29","80","111","-4","16:33","4","0","0","27","0","0"
"MQ","12/26/2021","3525","N605KS","ORD","10:55","10:53","78","80","-2","11:03","10","0","0","0","0","0"
"MQ","12/26/2021","3548","N698CB","ORD","15:55","15:48","75","75","-7","15:57","9","0","0","0","0","0"
"MQ","12/27/2021","3525","N902BC","ORD","10:55","10:48","78","66","-7","10:58","10","0","0","0","0","0"
"MQ","12/27/2021","3548","N661JA","ORD","15:55","15:51","75","68","-4","16:01","10","0","0","0","0","0"
"MQ","12/28/2021","3525","N605KS","ORD","10:55","10:50","78","72","-5","10:55","5","0","0","0","0","0"
"MQ","12/28/2021","3548","N610AE","ORD","15:55","18:10","75","98","135","18:31","21","35","0","103","0","20"
"MQ","12/29/2021","3525","N610AE","ORD","10:55","10:48","78","61","-7","10:56","8","0","0","0","0","0"
"MQ","12/29/2021","3548","N662EH","ORD","15:55","15:46","75","67","-9","15:53","7","0","0","0","0","0"
"MQ","12/30/2021","3525","N675AE","ORD","10:55","10:45","78","66","-10","10:53","8","0","0","0","0","0"
"MQ","12/30/2021","3548","N679AE","ORD","15:55","15:43","75","78","-12","15:56","13","0","0","0","0","0"
