Detailed Statistics Departures  
Origin Airport: Toledo, OH: Eugene F Kranz Toledo Express (TOL)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","1788","279NV","PGD","19:02","19:05","154","143","3","19:11","6","0","0","0","0","0"
"G4","12/01/2022","1045","312NV","PIE","09:09","09:05","142","140","-4","09:14","9","0","0","0","0","0"
"G4","12/01/2023","1330","337NV","SFB","17:59","17:53","141","133","-6","18:00","7","0","0","0","0","0"
"G4","12/02/2021","2040","286NV","PIE","09:52","09:57","143","128","5","10:04","7","0","0","0","0","0"
"G4","12/02/2022","2842","221NV","SFB","13:57","14:27","134","130","30","14:37","10","9","0","0","0","17"
"G4","12/02/2023","2532","294NV","PGD","14:29","14:31","164","160","2","14:43","12","0","0","0","0","0"
"G4","12/03/2021","2341","244NV","SFB","21:27","22:12","136","129","45","22:21","9","5","0","0","0","33"
"G4","12/03/2022","0867","286NV","PGD","11:20","11:24","154","148","4","11:33","9","0","0","0","0","0"
"G4","12/03/2022","2340","218NV","AZA","17:56","17:36","259","272","-20","17:48","12","0","0","0","0","0"
"G4","12/03/2023","1074","316NV","PIE","21:15","20:50","149","151","-25","20:59","9","0","0","0","0","0"
"G4","12/04/2021","1560","279NV","PGD","12:01","12:03","154","153","2","12:11","8","0","0","0","0","0"
"G4","12/04/2022","1045","279NV","PIE","21:22","21:37","142","123","15","21:43","6","0","0","0","0","0"
"G4","12/04/2023","2849","319NV","SFB","18:14","18:47","141","131","33","18:55","8","0","0","0","0","23"
"G4","12/05/2021","2040","321NV","PIE","09:52","09:40","143","135","-12","09:47","7","0","0","0","0","0"
"G4","12/05/2022","1210","337NV","SFB","13:57","13:52","134","129","-5","13:59","7","0","0","0","0","0"
"G4","12/06/2021","2341","247NV","SFB","21:27","21:41","136","136","14","21:49","8","0","0","0","0","0"
"G4","12/06/2023","0938","292NV","PGD","13:39","13:56","162","155","17","14:05","9","0","0","0","0","0"
"G4","12/07/2022","0922","294NV","PGD","13:37","13:46","158","158","9","13:59","13","0","0","0","0","0"
"G4","12/07/2022","2340","256NV","AZA","16:50","16:32","259","266","-18","16:44","12","0","0","0","0","0"
"G4","12/07/2023","2599","283NV","PIE","20:35","20:19","145","136","-16","20:28","9","0","0","0","0","0"
"G4","12/08/2021","1788","251NV","PGD","19:02","19:40","154","139","38","19:47","7","5","0","0","0","18"
"G4","12/08/2022","2646","314NV","PIE","09:11","10:21","144","135","70","10:31","10","0","0","0","0","61"
"G4","12/08/2023","1228","240NV","SFB","12:06","12:10","148","139","4","12:17","7","0","0","0","0","0"
"G4","12/09/2021","2040","261NV","PIE","09:52","09:42","143","141","-10","09:51","9","0","0","0","0","0"
"G4","12/09/2022","2849","309NV","SFB","13:56","14:04","137","130","8","14:11","7","0","0","0","0","0"
"G4","12/09/2023","2502","272NV","PGD","14:29","15:11","162","163","42","15:19","8","0","0","1","0","42"
"G4","12/10/2021","2341","294NV","SFB","21:27","21:21","136","136","-6","21:31","10","0","0","0","0","0"
"G4","12/10/2022","0906","281NV","PGD","11:17","11:13","158","151","-4","11:21","8","0","0","0","0","0"
"G4","12/10/2022","2344","298NV","AZA","18:07","17:49","259","255","-18","17:56","7","0","0","0","0","0"
"G4","12/10/2023","1087","209NV","PIE","20:35","20:19","145","154","-16","20:27","8","0","0","0","0","0"
"G4","12/11/2021","1560","297NV","PGD","12:01","12:12","154","164","11","12:23","11","11","0","10","0","0"
"G4","12/11/2022","1063","260NV","PIE","21:20","21:17","144","127","-3","21:22","5","0","0","0","0","0"
"G4","12/11/2023","1217","287NV","SFB","12:06","12:06","148","137","0","12:15","9","0","0","0","0","0"
"G4","12/12/2021","2040","296NV","PIE","09:52","10:51","143","134","59","10:58","7","31","0","0","0","19"
"G4","12/12/2022","2939","332NV","SFB","13:56","14:14","137","128","18","14:23","9","0","0","0","0","0"
"G4","12/13/2021","2341","285NV","SFB","21:27","21:25","136","134","-2","21:34","9","0","0","0","0","0"
"G4","12/13/2023","0938","294NV","PGD","13:39","14:38","162","163","59","14:50","12","20","0","1","0","39"
"G4","12/14/2023","2599","277NV","PIE","20:35","20:17","145","132","-18","20:24","7","0","0","0","0","0"
"G4","12/15/2022","0698","276NV","AZA","14:50","14:52","259","248","2","14:59","7","0","0","0","0","0"
"G4","12/15/2022","0922","255NV","PGD","19:33","21:36","158","154","123","21:40","4","33","0","0","0","86"
"G4","12/15/2022","2828","215NV","SFB","11:06","11:41","137","152","35","11:49","8","0","0","50","0","0"
"G4","12/15/2023","1228","259NV","SFB","11:21","11:10","148","130","-11","11:19","9","0","0","0","0","0"
"G4","12/16/2021","1785","261NV","PGD","21:12","21:24","152","155","12","21:32","8","7","0","3","0","5"
"G4","12/16/2021","1923","259NV","PIE","09:42","09:25","143","142","-17","09:32","7","0","0","0","0","0"
"G4","12/16/2022","1053","314NV","PIE","09:31","09:24","144","141","-7","09:32","8","0","0","0","0","0"
"G4","12/16/2023","2502","294NV","PGD","14:29","15:28","162","176","59","15:39","11","9","0","14","0","50"
"G4","12/17/2021","1774","279NV","PGD","11:39","11:57","152","168","18","12:04","7","18","0","16","0","0"
"G4","12/17/2021","2434","315NV","SFB","14:37","14:35","136","139","-2","14:42","7","0","0","0","0","0"
"G4","12/17/2023","1087","250NV","PIE","20:35","20:19","145","135","-16","20:27","8","0","0","0","0","0"
"G4","12/18/2021","2285","285NV","SFB","10:10","10:19","136","136","9","10:28","9","0","0","0","0","0"
"G4","12/18/2022","1196","326NV","SFB","21:27","01:57","137","123","270","02:06","9","256","0","0","0","0"
"G4","12/18/2022","2327","239NV","AZA","12:50","12:43","259","263","-7","12:50","7","0","0","0","0","0"
"G4","12/18/2022","2466","216NV","PGD","10:37","11:42","158","146","65","11:49","7","53","0","0","0","0"
"G4","12/18/2023","1217","224NV","SFB","11:21","11:24","148","126","3","11:31","7","0","0","0","0","0"
"G4","12/19/2021","1592","297NV","PGD","17:03","18:36","152","161","93","18:46","10","8","0","9","0","85"
"G4","12/19/2021","1925","245NV","PIE","21:16","22:03","143","138","47","22:12","9","5","0","0","0","37"
"G4","12/19/2022","0883","216NV","PGD","20:18","20:07","158","153","-11","20:15","8","0","0","0","0","0"
"G4","12/19/2022","2672","238NV","PIE","09:31","09:41","144","150","10","10:02","21","0","0","16","0","0"
"G4","12/20/2021","2463","333NV","SFB","21:26","21:20","136","148","-6","21:29","9","0","0","0","0","0"
"G4","12/20/2022","2861","219NV","SFB","09:36","09:33","137","146","-3","09:42","9","0","0","0","0","0"
"G4","12/20/2023","0891","292NV","PGD","20:09","19:58","162","151","-11","20:05","7","0","0","0","0","0"
"G4","12/21/2021","1630","283NV","PGD","18:13","18:02","152","154","-11","18:07","5","0","0","0","0","0"
"G4","12/21/2021","1877","245NV","PIE","11:32","11:40","143","152","8","11:49","9","8","0","9","0","0"
"G4","12/21/2022","2371","258NV","AZA","12:50","13:10","259","252","20","13:19","9","0","0","0","0","0"
"G4","12/21/2022","2589","195NV","PGD","11:07","11:26","158","154","19","11:34","8","14","0","0","0","1"
"G4","12/21/2022","2724","205NV","PIE","09:11","09:21","144","141","10","09:30","9","0","0","0","0","0"
"G4","12/21/2023","1233","224NV","SFB","20:17","22:31","148","130","134","22:39","8","24","0","0","0","92"
"G4","12/21/2023","2465","287NV","PGD","18:55","19:00","162","149","5","19:09","9","0","0","0","0","0"
"G4","12/21/2023","2596","250NV","PIE","09:34","09:28","145","130","-6","09:35","7","0","0","0","0","0"
"G4","12/22/2021","1738","283NV","PGD","11:54","11:54","152","151","0","12:06","12","0","0","0","0","0"
"G4","12/22/2021","2216","294NV","SFB","09:45","09:33","136","154","-12","10:01","28","0","0","0","0","0"
"G4","12/22/2022","2956","240NV","SFB","09:51","10:26","137","156","35","10:42","16","0","0","54","0","0"
"G4","12/22/2023","2325","299NV","AZA","14:04","14:11","264","242","7","14:19","8","0","0","0","0","0"
"G4","12/22/2023","2828","220NV","SFB","10:26","10:20","148","129","-6","10:28","8","0","0","0","0","0"
"G4","12/23/2021","1697","235NV","PGD","09:34","10:24","152","141","50","10:32","8","0","0","0","0","39"
"G4","12/23/2021","1883","245NV","PIE","21:13","22:18","143","131","65","22:26","8","5","0","0","0","48"
"G4","12/23/2021","2454","238NV","SFB","15:09","15:10","136","118","1","15:19","9","0","0","0","0","0"
"G4","12/23/2022","1099","","PIE","10:01","00:00","144","0","0","00:00","0","0","0","0","0","0"
"G4","12/23/2023","1092","283NV","PIE","09:24","09:21","145","153","-3","09:54","33","0","0","0","0","0"
"G4","12/23/2023","2550","297NV","PGD","19:12","19:25","162","145","13","19:32","7","0","0","0","0","0"
"G4","12/24/2022","1233","","SFB","09:16","00:00","137","0","0","00:00","0","0","0","0","0","0"
"G4","12/24/2022","2344","","AZA","13:20","00:00","259","0","0","00:00","0","0","0","0","0","0"
"G4","12/24/2022","2560","","PGD","11:37","00:00","158","0","0","00:00","0","0","0","0","0","0"
"G4","12/24/2023","2922","313NV","SFB","10:01","11:06","148","136","65","11:15","9","0","0","0","0","53"
"G4","12/25/2021","2482","313NV","SFB","15:49","15:47","136","124","-2","15:57","10","0","0","0","0","0"
"G4","12/25/2022","0922","252NV","PGD","18:35","18:37","158","151","2","18:42","5","0","0","0","0","0"
"G4","12/25/2022","1236","306NV","SFB","15:16","15:09","137","131","-7","15:17","8","0","0","0","0","0"
"G4","12/25/2023","0896","297NV","PGD","19:49","19:39","162","170","-10","19:48","9","0","0","0","0","0"
"G4","12/25/2023","2714","285NV","PIE","21:11","20:43","145","139","-28","20:53","10","0","0","0","0","0"
"G4","12/26/2021","1579","279NV","PGD","15:07","00:00","152","0","0","00:00","0","0","0","0","0","0"
"G4","12/26/2021","1850","259NV","PIE","16:30","16:39","143","131","9","16:47","8","0","0","0","0","0"
"G4","12/26/2022","1045","318NV","PIE","21:20","21:13","144","155","-7","21:33","20","0","0","0","0","0"
"G4","12/26/2022","2495","252NV","PGD","10:37","11:22","158","167","45","11:29","7","0","0","54","0","0"
"G4","12/26/2023","2347","193NV","AZA","12:44","12:30","264","220","-14","12:42","12","0","0","0","0","0"
"G4","12/26/2023","2863","204NV","SFB","21:17","16:20","147","148","1143","16:35","15","1143","0","1","0","0"
"G4","12/27/2021","2386","255NV","SFB","09:15","09:10","136","136","-5","09:26","16","0","0","0","0","0"
"G4","12/27/2022","2919","240NV","SFB","14:33","14:46","137","151","13","15:15","29","7","0","14","0","6"
"G4","12/27/2023","2536","271NV","PGD","11:19","13:58","162","176","159","14:11","13","1","0","14","0","158"
"G4","12/27/2023","2648","275NV","PIE","09:24","10:06","145","158","42","10:27","21","0","0","55","0","0"
"G4","12/28/2021","1571","292NV","PGD","11:44","11:58","152","159","14","12:04","6","6","0","7","0","8"
"G4","12/28/2021","1900","233NV","PIE","18:41","19:13","143","144","32","19:25","12","10","0","1","0","22"
