Detailed Statistics Departures  
Origin Airport: Traverse City, MI: Cherry Capital (TVC)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","1332","317NV","SFB","11:36","11:49","170","156","13","12:00","11","0","0","0","0","0"
"G4","12/01/2023","2471","216NV","PGD","13:50","14:01","191","195","11","14:17","16","0","0","15","0","0"
"G4","12/02/2021","1353","290NV","AZA","21:05","21:03","258","226","-2","21:13","10","0","0","0","0","0"
"G4","12/02/2021","2303","262NV","SFB","10:38","10:40","172","150","2","10:50","10","0","0","0","0","0"
"G4","12/02/2022","2575","193NV","PGD","11:27","12:55","181","175","88","13:06","11","67","0","0","0","15"
"G4","12/03/2021","1724","235NV","PGD","18:52","19:19","192","178","27","19:28","9","0","0","0","0","0"
"G4","12/03/2023","1350","217NV","SFB","20:12","20:03","180","214","-9","20:54","51","0","0","25","0","0"
"G4","12/04/2022","1332","309NV","SFB","11:36","11:36","170","150","0","11:54","18","0","0","0","0","0"
"G4","12/04/2023","2485","216NV","PGD","14:00","14:02","191","181","2","14:11","9","0","0","0","0","0"
"G4","12/05/2021","1286","","AZA","19:52","00:00","258","0","0","00:00","0","0","0","0","0","0"
"G4","12/05/2021","2303","218NV","SFB","10:38","10:33","172","198","-5","11:19","46","0","0","21","0","0"
"G4","12/05/2022","2465","286NV","PGD","11:27","11:48","181","180","21","11:59","11","0","0","20","0","0"
"G4","12/06/2021","1724","292NV","PGD","18:52","19:50","192","222","58","20:31","41","15","0","30","0","43"
"G4","12/06/2021","6286","277NV","AZA","13:45","13:56","258","273","11","14:37","41","0","0","15","0","11"
