Detailed Statistics Departures  
Origin Airport: Traverse City, MI: Cherry Capital (TVC)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3872","N909AE","ORD","11:26","11:17","84","66","-9","11:26","9","0","0","0","0","0"
"MQ","12/01/2022","3631","N268NN","ORD","07:00","06:50","84","78","-10","07:11","21","0","0","0","0","0"
"MQ","12/01/2022","3872","N661JA","ORD","12:19","12:06","83","68","-13","12:16","10","0","0","0","0","0"
"MQ","12/01/2022","3918","N908AE","ORD","15:37","15:35","83","71","-2","15:47","12","0","0","0","0","0"
"MQ","12/02/2021","3872","N678AE","ORD","11:26","11:16","84","64","-10","11:24","8","0","0","0","0","0"
"MQ","12/02/2022","3631","N209NN","ORD","07:00","06:51","84","79","-9","07:10","19","0","0","0","0","0"
"MQ","12/02/2022","3872","N664MS","ORD","12:19","12:07","83","71","-12","12:20","13","0","0","0","0","0"
"MQ","12/02/2022","3918","N942LL","ORD","15:37","15:29","83","84","-8","15:51","22","0","0","0","0","0"
"MQ","12/03/2021","3872","N908AE","ORD","11:26","11:14","84","82","-12","11:25","11","0","0","0","0","0"
"MQ","12/03/2022","3631","N265NN","ORD","07:00","06:54","84","95","-6","07:31","37","0","0","0","0","0"
"MQ","12/03/2022","3872","N939AE","ORD","12:19","14:04","83","80","105","14:31","27","0","8","0","0","94"
"MQ","12/03/2022","3918","N902BC","ORD","15:37","15:29","83","65","-8","15:37","8","0","0","0","0","0"
"MQ","12/04/2021","3872","N662EH","ORD","11:26","11:22","84","66","-4","11:31","9","0","0","0","0","0"
"MQ","12/04/2022","3631","N271NN","ORD","07:00","06:54","84","84","-6","07:21","27","0","0","0","0","0"
"MQ","12/04/2022","3872","N905JH","ORD","12:09","11:57","83","66","-12","12:04","7","0","0","0","0","0"
"MQ","12/04/2022","3918","N662EH","ORD","15:37","15:28","83","60","-9","15:36","8","0","0","0","0","0"
"MQ","12/05/2021","3872","N696AE","ORD","11:26","11:33","84","107","7","12:15","42","7","0","23","0","0"
"MQ","12/05/2022","3631","N260NN","ORD","07:00","06:53","84","90","-7","07:16","23","0","0","0","0","0"
"MQ","12/05/2022","3872","N905JH","ORD","12:09","11:59","83","62","-10","12:08","9","0","0","0","0","0"
"MQ","12/05/2022","3918","N679AE","ORD","15:37","15:25","83","68","-12","15:33","8","0","0","0","0","0"
"MQ","12/06/2021","3872","N613AE","ORD","11:26","11:15","84","102","-11","11:43","28","0","0","0","0","0"
"MQ","12/06/2022","3631","N234JW","ORD","07:00","06:49","84","91","-11","07:08","19","0","0","0","0","0"
"MQ","12/06/2022","3872","N932AE","ORD","12:09","11:59","83","77","-10","12:09","10","0","0","0","0","0"
"MQ","12/06/2022","3918","N622AE","ORD","15:37","15:29","83","91","-8","15:45","16","0","0","0","0","0"
"MQ","12/07/2021","3872","N697AB","ORD","11:26","12:00","84","93","34","12:28","28","0","16","9","0","18"
"MQ","12/07/2022","3631","N290NN","ORD","07:00","06:58","84","69","-2","07:12","14","0","0","0","0","0"
"MQ","12/07/2022","3872","N618AE","ORD","12:09","12:09","83","71","0","12:19","10","0","0","0","0","0"
