Detailed Statistics Departures  
Origin Airport: Traverse City, MI: Cherry Capital (TVC)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2022","1665","N314NB","DTW","06:05","06:45","79","74","40","07:20","35","35","0","0","0","0"
"DL","12/01/2023","1225","N347NB","DTW","06:00","05:53","72","80","-7","06:26","33","0","0","0","0","0"
"DL","12/02/2022","1665","N361NB","DTW","06:05","06:03","79","55","-2","06:12","9","0","0","0","0","0"
"DL","12/02/2023","1225","N351NB","DTW","06:00","05:51","72","57","-9","06:02","11","0","0","0","0","0"
"DL","12/03/2022","1665","N335NB","DTW","06:05","05:59","79","93","-6","06:45","46","0","0","0","0","0"
"DL","12/03/2023","1225","N351NB","DTW","06:00","05:57","72","73","-3","06:09","12","0","0","0","0","0"
"DL","12/04/2022","1665","N359NB","DTW","06:05","06:43","79","50","38","06:53","10","0","0","0","0","0"
"DL","12/04/2023","1225","N331NB","DTW","06:00","05:57","72","89","-3","06:37","40","0","0","0","0","0"
"DL","12/05/2022","1665","N320NB","DTW","06:05","05:59","79","76","-6","06:34","35","0","0","0","0","0"
"DL","12/05/2023","1225","N365NB","DTW","06:00","05:53","72","55","-7","06:04","11","0","0","0","0","0"
"DL","12/06/2022","1665","N301NB","DTW","06:05","06:02","79","79","-3","06:32","30","0","0","0","0","0"
"DL","12/06/2023","1225","N326NB","DTW","06:00","05:51","72","89","-9","06:39","48","0","0","0","0","0"
"DL","12/07/2022","1665","N337NB","DTW","06:05","05:59","79","62","-6","06:10","11","0","0","0","0","0"
"DL","12/07/2023","1225","N322NB","DTW","06:00","05:58","84","52","-2","06:10","12","0","0","0","0","0"
"DL","12/08/2022","1665","N328NB","DTW","06:05","06:01","79","81","-4","06:36","35","0","0","0","0","0"
"DL","12/08/2023","1225","N354NB","DTW","06:00","06:54","84","69","54","07:20","26","39","0","0","0","0"
"DL","12/09/2022","1665","N359NB","DTW","06:05","05:55","79","86","-10","06:31","36","0","0","0","0","0"
"DL","12/09/2023","1225","N330NB","DTW","06:00","05:54","84","58","-6","06:06","12","0","0","0","0","0"
"DL","12/10/2022","1665","N328NB","DTW","06:05","07:09","79","59","64","07:22","13","44","0","0","0","0"
"DL","12/10/2023","1225","N325NB","DTW","06:00","05:59","84","62","-1","06:10","11","0","0","0","0","0"
"DL","12/11/2022","1665","N328NB","DTW","06:05","07:37","79","91","92","08:24","47","92","0","12","0","0"
"DL","12/11/2023","1225","N334NB","DTW","06:00","05:53","84","90","-7","06:36","43","0","0","0","0","0"
