Detailed Statistics Departures  
Origin Airport: Traverse City, MI: Cherry Capital (TVC)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","5039","N348PQ","DTW","06:25","06:25","70","63","0","06:42","17","0","0","0","0","0"
"9E","12/01/2021","5240","N655CA","DTW","10:30","11:31","75","54","61","11:42","11","0","0","0","0","40"
"9E","12/01/2023","4930","N676CA","DTW","12:02","12:00","73","67","-2","12:15","15","0","0","0","0","0"
"9E","12/01/2023","4972","N931XJ","DTW","17:57","17:54","78","68","-3","18:08","14","0","0","0","0","0"
"9E","12/02/2021","5031","N8946A","DTW","18:46","18:53","71","77","7","19:23","30","0","0","0","0","0"
"9E","12/02/2021","5039","N335PQ","DTW","06:25","06:19","70","49","-6","06:27","8","0","0","0","0","0"
"9E","12/02/2021","5107","N924XJ","DTW","14:15","14:12","65","63","-3","14:24","12","0","0","0","0","0"
"9E","12/02/2021","5240","N376CA","DTW","10:30","10:25","75","50","-5","10:35","10","0","0","0","0","0"
"9E","12/02/2023","4972","N314PQ","DTW","17:57","17:50","78","63","-7","18:01","11","0","0","0","0","0"
"9E","12/02/2023","5205","N147PQ","DTW","12:02","11:57","73","71","-5","12:21","24","0","0","0","0","0"
"9E","12/03/2021","5031","N686BR","DTW","18:46","18:42","71","79","-4","19:10","28","0","0","0","0","0"
"9E","12/03/2021","5039","N135EV","DTW","06:25","06:24","70","71","-1","06:48","24","0","0","0","0","0"
