Detailed Statistics Departures  
Origin Airport: Traverse City, MI: Cherry Capital (TVC)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2023","4759","N443YX","ORD","12:27","12:18","94","77","-9","12:32","14","0","0","0","0","0"
"YX","12/02/2023","4759","N117HQ","ORD","12:27","12:37","94","85","10","12:49","12","0","0","0","0","0"
"YX","12/03/2023","4759","N113HQ","ORD","12:27","12:24","94","108","-3","13:07","43","0","0","0","0","0"
"YX","12/04/2023","4759","N121HQ","ORD","12:27","13:21","94","92","54","13:57","36","0","0","0","0","52"
"YX","12/18/2021","3290","N979RP","ORD","16:43","18:09","87","101","86","18:51","42","86","0","14","0","0"
"YX","12/21/2023","3440","N656RW","ORD","14:00","13:55","94","76","-5","14:07","12","0","0","0","0","0"
"YX","12/22/2023","3440","N740YX","ORD","14:00","13:52","94","85","-8","14:11","19","0","0","0","0","0"
"YX","12/25/2023","3440","N729YX","ORD","14:00","13:43","94","76","-17","13:53","10","0","0","0","0","0"
"YX","12/26/2023","3440","N722YX","ORD","14:00","13:58","94","71","-2","14:13","15","0","0","0","0","0"
"YX","12/27/2023","3440","N855RW","ORD","14:00","13:50","94","74","-10","14:00","10","0","0","0","0","0"
"YX","12/28/2023","3440","N727YX","ORD","14:00","13:58","94","68","-2","14:10","12","0","0","0","0","0"
"YX","12/29/2023","3440","N736YX","ORD","14:00","13:53","94","70","-7","14:09","16","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
