Detailed Statistics Departures  
Origin Airport: Traverse City, MI: Cherry Capital (TVC)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","2979","N758EV","ORD","06:31","06:27","97","87","-4","06:51","24","0","0","0","0","0"
"OO","12/01/2021","3192","N740EV","ORD","18:53","18:51","97","91","-2","19:07","16","0","0","0","0","0"
"OO","12/01/2021","3524","N830SK","DTW","14:04","13:58","68","57","-6","14:08","10","0","0","0","0","0"
"OO","12/01/2021","5399","N149SY","ORD","06:00","05:59","84","82","-1","06:28","29","0","0","0","0","0"
"OO","12/01/2022","4171","N834SK","DTW","12:07","12:04","75","61","-3","12:22","18","0","0","0","0","0"
"OO","12/01/2022","4444","N692CA","DTW","17:51","17:51","76","57","0","18:02","11","0","0","0","0","0"
"OO","12/01/2023","5693","N124SY","ORD","18:31","20:12","84","72","101","20:25","13","89","0","0","0","0"
"OO","12/02/2021","2979","N755SK","ORD","06:31","06:22","97","69","-9","06:35","13","0","0","0","0","0"
"OO","12/02/2021","3192","N603SK","ORD","18:53","18:53","97","86","0","19:06","13","0","0","0","0","0"
"OO","12/02/2021","5399","N117SY","ORD","06:00","05:59","84","64","-1","06:12","13","0","0","0","0","0"
"OO","12/02/2022","4171","N827SK","DTW","12:07","12:07","75","61","0","12:21","14","0","0","0","0","0"
"OO","12/02/2022","4444","N803SK","DTW","17:51","17:49","76","58","-2","17:59","10","0","0","0","0","0"
"OO","12/03/2021","2979","N701SK","ORD","06:31","06:25","97","102","-6","06:55","30","0","0","0","0","0"
"OO","12/03/2021","3192","N706SK","ORD","18:53","18:43","97","83","-10","18:52","9","0","0","0","0","0"
"OO","12/03/2021","5399","N120SY","ORD","06:00","05:59","84","85","-1","06:19","20","0","0","0","0","0"
"OO","12/03/2022","4171","N837SK","DTW","12:02","11:58","75","75","-4","12:25","27","0","0","0","0","0"
"OO","12/03/2022","4444","N693CA","DTW","17:51","17:49","76","71","-2","18:16","27","0","0","0","0","0"
"OO","12/04/2021","2979","N740EV","ORD","06:31","06:23","97","96","-8","07:02","39","0","0","0","0","0"
"OO","12/04/2021","5399","N141SY","ORD","06:00","05:55","84","84","-5","06:23","28","0","0","0","0","0"
"OO","12/04/2022","4171","N837SK","DTW","12:07","12:04","75","54","-3","12:15","11","0","0","0","0","0"
"OO","12/04/2022","4444","N823SK","DTW","17:51","17:45","76","59","-6","17:56","11","0","0","0","0","0"
"OO","12/05/2021","2979","N614QX","ORD","06:31","06:21","97","72","-10","06:32","11","0","0","0","0","0"
"OO","12/05/2021","3192","N719EV","ORD","18:53","00:00","97","0","0","00:00","0","0","0","0","0","0"
"OO","12/05/2021","4025","N554CA","DTW","14:40","17:41","75","154","181","19:18","97","260","0","0","0","0"
"OO","12/05/2021","4166","N554CA","DTW","18:55","00:00","85","0","0","00:00","0","0","0","0","0","0"
"OO","12/05/2021","5399","N142SY","ORD","06:00","05:58","84","72","-2","06:08","10","0","0","0","0","0"
"OO","12/05/2022","4171","N830SK","DTW","12:07","14:56","75","50","169","15:06","10","0","144","0","0","0"
"OO","12/05/2022","4444","N838SK","DTW","17:51","18:22","76","54","31","18:33","11","0","0","0","0","0"
"OO","12/06/2021","2979","N701SK","ORD","06:31","06:24","97","112","-7","07:07","43","0","0","0","0","0"
"OO","12/06/2021","3192","N709EV","ORD","18:53","19:02","97","95","9","19:37","35","0","0","0","0","0"
"OO","12/06/2021","4025","N800SK","DTW","14:40","15:55","75","105","75","16:41","46","105","0","0","0","0"
"OO","12/06/2021","4166","N693CA","DTW","18:55","19:20","85","117","25","19:58","38","0","57","0","0","0"
"OO","12/06/2021","5399","N131SY","ORD","06:00","00:00","84","0","0","00:00","0","0","0","0","0","0"
"OO","12/06/2022","4171","N693CA","DTW","12:07","12:00","75","60","-7","12:15","15","0","0","0","0","0"
"OO","12/06/2022","4444","N805SK","DTW","17:51","17:41","76","67","-10","17:51","10","0","0","0","0","0"
"OO","12/07/2021","2979","N752EV","ORD","06:31","06:26","97","96","-5","07:03","37","0","0","0","0","0"
"OO","12/07/2021","3192","N630SK","ORD","15:51","15:42","84","72","-9","16:01","19","0","0","0","0","0"
"OO","12/07/2021","4025","N803SK","DTW","14:40","14:35","75","57","-5","14:46","11","0","0","0","0","0"
"OO","12/07/2021","5399","N110SY","ORD","06:00","06:19","84","85","19","06:48","29","20","0","0","0","0"
"OO","12/07/2022","4171","N839SK","DTW","12:07","11:58","75","61","-9","12:08","10","0","0","0","0","0"
"OO","12/07/2022","4444","N805SK","DTW","17:51","17:36","76","58","-15","17:46","10","0","0","0","0","0"
"OO","12/07/2023","3797","N838SK","DTW","12:02","11:57","73","49","-5","12:08","11","0","0","0","0","0"
"OO","12/08/2021","3192","N738EV","ORD","18:53","18:48","97","70","-5","19:04","16","0","0","0","0","0"
"OO","12/08/2021","4025","N693CA","DTW","14:40","14:35","75","61","-5","14:47","12","0","0","0","0","0"
"OO","12/08/2021","5399","N106SY","ORD","06:00","06:00","84","104","0","06:50","50","20","0","0","0","0"
"OO","12/08/2022","4171","N840SK","DTW","12:07","12:05","75","78","-2","12:35","30","0","0","0","0","0"
"OO","12/08/2022","4444","N831SK","DTW","17:51","17:44","76","74","-7","18:09","25","0","0","0","0","0"
"OO","12/08/2023","3797","N689CA","DTW","12:02","11:57","73","64","-5","12:13","16","0","0","0","0","0"
"OO","12/09/2021","2979","N712SK","ORD","06:31","06:29","97","80","-2","06:46","17","0","0","0","0","0"
"OO","12/09/2021","3192","N730SK","ORD","18:53","21:10","97","77","137","21:37","27","0","0","0","0","117"
"OO","12/09/2021","4025","N162PQ","DTW","14:40","14:38","75","76","-2","15:09","31","0","0","0","0","0"
"OO","12/09/2021","4166","N836SK","DTW","18:55","19:22","85","76","27","19:51","29","18","0","0","0","0"
"OO","12/09/2021","5399","N109SY","ORD","06:00","07:29","84","69","89","07:36","7","74","0","0","0","0"
"OO","12/09/2022","4171","N831SK","DTW","12:07","12:09","75","76","2","12:28","19","0","0","0","0","0"
"OO","12/09/2022","4444","N804SK","DTW","17:51","19:53","76","69","122","20:09","16","0","115","0","0","0"
"OO","12/09/2023","3797","N837SK","DTW","12:02","11:58","73","63","-4","12:13","15","0","0","0","0","0"
"OO","12/09/2023","5693","N160SY","ORD","18:28","18:36","86","74","8","18:45","9","0","0","0","0","0"
"OO","12/10/2021","2979","N604SK","ORD","06:31","07:38","97","99","67","07:49","11","69","0","0","0","0"
"OO","12/10/2021","3192","N752EV","ORD","18:53","20:11","97","86","78","20:22","11","0","0","67","0","0"
"OO","12/10/2021","4025","N897SK","DTW","14:40","14:35","75","56","-5","14:48","13","0","0","0","0","0"
"OO","12/10/2021","5399","N200SY","ORD","06:00","05:56","84","80","-4","06:11","15","0","0","0","0","0"
"OO","12/10/2022","4171","N840SK","DTW","12:02","11:56","75","55","-6","12:06","10","0","0","0","0","0"
"OO","12/10/2022","4444","N693CA","DTW","17:51","17:41","76","60","-10","17:50","9","0","0","0","0","0"
"OO","12/10/2023","3797","N831SK","DTW","12:02","12:19","73","85","17","12:56","37","0","17","12","0","0"
"OO","12/11/2021","2979","N718SK","ORD","06:31","06:26","97","83","-5","06:46","20","0","0","0","0","0"
"OO","12/11/2021","3662","N833SK","DTW","14:30","14:31","75","81","1","15:00","29","0","0","0","0","0"
"OO","12/11/2021","5399","N127SY","ORD","06:00","06:00","84","72","0","06:11","11","0","0","0","0","0"
"OO","12/11/2022","4171","N840SK","DTW","12:07","12:01","75","55","-6","12:09","8","0","0","0","0","0"
"OO","12/11/2022","4444","N549CA","DTW","17:51","17:51","76","92","0","18:37","46","16","0","0","0","0"
"OO","12/11/2023","3797","N802SK","DTW","12:02","11:58","73","85","-4","12:40","42","0","0","0","0","0"
"OO","12/12/2021","2979","N750EV","ORD","06:31","06:21","97","85","-10","06:51","30","0","0","0","0","0"
"OO","12/12/2021","3192","N760EV","ORD","18:53","18:43","97","85","-10","18:58","15","0","0","0","0","0"
"OO","12/12/2021","4025","N800SK","DTW","14:40","14:34","75","64","-6","14:47","13","0","0","0","0","0"
"OO","12/12/2021","4166","N800SK","DTW","18:55","18:49","85","61","-6","19:00","11","0","0","0","0","0"
"OO","12/12/2021","5399","N160SY","ORD","06:00","05:57","84","72","-3","06:17","20","0","0","0","0","0"
"OO","12/12/2022","4171","N840SK","DTW","12:07","11:59","75","64","-8","12:14","15","0","0","0","0","0"
"OO","12/12/2022","4444","N549CA","DTW","17:51","18:26","76","69","35","18:46","20","0","28","0","0","0"
"OO","12/12/2023","3797","N170PQ","DTW","12:02","11:56","73","59","-6","12:11","15","0","0","0","0","0"
"OO","12/13/2021","2979","N750EV","ORD","06:31","06:22","97","67","-9","06:32","10","0","0","0","0","0"
