Detailed Statistics Departures  
Origin Airport: Traverse City, MI: Cherry Capital (TVC)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2022","1063","N854UA","ORD","07:15","07:13","86","87","-2","07:42","29","0","0","0","0","0"
"UA","12/01/2023","2099","N27733","ORD","07:20","07:14","83","96","-6","07:39","25","0","0","0","0","0"
"UA","12/02/2022","1063","N805UA","ORD","07:15","07:14","86","62","-1","07:24","10","0","0","0","0","0"
"UA","12/02/2023","2099","N75435","ORD","07:20","07:12","83","87","-8","07:37","25","0","0","0","0","0"
"UA","12/03/2022","1063","N426UA","ORD","07:15","07:21","86","92","6","08:00","39","0","0","0","0","0"
"UA","12/03/2023","2099","N24224","ORD","06:30","06:25","83","67","-5","06:36","11","0","0","0","0","0"
"UA","12/04/2023","2099","N469UA","ORD","07:20","07:14","83","91","-6","07:46","32","0","0","0","0","0"
"UA","12/05/2023","2099","N14731","ORD","07:20","07:16","83","87","-4","07:30","14","0","0","0","0","0"
"UA","12/06/2022","1063","N825UA","ORD","07:15","07:06","86","82","-9","07:18","12","0","0","0","0","0"
"UA","12/06/2023","2099","N14731","ORD","07:20","07:16","83","105","-4","07:56","40","0","0","18","0","0"
"UA","12/07/2022","1063","N811UA","ORD","07:15","07:11","86","75","-4","07:28","17","0","0","0","0","0"
"UA","12/07/2023","2099","N16703","ORD","07:20","07:20","83","61","0","07:31","11","0","0","0","0","0"
"UA","12/08/2022","1063","N848UA","ORD","07:15","07:09","86","93","-6","07:40","31","0","0","0","0","0"
"UA","12/08/2023","2099","N24715","ORD","07:20","07:17","83","90","-3","07:45","28","0","0","0","0","0"
"UA","12/09/2022","1063","N820UA","ORD","07:15","07:00","86","103","-15","07:34","34","0","0","0","0","0"
"UA","12/09/2023","2099","N75429","ORD","07:20","07:17","83","88","-3","07:33","16","0","0","0","0","0"
"UA","12/10/2022","1063","N812UA","ORD","07:15","07:16","86","80","1","07:26","10","0","0","0","0","0"
"UA","12/10/2023","2099","N77559","ORD","07:20","07:13","83","67","-7","07:25","12","0","0","0","0","0"
"UA","12/11/2023","2099","N460UA","ORD","07:20","07:17","83","87","-3","07:55","38","0","0","0","0","0"
"UA","12/12/2023","2099","N25705","ORD","07:20","07:17","83","70","-3","07:28","11","0","0","0","0","0"
"UA","12/13/2022","1063","N882UA","ORD","07:15","07:04","86","78","-11","07:18","14","0","0","0","0","0"
"UA","12/13/2023","2099","N23707","ORD","07:20","07:11","83","69","-9","07:25","14","0","0","0","0","0"
"UA","12/14/2022","1063","N847UA","ORD","07:15","07:10","86","82","-5","07:21","11","0","0","0","0","0"
"UA","12/14/2023","2099","N23708","ORD","07:20","07:18","83","81","-2","07:44","26","0","0","0","0","0"
"UA","12/15/2022","1928","N845UA","ORD","07:15","07:13","86","100","-2","07:55","42","0","0","0","0","0"
"UA","12/15/2023","2099","N27722","ORD","07:20","07:12","83","85","-8","07:21","9","0","0","0","0","0"
"UA","12/16/2022","1928","N836UA","ORD","07:15","07:05","86","106","-10","07:45","40","0","0","0","0","0"
"UA","12/16/2023","2099","N37468","ORD","07:20","07:10","83","77","-10","07:24","14","0","0","0","0","0"
"UA","12/17/2022","1928","N432UA","ORD","07:15","07:13","86","84","-2","07:41","28","0","0","0","0","0"
