Detailed Statistics Departures  
Origin Airport: Trenton, NJ: Trenton Mercer (TTN)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0801","N332FR","MCO","20:17","20:26","163","152","9","20:39","13","0","0","0","0","0"
"F9","12/01/2021","0803","N385FR","MCO","07:20","07:31","166","151","11","07:40","9","0","0","0","0","0"
"F9","12/01/2021","0807","N385FR","ATL","19:20","19:24","143","133","4","19:43","19","0","0","0","0","0"
"F9","12/01/2021","0819","N342FR","PBI","10:15","10:01","184","170","-14","10:18","17","0","0","0","0","0"
"F9","12/01/2021","0821","N332FR","PBI","12:30","12:40","179","185","10","12:56","16","10","0","6","0","0"
"F9","12/01/2021","0827","N360FR","TPA","13:38","13:26","175","163","-12","13:42","16","0","0","0","0","0"
"F9","12/01/2021","0883","N375FR","CLT","17:08","16:36","120","109","-32","16:54","18","0","0","0","0","0"
"F9","12/01/2022","0439","N310FR","PBI","17:45","17:41","178","149","-4","17:55","14","0","0","0","0","0"
"F9","12/01/2022","0683","N379FR","MCO","07:45","07:43","170","153","-2","07:54","11","0","0","0","0","0"
"F9","12/01/2023","0803","N229FR","MCO","19:51","19:43","179","159","-8","19:53","10","0","0","0","0","0"
"F9","12/01/2023","1743","N381FR","RSW","10:26","10:17","192","187","-9","10:35","18","0","0","0","0","0"
"F9","12/01/2023","2121","N377FR","PBI","08:00","07:46","188","183","-14","08:14","28","0","0","0","0","0"
"F9","12/01/2023","2583","N316FR","FLL","09:19","09:12","187","178","-7","09:41","29","0","0","0","0","0"
"F9","12/01/2023","3311","N392FR","MCO","07:05","07:01","174","176","-4","07:26","25","0","0","0","0","0"
"F9","12/01/2023","3569","N384FR","PBI","14:16","14:45","182","161","29","14:59","14","0","0","0","0","0"
"F9","12/01/2023","4653","N381FR","TPA","18:04","17:55","174","175","-9","18:11","16","0","0","0","0","0"
"F9","12/01/2023","4919","N346FR","MCO","15:40","15:30","176","179","-10","15:43","13","0","0","0","0","0"
"F9","12/02/2021","0801","N339FR","MCO","20:17","20:04","163","164","-13","20:18","14","0","0","0","0","0"
"F9","12/02/2021","0803","N348FR","MCO","07:20","07:03","166","150","-17","07:13","10","0","0","0","0","0"
"F9","12/02/2021","0805","N307FR","MCO","18:17","18:19","171","162","2","18:40","21","0","0","0","0","0"
"F9","12/02/2021","0807","N216FR","ATL","19:12","19:09","143","128","-3","19:23","14","0","0","0","0","0"
"F9","12/02/2021","0819","N336FR","PBI","10:14","10:03","184","152","-11","10:19","16","0","0","0","0","0"
"F9","12/02/2021","0821","N339FR","PBI","12:30","12:29","179","168","-1","12:48","19","0","0","0","0","0"
"F9","12/02/2021","0823","N347FR","RSW","15:30","15:20","189","170","-10","15:35","15","0","0","0","0","0"
"F9","12/02/2021","0827","N213FR","TPA","11:00","10:58","180","149","-2","11:13","15","0","0","0","0","0"
"F9","12/02/2021","0895","N363FR","RDU","11:45","11:22","94","89","-23","11:40","18","0","0","0","0","0"
"F9","12/02/2022","0487","N383FR","RSW","17:52","17:42","190","152","-10","17:55","13","0","0","0","0","0"
"F9","12/02/2022","0683","N349FR","MCO","07:45","07:34","170","166","-11","08:03","29","0","0","0","0","0"
"F9","12/02/2022","0807","N324FR","ATL","21:38","22:33","139","133","55","22:51","18","0","0","0","0","49"
"F9","12/02/2022","0811","N390FR","FLL","20:31","20:27","178","152","-4","20:40","13","0","0","0","0","0"
"F9","12/02/2022","0819","N236FR","PBI","17:07","17:19","178","142","12","17:30","11","0","0","0","0","0"
"F9","12/02/2022","0827","N211FR","TPA","18:46","21:27","175","143","161","21:38","11","0","0","0","0","129"
"F9","12/02/2023","1743","N352FR","RSW","10:11","12:39","192","197","148","12:54","15","0","0","5","0","148"
"F9","12/02/2023","2121","N395FR","PBI","08:00","14:34","188","170","394","14:46","12","11","0","0","0","365"
"F9","12/02/2023","2583","N382FR","FLL","09:19","09:13","187","179","-6","09:22","9","0","0","0","0","0"
"F9","12/02/2023","3311","N328FR","MCO","07:05","07:51","174","167","46","08:07","16","39","0","0","0","0"
"F9","12/02/2023","3569","N324FR","PBI","14:16","14:25","182","176","9","14:39","14","0","0","0","0","0"
"F9","12/02/2023","4653","","TPA","18:31","00:00","174","0","0","00:00","0","0","0","0","0","0"
"F9","12/02/2023","4919","N347FR","MCO","15:40","15:27","176","165","-13","15:38","11","0","0","0","0","0"
"F9","12/03/2021","0801","N305FR","MCO","20:17","20:04","163","173","-13","20:16","12","0","0","0","0","0"
"F9","12/03/2021","0803","N334FR","MCO","07:20","07:43","166","150","23","07:56","13","0","0","0","0","0"
"F9","12/03/2021","0807","N376FR","ATL","19:06","18:56","143","130","-10","19:10","14","0","0","0","0","0"
"F9","12/03/2021","0819","N350FR","PBI","10:15","10:54","184","158","39","11:05","11","0","0","0","0","0"
"F9","12/03/2021","0821","N305FR","PBI","12:30","12:37","179","179","7","12:58","21","0","0","0","0","0"
"F9","12/03/2021","0827","N372FR","TPA","14:14","13:59","176","162","-15","14:17","18","0","0","0","0","0"
"F9","12/03/2021","0883","N235FR","CLT","17:08","16:58","120","104","-10","17:11","13","0","0","0","0","0"
"F9","12/03/2022","0487","N372FR","RSW","18:03","21:12","188","144","189","21:25","13","0","0","0","0","145"
"F9","12/03/2022","0683","N301FR","MCO","07:45","07:35","170","150","-10","07:47","12","0","0","0","0","0"
"F9","12/03/2022","0809","N236FR","ATL","12:05","12:07","145","145","2","12:23","16","0","0","0","0","0"
"F9","12/03/2022","0811","N230FR","FLL","20:31","00:21","182","147","230","00:35","14","195","0","0","0","0"
