Detailed Statistics Departures  
Origin Airport: Tucson, AZ: Tucson International (TUS)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","1471","N266AK","SEA","18:12","18:04","197","186","-8","18:17","13","0","0","0","0","0"
"AS","12/01/2022","0641","N214AK","SEA","18:50","19:13","203","180","23","19:26","13","0","0","0","0","0"
"AS","12/01/2023","0641","N467AS","SEA","15:41","15:44","202","214","3","16:00","16","0","0","15","0","0"
"AS","12/02/2021","1471","N434AS","SEA","18:12","18:10","197","195","-2","18:23","13","0","0","0","0","0"
"AS","12/02/2022","0641","N491AS","SEA","18:50","19:51","203","208","61","20:14","23","0","0","66","0","0"
"AS","12/02/2023","0641","N294AK","SEA","15:41","15:32","202","218","-9","15:49","17","0","0","0","0","0"
"AS","12/03/2021","1471","N253AK","SEA","18:12","19:29","197","205","77","19:40","11","77","0","8","0","0"
"AS","12/03/2022","0641","N320AS","SEA","18:50","18:42","203","195","-8","18:57","15","0","0","0","0","0"
"AS","12/03/2023","0641","N517AS","SEA","16:35","16:57","202","205","22","17:14","17","0","0","3","0","22"
"AS","12/04/2022","0641","N307AS","SEA","18:50","20:46","203","192","116","21:05","19","0","0","0","0","105"
"AS","12/04/2023","0641","N518AS","SEA","15:41","15:35","202","202","-6","15:55","20","0","0","0","0","0"
"AS","12/05/2021","1471","N597AS","SEA","18:12","18:01","197","203","-11","18:12","11","0","0","0","0","0"
"AS","12/05/2022","0641","N287AK","SEA","18:50","18:43","203","218","-7","18:58","15","0","0","0","0","0"
"AS","12/05/2023","0641","N918AK","SEA","15:41","15:37","202","190","-4","15:50","13","0","0","0","0","0"
