Detailed Statistics Departures  
Origin Airport: Tucson, AZ: Tucson International (TUS)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0646","N976UY","DFW","16:46","16:47","133","128","1","16:59","12","0","0","0","0","0"
"AA","12/01/2021","1025","N507AY","DFW","08:10","08:11","133","129","1","08:22","11","0","0","0","0","0"
"AA","12/01/2021","2311","N978NN","ORD","07:10","07:11","208","223","1","07:28","17","1","0","15","0","0"
"AA","12/01/2021","2720","N185UW","DFW","10:37","10:46","131","128","9","10:59","13","0","0","0","0","0"
"AA","12/01/2021","2926","N128AN","DFW","14:41","14:39","131","133","-2","14:51","12","0","0","0","0","0"
"AA","12/01/2021","2927","N155UW","DFW","12:45","12:40","131","136","-5","12:52","12","0","0","0","0","0"
"AA","12/01/2022","0489","N803AW","PHX","11:07","10:57","49","45","-10","11:07","10","0","0","0","0","0"
"AA","12/01/2022","0521","N926NN","PHX","13:27","13:19","50","57","-8","13:39","20","0","0","0","0","0"
"AA","12/01/2022","0584","N163AA","DFW","16:39","16:26","127","117","-13","16:35","9","0","0","0","0","0"
"AA","12/01/2022","0639","N188US","ORD","11:43","11:33","202","194","-10","11:43","10","0","0","0","0","0"
"AA","12/01/2022","0791","N524UW","PHX","09:15","09:06","49","54","-9","09:17","11","0","0","0","0","0"
"AA","12/01/2022","1025","N165NN","DFW","08:05","08:05","127","120","0","08:21","16","0","0","0","0","0"
"AA","12/01/2022","2193","N135NN","DFW","06:00","05:53","127","124","-7","06:05","12","0","0","0","0","0"
"AA","12/01/2022","2311","N956NN","ORD","07:49","08:01","201","191","12","08:16","15","0","0","0","0","0"
"AA","12/01/2022","2664","N877NN","PHX","19:46","19:39","50","50","-7","19:52","13","0","0","0","0","0"
"AA","12/01/2022","2720","N120EE","DFW","10:45","10:36","127","115","-9","10:47","11","0","0","0","0","0"
"AA","12/01/2022","2926","N164NN","DFW","14:36","14:53","127","113","17","15:03","10","0","0","0","0","0"
"AA","12/01/2022","2927","N129AA","DFW","12:45","12:37","127","119","-8","12:48","11","0","0","0","0","0"
"AA","12/01/2023","0584","N137AA","DFW","16:47","17:23","133","114","36","17:35","12","0","0","0","0","17"
"AA","12/01/2023","1025","N159AN","DFW","07:15","07:09","133","107","-6","07:18","9","0","0","0","0","0"
"AA","12/01/2023","1363","N758US","PHX","18:12","18:58","51","48","46","19:12","14","0","0","0","0","43"
"AA","12/01/2023","1617","N812NN","ORD","06:31","06:31","204","179","0","06:42","11","0","0","0","0","0"
"AA","12/01/2023","1934","N668AW","PHX","12:53","12:52","52","58","-1","13:09","17","0","0","0","0","0"
"AA","12/01/2023","2193","N905AU","DFW","06:01","05:57","133","122","-4","06:13","16","0","0","0","0","0"
"AA","12/01/2023","2537","N897NN","ORD","13:45","14:22","205","179","37","14:32","10","0","0","0","0","0"
"AA","12/01/2023","2720","N405AN","DFW","10:46","10:42","133","121","-4","11:01","19","0","0","0","0","0"
"AA","12/01/2023","2926","N468AN","DFW","14:38","14:36","133","121","-2","14:54","18","0","0","0","0","0"
"AA","12/01/2023","2927","N900UW","DFW","12:44","12:43","133","146","-1","13:08","25","0","0","0","0","0"
"AA","12/02/2021","0646","N979UY","DFW","16:46","16:36","133","138","-10","16:48","12","0","0","0","0","0"
"AA","12/02/2021","1025","N922US","DFW","08:10","08:23","133","148","13","08:41","18","13","0","15","0","0"
"AA","12/02/2021","2193","N157UW","DFW","06:10","06:03","134","140","-7","06:15","12","0","0","0","0","0"
"AA","12/02/2021","2311","N978NN","ORD","07:17","07:24","208","212","7","07:38","14","0","0","0","0","0"
"AA","12/02/2021","2720","N573UW","DFW","10:37","10:29","131","130","-8","10:40","11","0","0","0","0","0"
"AA","12/02/2021","2926","N130AN","DFW","14:41","14:39","131","131","-2","14:50","11","0","0","0","0","0"
"AA","12/02/2021","2927","N920US","DFW","12:45","12:37","131","128","-8","12:52","15","0","0","0","0","0"
"AA","12/02/2022","0489","N823AW","PHX","11:07","11:19","49","45","12","11:29","10","0","0","0","0","0"
"AA","12/02/2022","0521","N964NN","PHX","13:27","13:19","50","49","-8","13:34","15","0","0","0","0","0"
"AA","12/02/2022","0584","N144AN","DFW","16:39","16:30","127","129","-9","16:41","11","0","0","0","0","0"
"AA","12/02/2022","0639","N152UW","ORD","11:43","11:40","202","189","-3","11:50","10","0","0","0","0","0"
"AA","12/02/2022","0791","N169UW","PHX","09:15","09:05","49","46","-10","09:14","9","0","0","0","0","0"
"AA","12/02/2022","1025","N163AA","DFW","08:05","08:16","127","138","11","08:30","14","11","0","11","0","0"
"AA","12/02/2022","2193","N123NN","DFW","06:00","05:54","127","117","-6","06:05","11","0","0","0","0","0"
"AA","12/02/2022","2311","N927AN","ORD","07:49","07:43","201","182","-6","08:00","17","0","0","0","0","0"
"AA","12/02/2022","2664","N337PJ","PHX","19:46","19:39","50","46","-7","19:50","11","0","0","0","0","0"
"AA","12/02/2022","2720","N167AN","DFW","10:45","10:38","127","123","-7","10:52","14","0","0","0","0","0"
"AA","12/02/2022","2926","N153AN","DFW","14:36","14:28","127","120","-8","14:38","10","0","0","0","0","0"
"AA","12/02/2022","2927","N904AA","DFW","12:45","12:51","127","138","6","13:20","29","6","0","11","0","0"
"AA","12/02/2023","1025","N130AN","DFW","07:15","07:13","133","114","-2","07:26","13","0","0","0","0","0"
"AA","12/02/2023","1363","N808AW","PHX","18:12","18:11","51","42","-1","18:23","12","0","0","0","0","0"
"AA","12/02/2023","1617","N968AN","ORD","06:20","06:10","204","191","-10","06:29","19","0","0","0","0","0"
"AA","12/02/2023","1934","N663AW","PHX","12:53","12:47","52","56","-6","13:06","19","0","0","0","0","0"
"AA","12/02/2023","2193","N997AA","DFW","06:01","06:03","133","123","2","06:17","14","0","0","0","0","0"
"AA","12/02/2023","2537","N830AW","ORD","13:43","13:35","204","188","-8","13:47","12","0","0","0","0","0"
"AA","12/02/2023","2720","N457AM","DFW","10:46","10:44","133","114","-2","10:57","13","0","0","0","0","0"
"AA","12/02/2023","2926","N466AN","DFW","14:38","14:45","133","130","7","14:59","14","0","0","0","0","0"
"AA","12/02/2023","2927","N142AN","DFW","12:44","12:35","133","116","-9","12:46","11","0","0","0","0","0"
"AA","12/03/2021","0646","N538UW","DFW","16:46","16:39","133","134","-7","16:49","10","0","0","0","0","0"
"AA","12/03/2021","1025","N179UW","DFW","08:10","08:05","133","130","-5","08:23","18","0","0","0","0","0"
"AA","12/03/2021","2193","N519UW","DFW","06:10","06:07","134","137","-3","06:22","15","0","0","0","0","0"
"AA","12/03/2021","2311","N991NN","ORD","07:17","07:15","208","201","-2","07:25","10","0","0","0","0","0"
"AA","12/03/2021","2720","N507AY","DFW","10:37","10:31","131","127","-6","10:46","15","0","0","0","0","0"
"AA","12/03/2021","2926","N123NN","DFW","14:41","14:33","131","132","-8","14:45","12","0","0","0","0","0"
"AA","12/03/2021","2927","N563UW","DFW","12:45","12:39","131","125","-6","12:53","14","0","0","0","0","0"
"AA","12/03/2022","0489","N824AW","PHX","11:07","10:57","49","50","-10","11:08","11","0","0","0","0","0"
"AA","12/03/2022","0521","N358PW","PHX","13:27","13:17","50","56","-10","13:31","14","0","0","0","0","0"
"AA","12/03/2022","0584","N143AN","DFW","16:39","16:32","127","115","-7","16:41","9","0","0","0","0","0"
"AA","12/03/2022","0639","N915US","ORD","11:43","00:00","202","0","0","00:00","0","0","0","0","0","0"
"AA","12/03/2022","0791","N190UW","PHX","09:15","09:10","49","55","-5","09:26","16","0","0","0","0","0"
"AA","12/03/2022","1025","N140AN","DFW","08:05","08:01","127","125","-4","08:13","12","0","0","0","0","0"
"AA","12/03/2022","2193","N906AA","DFW","06:00","05:51","127","130","-9","06:04","13","0","0","0","0","0"
"AA","12/03/2022","2311","N934NN","ORD","07:07","06:55","201","167","-12","07:02","7","0","0","0","0","0"
"AA","12/03/2022","2664","N346PR","PHX","19:46","19:52","50","54","6","20:03","11","0","0","0","0","0"
"AA","12/03/2022","2720","N151AN","DFW","10:45","10:35","127","117","-10","10:47","12","0","0","0","0","0"
"AA","12/03/2022","2926","N907AA","DFW","14:36","14:30","127","113","-6","14:40","10","0","0","0","0","0"
"AA","12/03/2022","2927","N986AN","DFW","12:45","12:43","127","115","-2","12:54","11","0","0","0","0","0"
"AA","12/03/2023","0584","N160AN","DFW","16:47","16:38","133","126","-9","16:49","11","0","0","0","0","0"
"AA","12/03/2023","1025","N905AU","DFW","07:15","07:13","133","132","-2","07:25","12","0","0","0","0","0"
"AA","12/03/2023","1363","N821AW","PHX","18:12","18:03","51","67","-9","18:36","33","0","0","0","0","0"
"AA","12/03/2023","1617","N922AN","ORD","06:31","06:21","204","216","-10","06:54","33","0","0","0","0","0"
"AA","12/03/2023","1934","N107US","PHX","12:53","12:43","52","53","-10","12:58","15","0","0","0","0","0"
"AA","12/03/2023","2193","N933AM","DFW","06:01","06:00","133","131","-1","06:14","14","0","0","0","0","0"
