Detailed Statistics Departures  
Origin Airport: Tucson, AZ: Tucson International (TUS)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4193","N284JN","ORD","12:00","12:31","216","210","31","12:42","11","25","0","0","0","0"
"MQ","12/01/2023","3375","N312BT","PHX","19:22","19:21","51","62","-1","19:42","21","0","0","0","0","0"
"MQ","12/02/2021","4193","N299JJ","ORD","12:00","11:59","216","218","-1","12:17","18","0","0","0","0","0"
"MQ","12/03/2021","4193","N277NN","ORD","12:00","11:58","216","200","-2","12:07","9","0","0","0","0","0"
"MQ","12/03/2023","3375","N232NN","PHX","19:22","19:17","51","44","-5","19:26","9","0","0","0","0","0"
"MQ","12/04/2021","4193","N271NN","ORD","11:55","11:51","216","200","-4","12:01","10","0","0","0","0","0"
"MQ","12/04/2023","3375","N300LK","PHX","19:22","19:17","51","42","-5","19:27","10","0","0","0","0","0"
"MQ","12/05/2021","4193","N299JJ","ORD","12:00","11:51","216","204","-9","12:02","11","0","0","0","0","0"
"MQ","12/05/2023","3886","N209NN","PHX","12:59","12:51","55","64","-8","13:18","27","0","0","0","0","0"
"MQ","12/05/2023","4174","N292NN","PHX","08:10","08:06","55","47","-4","08:18","12","0","0","0","0","0"
"MQ","12/06/2021","4193","N223NN","ORD","12:00","11:59","216","195","-1","12:09","10","0","0","0","0","0"
"MQ","12/06/2023","3886","N259NN","PHX","12:59","12:54","55","62","-5","13:17","23","0","0","0","0","0"
"MQ","12/07/2021","4193","N257NN","ORD","12:00","11:56","216","194","-4","12:08","12","0","0","0","0","0"
"MQ","12/08/2021","4193","N221NN","ORD","12:00","11:57","216","199","-3","12:11","14","0","0","0","0","0"
"MQ","12/09/2021","4193","N232NN","ORD","12:00","12:27","216","201","27","12:38","11","0","0","0","0","0"
"MQ","12/09/2023","3886","N268NN","PHX","12:59","12:52","55","52","-7","13:03","11","0","0","0","0","0"
"MQ","12/10/2021","4193","N251NN","ORD","12:00","12:00","216","190","0","12:16","16","0","0","0","0","0"
"MQ","12/11/2021","4193","N223NN","ORD","11:55","12:01","216","215","6","12:19","18","0","0","0","0","0"
"MQ","12/12/2021","4193","N227NN","ORD","12:00","11:56","216","189","-4","12:05","9","0","0","0","0","0"
"MQ","12/12/2023","3886","N298FR","PHX","12:59","12:56","55","52","-3","13:11","15","0","0","0","0","0"
"MQ","12/13/2021","4193","N208AN","ORD","12:00","11:56","216","189","-4","12:05","9","0","0","0","0","0"
"MQ","12/13/2023","3886","N250NN","PHX","12:59","12:54","55","53","-5","13:10","16","0","0","0","0","0"
"MQ","12/14/2021","4193","N201NN","ORD","12:00","12:06","216","184","6","12:15","9","0","0","0","0","0"
"MQ","12/15/2021","4193","N218NN","ORD","12:00","12:11","216","193","11","12:23","12","0","0","0","0","0"
"MQ","12/16/2023","3886","N251NN","PHX","12:59","12:54","55","47","-5","13:02","8","0","0","0","0","0"
"MQ","12/19/2023","3886","N291NN","PHX","12:59","12:58","55","58","-1","13:12","14","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
