Detailed Statistics Departures  
Origin Airport: Tucson, AZ: Tucson International (TUS)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","0819","N305DN","ATL","06:15","06:12","194","198","-3","06:22","10","0","0","0","0","0"
"DL","12/01/2021","1430","N106DU","SEA","14:12","14:09","208","180","-3","14:21","12","0","0","0","0","0"
"DL","12/01/2022","0819","N381DZ","ATL","06:00","05:57","202","184","-3","06:11","14","0","0","0","0","0"
"DL","12/01/2022","1295","N103DY","ATL","14:34","14:34","205","196","0","14:47","13","0","0","0","0","0"
"DL","12/01/2022","1430","N112DU","SEA","14:26","14:44","204","196","18","15:05","21","0","0","0","0","0"
"DL","12/01/2023","1039","N105DX","ATL","14:15","14:10","204","186","-5","14:21","11","0","0","0","0","0"
"DL","12/01/2023","1177","N324DX","ATL","06:00","05:55","205","184","-5","06:06","11","0","0","0","0","0"
"DL","12/01/2023","2744","N129DU","SEA","14:30","14:23","210","204","-7","14:40","17","0","0","0","0","0"
"DL","12/02/2021","0734","N371DN","ATL","14:35","14:28","203","211","-7","14:41","13","0","0","0","0","0"
"DL","12/02/2021","0819","N360DN","ATL","06:15","06:00","194","202","-15","06:11","11","0","0","0","0","0"
"DL","12/02/2021","1430","N101DU","SEA","14:12","14:09","208","184","-3","14:20","11","0","0","0","0","0"
"DL","12/02/2022","0819","N339DN","ATL","06:00","05:52","202","185","-8","06:03","11","0","0","0","0","0"
"DL","12/02/2022","1295","N343DN","ATL","14:34","14:27","205","196","-7","14:44","17","0","0","0","0","0"
"DL","12/02/2022","1430","N108DQ","SEA","14:26","15:11","204","187","45","15:21","10","0","0","0","0","28"
"DL","12/02/2023","1039","N108DN","ATL","14:15","14:21","204","181","6","14:35","14","0","0","0","0","0"
"DL","12/02/2023","1177","N369DN","ATL","06:00","05:57","200","185","-3","06:07","10","0","0","0","0","0"
"DL","12/02/2023","2744","N120DU","SEA","14:30","14:20","210","220","-10","14:36","16","0","0","0","0","0"
"DL","12/03/2021","0734","N117DX","ATL","14:35","14:27","203","216","-8","14:43","16","0","0","0","0","0"
"DL","12/03/2021","0819","N311DN","ATL","06:15","06:06","194","203","-9","06:20","14","0","0","0","0","0"
"DL","12/03/2021","1430","N140DU","SEA","14:12","14:11","208","201","-1","14:23","12","0","0","0","0","0"
"DL","12/03/2022","0819","N328DN","ATL","06:00","05:58","202","189","-2","06:08","10","0","0","0","0","0"
"DL","12/03/2022","1295","N385DZ","ATL","14:34","14:44","205","188","10","14:54","10","0","0","0","0","0"
"DL","12/03/2022","1430","N3767","SEA","14:26","17:45","204","179","199","17:55","10","174","0","0","0","0"
"DL","12/03/2023","1039","N353DN","ATL","14:15","15:15","204","194","60","15:27","12","50","0","0","0","0"
"DL","12/03/2023","1177","N127DN","ATL","06:00","05:59","205","214","-1","06:31","32","0","0","0","0","0"
"DL","12/03/2023","2744","N127DU","SEA","14:30","14:27","210","200","-3","14:38","11","0","0","0","0","0"
"DL","12/04/2021","0734","N125DN","ATL","14:35","14:33","203","198","-2","14:44","11","0","0","0","0","0"
"DL","12/04/2021","0819","N128DN","ATL","06:15","06:12","194","195","-3","06:24","12","0","0","0","0","0"
"DL","12/04/2021","1430","N104DU","SEA","14:12","14:24","208","202","12","14:38","14","0","0","0","0","0"
"DL","12/04/2022","0819","N116DN","ATL","06:00","05:54","202","192","-6","06:08","14","0","0","0","0","0"
"DL","12/04/2022","1295","N107DN","ATL","14:34","15:09","205","186","35","15:21","12","0","0","0","0","16"
"DL","12/04/2022","1430","N144DU","SEA","14:26","14:22","204","210","-4","14:37","15","0","0","0","0","0"
"DL","12/04/2023","1039","N313DN","ATL","14:15","14:14","204","190","-1","14:25","11","0","0","0","0","0"
"DL","12/04/2023","1177","N383DZ","ATL","06:00","05:54","205","201","-6","06:06","12","0","0","0","0","0"
"DL","12/04/2023","2744","N113DQ","SEA","14:30","14:26","210","221","-4","14:45","19","0","0","0","0","0"
"DL","12/05/2021","0734","N315DN","ATL","14:44","14:39","205","204","-5","14:51","12","0","0","0","0","0"
"DL","12/05/2021","0819","N370DN","ATL","06:15","06:36","201","198","21","06:52","16","18","0","0","0","0"
"DL","12/05/2021","1430","N544US","SEA","14:20","18:04","200","203","224","18:16","12","11","0","3","0","213"
"DL","12/05/2022","0819","N119DN","ATL","06:00","05:50","202","214","-10","06:19","29","0","0","0","0","0"
"DL","12/05/2022","1295","N127DN","ATL","14:34","14:31","205","185","-3","14:43","12","0","0","0","0","0"
"DL","12/05/2022","1430","N115DU","SEA","14:26","14:26","204","182","0","14:39","13","0","0","0","0","0"
"DL","12/05/2023","1039","N386DN","ATL","14:15","14:16","204","191","1","14:26","10","0","0","0","0","0"
"DL","12/05/2023","1177","N114DN","ATL","06:00","05:56","205","196","-4","06:11","15","0","0","0","0","0"
"DL","12/05/2023","2744","N125DU","SEA","14:30","14:23","210","203","-7","14:42","19","0","0","0","0","0"
"DL","12/06/2021","0734","N319DN","ATL","14:44","14:46","205","211","2","15:01","15","0","0","0","0","0"
"DL","12/06/2021","0819","N314DN","ATL","06:15","06:13","201","211","-2","06:26","13","0","0","0","0","0"
"DL","12/06/2021","1430","N101DU","SEA","14:20","14:18","200","208","-2","14:28","10","0","0","0","0","0"
"DL","12/06/2022","0819","N324DX","ATL","06:00","05:58","202","189","-2","06:08","10","0","0","0","0","0"
"DL","12/06/2022","1295","N127DN","ATL","14:34","14:34","205","188","0","14:46","12","0","0","0","0","0"
"DL","12/06/2022","1430","N112DU","SEA","14:26","14:19","204","188","-7","14:32","13","0","0","0","0","0"
"DL","12/06/2023","1039","N118DY","ATL","14:15","14:13","204","195","-2","14:22","9","0","0","0","0","0"
"DL","12/06/2023","1177","N367DN","ATL","06:00","05:56","205","210","-4","06:09","13","0","0","0","0","0"
"DL","12/06/2023","2744","N129DU","SEA","14:30","06:57","210","197","987","07:09","12","974","0","0","0","0"
"DL","12/07/2021","0819","N103DY","ATL","06:15","06:08","201","194","-7","06:18","10","0","0","0","0","0"
"DL","12/07/2021","1430","N128DU","SEA","14:20","14:08","200","178","-12","14:17","9","0","0","0","0","0"
"DL","12/07/2022","0819","N324DX","ATL","06:00","05:57","202","199","-3","06:09","12","0","0","0","0","0"
"DL","12/07/2022","1295","N308DN","ATL","14:34","14:30","205","197","-4","14:45","15","0","0","0","0","0"
"DL","12/07/2022","1430","N102DU","SEA","14:26","14:24","204","197","-2","14:55","31","0","0","0","0","0"
"DL","12/07/2023","1039","N381DZ","ATL","14:17","14:14","206","193","-3","14:23","9","0","0","0","0","0"
"DL","12/07/2023","1177","N380DN","ATL","06:00","06:22","206","199","22","06:35","13","15","0","0","0","0"
"DL","12/07/2023","2744","N306DU","SEA","14:34","14:55","208","200","21","15:10","15","0","0","0","0","0"
"DL","12/08/2021","0819","N336DX","ATL","06:15","06:15","201","200","0","06:28","13","0","0","0","0","0"
"DL","12/08/2021","1430","N133DU","SEA","14:20","14:13","200","213","-7","14:24","11","0","0","0","0","0"
"DL","12/08/2022","0819","N127DN","ATL","06:00","05:54","202","188","-6","06:04","10","0","0","0","0","0"
"DL","12/08/2022","1295","N378DN","ATL","14:34","14:26","205","185","-8","14:40","14","0","0","0","0","0"
"DL","12/08/2022","1430","N139DU","SEA","14:26","14:26","204","183","0","14:39","13","0","0","0","0","0"
"DL","12/08/2023","1039","N380DN","ATL","14:17","14:59","206","193","42","15:15","16","29","0","0","0","0"
"DL","12/08/2023","1177","N123DW","ATL","06:00","05:56","206","193","-4","06:07","11","0","0","0","0","0"
"DL","12/08/2023","2744","N111NG","SEA","14:37","14:20","203","226","-17","14:39","19","0","0","0","0","0"
"DL","12/09/2021","0734","N114DN","ATL","14:44","14:39","205","185","-5","14:52","13","0","0","0","0","0"
