Detailed Statistics Departures  
Origin Airport: Tucson, AZ: Tucson International (TUS)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5742","N921FJ","PHX","17:20","00:00","57","0","0","00:00","0","0","0","0","0","0"
"YV","12/01/2021","5769","N921FJ","PHX","14:29","14:29","55","43","0","14:38","9","0","0","0","0","0"
"YV","12/01/2021","5805","N249LR","PHX","09:48","09:41","56","48","-7","09:51","10","0","0","0","0","0"
"YV","12/01/2021","5837","N922FJ","PHX","18:33","19:30","58","64","57","19:41","11","10","0","6","0","47"
"YV","12/01/2021","5870","N248LR","PHX","21:26","21:38","54","42","12","21:46","8","0","0","0","0","0"
"YV","12/01/2021","5930","N249LR","PHX","06:45","06:37","54","47","-8","06:52","15","0","0","0","0","0"
"YV","12/01/2021","6105","N85373","IAH","13:15","13:07","147","147","-8","13:24","17","0","0","0","0","0"
"YV","12/01/2021","6160","N86336","ORD","12:15","12:10","217","216","-5","12:22","12","0","0","0","0","0"
"YV","12/01/2022","6277","N87337","IAH","17:14","17:07","148","125","-7","17:18","11","0","0","0","0","0"
"YV","12/01/2023","6228","N938LR","DEN","10:42","10:39","123","0","-3","00:00","0","0","0","0","0","0"
"YV","12/02/2021","5742","N904FJ","PHX","17:20","17:22","57","48","2","17:42","20","0","0","0","0","0"
"YV","12/02/2021","5769","N904FJ","PHX","14:29","14:51","55","46","22","15:03","12","0","0","0","0","0"
"YV","12/02/2021","5805","N248LR","PHX","09:46","09:43","56","43","-3","09:54","11","0","0","0","0","0"
"YV","12/02/2021","5837","N930LR","PHX","18:33","00:00","58","0","0","00:00","0","0","0","0","0","0"
