Detailed Statistics Departures  
Origin Airport: Tucson, AZ: Tucson International (TUS)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","2963","N728SK","PHX","15:53","15:59","52","42","6","16:07","8","0","0","0","0","0"
"OO","12/01/2021","3175","N753EV","LAX","16:14","16:15","100","80","1","16:27","12","0","0","0","0","0"
"OO","12/01/2021","3209","N762SK","PHX","11:33","11:25","52","53","-8","11:27","2","0","0","0","0","0"
"OO","12/01/2021","3415","N402SY","SEA","07:40","07:39","217","204","-1","07:48","9","0","0","0","0","0"
"OO","12/01/2021","3496","N187SY","PDX","13:05","12:57","197","177","-8","13:11","14","0","0","0","0","0"
"OO","12/01/2021","3589","N240SY","SLC","17:55","17:43","109","107","-12","17:57","14","0","0","0","0","0"
"OO","12/01/2021","3660","N254SY","LAX","17:56","17:52","103","90","-4","18:05","13","0","0","0","0","0"
"OO","12/01/2021","3792","N288SY","LAX","13:02","12:55","101","97","-7","13:08","13","0","0","0","0","0"
"OO","12/01/2021","3801","N257SY","SLC","12:26","12:22","110","111","-4","12:35","13","0","0","0","0","0"
"OO","12/01/2021","3967","N285SY","SLC","06:47","06:42","113","99","-5","06:54","12","0","0","0","0","0"
"OO","12/01/2021","3973","N281SY","LAX","08:00","07:54","109","90","-6","08:08","14","0","0","0","0","0"
"OO","12/01/2021","4682","N916EV","SFO","08:00","07:58","151","119","-2","08:10","12","0","0","0","0","0"
"OO","12/01/2021","5278","N622UX","DEN","07:00","07:00","124","112","0","07:12","12","0","0","0","0","0"
"OO","12/01/2021","5354","N440SW","SFO","16:21","16:20","149","115","-1","16:32","12","0","0","0","0","0"
"OO","12/01/2021","5479","N965SW","DEN","10:30","10:22","125","123","-8","10:37","15","0","0","0","0","0"
"OO","12/01/2021","5484","N211SY","IAH","07:30","07:51","153","152","21","08:07","16","20","0","0","0","0"
"OO","12/01/2021","5510","N146SY","IAH","15:20","15:16","149","154","-4","15:26","10","0","0","0","0","0"
"OO","12/01/2021","5700","N930EV","DEN","16:05","16:02","121","126","-3","16:13","11","0","0","0","0","0"
"OO","12/01/2021","6261","N509SY","LAX","07:29","07:23","110","114","-6","07:46","23","0","0","0","0","0"
"OO","12/01/2021","6263","N509SY","LAX","12:07","12:05","99","84","-2","12:18","13","0","0","0","0","0"
"OO","12/01/2022","3149","N517SY","LAX","07:15","07:08","98","93","-7","07:18","10","0","0","0","0","0"
"OO","12/01/2022","3387","N178SY","PDX","10:00","10:01","191","181","1","10:14","13","0","0","0","0","0"
"OO","12/01/2022","3523","N273SY","SLC","17:47","17:30","117","117","-17","17:49","19","0","0","0","0","0"
"OO","12/01/2022","3781","N270SY","LAX","09:23","09:18","106","108","-5","09:37","19","0","0","0","0","0"
"OO","12/01/2022","3794","N281SY","LAX","18:41","18:27","107","108","-14","18:45","18","0","0","0","0","0"
"OO","12/01/2022","3945","N281SY","SLC","07:45","07:28","121","135","-17","07:44","16","0","0","0","0","0"
"OO","12/01/2022","4130","N282SY","SLC","12:19","12:16","125","112","-3","12:34","18","0","0","0","0","0"
"OO","12/01/2022","4142","N295SY","LAX","12:44","12:35","106","108","-9","12:50","15","0","0","0","0","0"
"OO","12/01/2022","4682","N910SW","DEN","10:20","10:16","129","119","-4","10:31","15","0","0","0","0","0"
"OO","12/01/2022","4867","N505SY","LAX","12:30","12:23","100","98","-7","12:35","12","0","0","0","0","0"
"OO","12/01/2022","4949","N872DC","PHX","07:30","07:22","50","61","-8","07:47","25","0","0","0","0","0"
"OO","12/01/2022","5264","N166SY","SFO","08:05","07:59","149","194","-6","09:02","63","39","0","0","0","0"
"OO","12/01/2022","5391","N982SW","SFO","16:00","15:50","147","138","-10","16:01","11","0","0","0","0","0"
"OO","12/01/2022","5583","N146SY","SFO","12:03","12:03","147","151","0","12:21","18","0","0","0","0","0"
"OO","12/01/2023","3123","N514SY","LAX","08:20","08:17","101","93","-3","08:29","12","0","0","0","0","0"
"OO","12/01/2023","3130","N521SY","LAX","12:30","12:19","103","101","-11","12:37","18","0","0","0","0","0"
"OO","12/01/2023","3147","N728SK","PHX","06:58","06:53","52","58","-5","07:10","17","0","0","0","0","0"
"OO","12/01/2023","3200","N718EV","PHX","09:48","09:54","51","112","6","10:58","64","0","0","61","0","6"
