Detailed Statistics Departures  
Origin Airport: Tucson, AZ: Tucson International (TUS)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0279","N254WN","LAS","17:00","17:10","80","67","10","17:18","8","0","0","0","0","0"
"WN","12/01/2021","0569","N8530W","SAN","11:40","11:34","85","72","-6","11:49","15","0","0","0","0","0"
"WN","12/01/2021","0715","N436WN","LAS","07:00","08:19","80","68","79","08:26","7","67","0","0","0","0"
"WN","12/01/2021","1135","N8637A","LAX","12:10","13:43","100","81","93","13:49","6","74","0","0","0","0"
"WN","12/01/2021","2404","N7747C","HOU","12:50","12:46","135","134","-4","12:55","9","0","0","0","0","0"
"WN","12/01/2021","2433","N8665D","DEN","08:00","08:11","115","115","11","08:21","10","0","0","0","0","0"
"WN","12/01/2021","3085","N7730A","DEN","14:00","14:38","110","109","38","14:52","14","0","0","0","0","37"
"WN","12/01/2021","6143","N731SA","MDW","08:15","08:20","195","203","5","08:28","8","0","0","0","0","0"
"WN","12/01/2022","0547","N8547V","DEN","16:20","16:12","110","107","-8","16:21","9","0","0","0","0","0"
"WN","12/01/2022","0682","N7744A","DEN","07:40","07:46","120","100","6","07:56","10","0","0","0","0","0"
"WN","12/01/2022","0813","N8507C","LAX","18:00","17:59","100","87","-1","18:09","10","0","0","0","0","0"
"WN","12/01/2022","1329","N266WN","LAS","10:05","09:58","80","89","-7","10:23","25","0","0","0","0","0"
"WN","12/01/2022","1362","N776WN","SAN","15:25","15:34","75","71","9","15:42","8","0","0","0","0","0"
"WN","12/01/2022","1671","N7734H","HOU","11:40","11:50","135","118","10","11:56","6","0","0","0","0","0"
"WN","12/01/2022","2361","N8537Z","LAS","16:55","17:07","85","86","12","17:30","23","0","0","0","0","0"
"WN","12/01/2022","2853","N7734H","LAX","05:35","05:34","95","96","-1","05:44","10","0","0","0","0","0"
"WN","12/01/2022","3424","N8551Q","DEN","11:50","11:42","115","118","-8","11:50","8","0","0","0","0","0"
"WN","12/01/2022","3474","N8633A","LAS","06:05","06:02","90","70","-3","06:09","7","0","0","0","0","0"
"WN","12/01/2023","0164","N788SA","DEN","05:45","05:42","110","99","-3","05:49","7","0","0","0","0","0"
"WN","12/01/2023","0331","N8515X","LAS","19:00","18:56","85","72","-4","19:06","10","0","0","0","0","0"
"WN","12/01/2023","1537","N8855Q","SAN","15:35","15:24","80","72","-11","15:34","10","0","0","0","0","0"
"WN","12/01/2023","1643","N277WN","DEN","12:25","12:32","115","114","7","12:51","19","0","0","0","0","0"
"WN","12/01/2023","1744","N7886A","HOU","12:45","12:57","130","131","12","13:13","16","0","0","0","0","0"
"WN","12/01/2023","2061","N225WN","LAX","16:00","15:58","100","87","-2","16:09","11","0","0","0","0","0"
"WN","12/01/2023","2079","N871HK","SAN","06:45","06:42","80","74","-3","06:52","10","0","0","0","0","0"
"WN","12/01/2023","2137","N784SW","DEN","17:55","18:00","115","94","5","18:09","9","0","0","0","0","0"
"WN","12/01/2023","2201","N204WN","LAS","11:40","11:35","85","88","-5","11:51","16","0","0","0","0","0"
"WN","12/01/2023","2296","N8323C","LAS","07:10","07:07","80","68","-3","07:14","7","0","0","0","0","0"
"WN","12/01/2023","2474","N490WN","LAS","14:15","14:33","80","81","18","14:44","11","7","0","1","0","11"
"WN","12/02/2021","0279","N557WN","LAS","17:00","17:03","80","72","3","17:18","15","0","0","0","0","0"
"WN","12/02/2021","0569","N8680C","SAN","11:40","11:36","85","77","-4","11:57","21","0","0","0","0","0"
"WN","12/02/2021","0715","N202WN","LAS","07:00","06:58","80","65","-2","07:05","7","0","0","0","0","0"
"WN","12/02/2021","1135","N8667D","LAX","12:10","12:08","100","98","-2","12:23","15","0","0","0","0","0"
"WN","12/02/2021","2404","N7748A","HOU","12:50","12:48","135","134","-2","12:56","8","0","0","0","0","0"
"WN","12/02/2021","2433","N8683D","DEN","08:00","08:00","115","103","0","08:08","8","0","0","0","0","0"
"WN","12/02/2021","3085","N422WN","DEN","14:00","14:06","110","101","6","14:14","8","0","0","0","0","0"
"WN","12/02/2021","6143","N955WN","MDW","08:15","08:14","195","194","-1","08:22","8","0","0","0","0","0"
"WN","12/02/2022","0547","N8646B","DEN","16:20","16:19","110","103","-1","16:34","15","0","0","0","0","0"
"WN","12/02/2022","0682","N248WN","DEN","07:40","07:39","120","96","-1","07:46","7","0","0","0","0","0"
"WN","12/02/2022","0813","N8660A","LAX","18:00","18:19","100","96","19","18:35","16","0","0","0","0","15"
"WN","12/02/2022","1329","N7864B","LAS","10:05","10:01","80","78","-4","10:11","10","0","0","0","0","0"
"WN","12/02/2022","1362","N948WN","SAN","15:25","15:37","75","73","12","15:48","11","0","0","0","0","0"
"WN","12/02/2022","1671","N943WN","HOU","11:40","11:33","135","126","-7","11:43","10","0","0","0","0","0"
"WN","12/02/2022","2361","N8668A","LAS","16:55","17:07","85","69","12","17:14","7","0","0","0","0","0"
"WN","12/02/2022","2853","N7828A","LAX","05:35","05:28","95","101","-7","05:36","8","0","0","0","0","0"
"WN","12/02/2022","3424","N8525S","DEN","11:50","11:48","115","113","-2","12:00","12","0","0","0","0","0"
"WN","12/02/2022","3474","N8655D","LAS","06:05","06:01","90","73","-4","06:09","8","0","0","0","0","0"
"WN","12/02/2023","0164","N943WN","DEN","05:00","04:54","110","102","-6","05:04","10","0","0","0","0","0"
"WN","12/02/2023","0598","N957WN","LAX","14:00","14:10","100","91","10","14:18","8","0","0","0","0","0"
"WN","12/02/2023","1252","N8533S","DEN","16:05","16:51","110","113","46","17:02","11","0","0","3","0","46"
"WN","12/02/2023","1333","N8859Q","LAS","18:25","18:19","80","74","-6","18:29","10","0","0","0","0","0"
"WN","12/02/2023","1432","N8892S","SAN","11:40","11:37","80","75","-3","11:48","11","0","0","0","0","0"
"WN","12/02/2023","1498","N8707P","HOU","06:50","06:52","130","133","2","07:04","12","0","0","0","0","0"
"WN","12/02/2023","1668","N8323C","MDW","11:55","11:49","195","170","-6","11:59","10","0","0","0","0","0"
"WN","12/02/2023","1744","N791SW","DEN","12:35","12:29","115","104","-6","12:36","7","0","0","0","0","0"
"WN","12/02/2023","2200","N8805L","LAS","07:20","07:13","80","75","-7","07:25","12","0","0","0","0","0"
"WN","12/02/2023","2474","N944WN","LAS","13:15","13:13","85","79","-2","13:25","12","0","0","0","0","0"
"WN","12/03/2021","0279","N430WN","LAS","17:00","16:55","80","74","-5","17:06","11","0","0","0","0","0"
"WN","12/03/2021","0569","N8670A","SAN","11:40","11:35","85","67","-5","11:43","8","0","0","0","0","0"
"WN","12/03/2021","0715","N7713A","LAS","07:00","06:57","80","67","-3","07:05","8","0","0","0","0","0"
"WN","12/03/2021","1135","N8573Z","LAX","12:10","12:07","100","101","-3","12:30","23","0","0","0","0","0"
"WN","12/03/2021","2404","N7750A","HOU","12:50","12:48","135","139","-2","13:07","19","0","0","0","0","0"
"WN","12/03/2021","2433","N8553W","DEN","08:00","08:00","115","107","0","08:12","12","0","0","0","0","0"
"WN","12/03/2021","3085","N959WN","DEN","14:00","14:08","110","103","8","14:16","8","0","0","0","0","0"
