Detailed Statistics Departures  
Origin Airport: Tucson, AZ: Tucson International (TUS)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","2297","N409UA","DEN","14:30","14:32","113","112","2","14:48","16","0","0","0","0","0"
"UA","12/01/2022","0709","N473UA","ORD","12:38","12:30","202","189","-8","12:41","11","0","0","0","0","0"
"UA","12/01/2022","1767","N39450","DEN","06:46","06:38","117","100","-8","06:48","10","0","0","0","0","0"
"UA","12/01/2022","2063","N820UA","IAH","07:37","07:30","139","124","-7","07:39","9","0","0","0","0","0"
"UA","12/01/2022","2124","N437UA","DEN","14:24","14:52","118","100","28","15:01","9","0","0","0","0","0"
"UA","12/01/2022","2462","N17265","IAH","12:12","11:58","139","128","-14","12:12","14","0","0","0","0","0"
"UA","12/01/2023","1476","N33289","DEN","07:00","06:54","119","112","-6","07:22","28","0","0","0","0","0"
"UA","12/01/2023","2140","N37408","IAH","12:19","12:17","141","135","-2","12:30","13","0","0","0","0","0"
"UA","12/01/2023","2258","N17320","DEN","14:31","14:44","119","101","13","14:56","12","0","0","0","0","0"
"UA","12/01/2023","2418","N846UA","ORD","12:46","13:15","204","178","29","13:28","13","0","0","0","0","0"
"UA","12/02/2021","2297","N451UA","DEN","14:30","14:28","113","107","-2","14:39","11","0","0","0","0","0"
"UA","12/02/2022","0709","N473UA","ORD","12:38","12:38","202","204","0","13:14","36","0","0","0","0","0"
"UA","12/02/2022","1767","N37535","DEN","06:46","06:38","117","99","-8","06:51","13","0","0","0","0","0"
