Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0147","248NV","LAS","22:33","23:37","176","193","64","23:48","11","0","0","17","0","64"
"G4","12/01/2022","0802","308NV","LAX","12:08","12:06","201","206","-2","12:15","9","0","0","0","0","0"
"G4","12/01/2023","0083","309NV","LAS","11:39","11:35","179","182","-4","11:44","9","0","0","0","0","0"
"G4","12/01/2023","0768","307NV","LAX","12:50","12:55","208","203","5","13:04","9","0","0","0","0","0"
"G4","12/01/2023","2832","332NV","SFB","19:33","19:35","150","130","2","19:46","11","0","0","0","0","0"
"G4","12/02/2021","0262","337NV","LAS","11:49","11:59","175","168","10","12:24","25","0","0","0","0","0"
"G4","12/02/2021","1439","317NV","LAX","22:09","22:33","202","180","24","22:46","13","0","0","0","0","0"
"G4","12/02/2022","0055","313NV","LAS","21:27","22:11","176","189","44","22:22","11","0","0","13","0","44"
"G4","12/02/2022","0694","218NV","AZA","19:00","19:40","148","171","40","19:52","12","0","0","23","0","40"
"G4","12/02/2022","1334","309NV","SFB","15:04","15:04","145","134","0","15:15","11","0","0","0","0","0"
"G4","12/03/2021","0262","289NV","LAS","11:59","11:50","175","159","-9","12:02","12","0","0","0","0","0"
"G4","12/03/2021","0489","320NV","SFB","17:43","17:35","139","138","-8","17:46","11","0","0","0","0","0"
"G4","12/03/2022","2992","297NV","SRQ","12:43","12:34","153","124","-9","12:42","8","0","0","0","0","0"
"G4","12/03/2023","2712","277NV","PIE","19:58","19:33","142","128","-25","19:47","14","0","0","0","0","0"
"G4","12/04/2022","0011","305NV","LAS","17:25","17:17","176","195","-8","17:37","20","0","0","0","0","0"
"G4","12/04/2022","0802","324NV","LAX","12:08","13:10","201","212","62","13:21","11","62","0","11","0","0"
"G4","12/04/2023","0083","329NV","LAS","11:49","11:48","179","182","-1","12:02","14","0","0","0","0","0"
"G4","12/04/2023","0768","320NV","LAX","12:50","12:49","208","197","-1","13:01","12","0","0","0","0","0"
"G4","12/04/2023","2902","332NV","SFB","18:50","19:22","150","136","32","19:36","14","0","0","0","0","18"
"G4","12/05/2021","0262","302NV","LAS","11:49","11:37","175","170","-12","11:49","12","0","0","0","0","0"
"G4","12/05/2021","1439","335NV","LAX","22:09","22:07","202","193","-2","22:19","12","0","0","0","0","0"
"G4","12/05/2022","0055","283NV","LAS","12:47","12:43","176","207","-4","12:53","10","0","0","27","0","0"
"G4","12/05/2022","0694","259NV","AZA","19:00","19:26","148","164","26","19:39","13","0","0","16","0","26"
"G4","12/05/2022","2839","327NV","SFB","11:33","11:39","145","141","6","11:58","19","0","0","0","0","0"
"G4","12/06/2021","0262","325NV","LAS","11:59","11:55","175","169","-4","12:07","12","0","0","0","0","0"
"G4","12/06/2021","0489","320NV","SFB","17:43","17:34","139","131","-9","17:45","11","0","0","0","0","0"
"G4","12/07/2022","1394","292NV","SRQ","11:37","11:18","144","149","-19","11:25","7","0","0","0","0","0"
"G4","12/07/2023","0157","301NV","LAS","21:38","21:21","188","183","-17","21:35","14","0","0","0","0","0"
"G4","12/07/2023","2708","337NV","PIE","19:35","19:23","140","130","-12","19:33","10","0","0","0","0","0"
"G4","12/08/2022","0022","293NV","LAS","22:32","23:17","180","180","45","23:27","10","0","0","0","0","45"
"G4","12/08/2022","0802","308NV","LAX","12:19","12:07","212","205","-12","12:17","10","0","0","0","0","0"
"G4","12/08/2023","0083","325NV","LAS","11:25","11:07","187","188","-18","11:16","9","0","0","0","0","0"
"G4","12/08/2023","0768","320NV","LAX","12:54","12:51","215","206","-3","13:04","13","0","0","0","0","0"
"G4","12/08/2023","2832","252NV","SFB","20:00","19:48","142","134","-12","20:00","12","0","0","0","0","0"
"G4","12/09/2021","0262","306NV","LAS","11:49","12:19","175","191","30","12:49","30","0","0","41","0","5"
"G4","12/09/2021","1439","317NV","LAX","22:09","22:32","202","207","23","22:44","12","23","0","5","0","0"
"G4","12/09/2022","0022","305NV","LAS","21:35","21:39","180","181","4","21:48","9","0","0","0","0","0"
"G4","12/09/2022","0758","276NV","AZA","19:04","18:57","167","160","-7","19:07","10","0","0","0","0","0"
"G4","12/09/2022","1261","332NV","SFB","15:21","15:19","141","135","-2","15:29","10","0","0","0","0","0"
"G4","12/10/2021","0262","337NV","LAS","12:04","11:59","175","186","-5","12:11","12","0","0","0","0","0"
"G4","12/10/2021","0489","320NV","SFB","17:43","17:58","139","131","15","18:08","10","0","0","0","0","0"
"G4","12/10/2022","1391","297NV","SRQ","12:37","12:12","144","137","-25","12:22","10","0","0","0","0","0"
"G4","12/10/2023","0157","324NV","LAS","22:27","00:01","188","184","94","00:21","20","31","0","0","0","59"
"G4","12/10/2023","2708","317NV","PIE","19:35","21:47","140","132","132","21:59","12","0","0","0","0","124"
"G4","12/11/2022","0051","293NV","LAS","17:29","19:19","180","179","110","19:29","10","0","0","97","0","12"
"G4","12/11/2022","0802","308NV","LAX","12:19","12:19","212","211","0","12:28","9","0","0","0","0","0"
"G4","12/11/2023","0083","312NV","LAS","22:13","22:03","188","181","-10","22:20","17","0","0","0","0","0"
"G4","12/11/2023","0768","307NV","LAX","12:54","12:48","215","198","-6","13:00","12","0","0","0","0","0"
"G4","12/11/2023","1293","328NV","SFB","19:41","19:20","142","134","-21","19:33","13","0","0","0","0","0"
"G4","12/12/2021","0262","324NV","LAS","11:49","11:36","175","167","-13","11:47","11","0","0","0","0","0"
"G4","12/12/2021","1439","317NV","LAX","22:09","22:09","202","197","0","22:24","15","0","0","0","0","0"
"G4","12/12/2022","0024","296NV","LAS","12:48","12:38","180","191","-10","12:57","19","0","0","0","0","0"
"G4","12/12/2022","0758","256NV","AZA","19:04","18:46","167","161","-18","18:58","12","0","0","0","0","0"
"G4","12/12/2022","1232","282NV","SFB","11:34","11:28","141","139","-6","11:40","12","0","0","0","0","0"
"G4","12/13/2021","0262","309NV","LAS","11:59","12:18","175","178","19","12:34","16","0","0","3","0","19"
"G4","12/13/2021","0489","338NV","SFB","17:43","17:58","139","131","15","18:11","13","0","0","0","0","0"
"G4","12/14/2023","0157","329NV","LAS","22:27","22:49","188","189","22","23:02","13","1","0","1","0","21"
"G4","12/14/2023","2708","337NV","PIE","19:35","19:45","140","134","10","19:57","12","0","0","0","0","0"
"G4","12/15/2021","2010","245NV","PIE","18:31","18:22","134","131","-9","18:34","12","0","0","0","0","0"
"G4","12/15/2021","2547","215NV","SRQ","12:22","11:57","144","142","-25","12:08","11","0","0","0","0","0"
"G4","12/15/2022","0802","330NV","LAX","21:40","21:32","212","225","-8","21:43","11","0","0","0","0","0"
"G4","12/15/2022","2979","277NV","SRQ","10:37","09:36","144","0","-1","10:09","33","0","0","0","0","0"
"G4","12/15/2023","0083","324NV","LAS","11:26","11:35","188","169","9","11:45","10","0","0","0","0","0"
"G4","12/15/2023","0768","307NV","LAX","12:54","12:51","215","191","-3","13:03","12","0","0","0","0","0"
"G4","12/15/2023","2832","220NV","SFB","20:00","20:36","142","151","36","20:54","18","0","0","9","0","36"
"G4","12/16/2021","1263","290NV","AZA","12:51","12:48","168","159","-3","12:59","11","0","0","0","0","0"
"G4","12/16/2021","1446","335NV","LAX","11:36","11:37","199","206","1","11:48","11","0","0","0","0","0"
"G4","12/16/2021","2795","252NV","AUS","14:59","14:48","90","95","-11","15:02","14","0","0","0","0","0"
"G4","12/17/2021","0193","239NV","LAS","22:32","23:11","178","166","39","23:21","10","0","0","0","0","27"
"G4","12/17/2021","2466","310NV","SFB","08:42","08:42","139","148","0","08:56","14","0","0","0","0","0"
"G4","12/17/2022","0022","324NV","LAS","22:44","22:31","180","167","-13","22:41","10","0","0","0","0","0"
"G4","12/17/2022","0704","284NV","AZA","10:03","11:00","167","156","57","11:13","13","0","0","0","0","46"
"G4","12/17/2022","2908","215NV","SFB","19:53","21:18","141","127","85","21:28","10","52","0","0","0","19"
"G4","12/17/2023","0157","327NV","LAS","21:37","21:36","188","172","-1","21:47","11","0","0","0","0","0"
"G4","12/17/2023","2708","337NV","PIE","19:35","19:26","140","134","-9","19:38","12","0","0","0","0","0"
"G4","12/18/2021","2010","223NV","PIE","12:47","12:24","134","155","-23","12:53","29","0","0","0","0","0"
"G4","12/18/2021","2547","219NV","SRQ","20:19","20:41","144","138","22","20:53","12","12","0","0","0","4"
"G4","12/18/2022","0802","330NV","LAX","21:40","22:23","212","201","43","22:34","11","0","0","1","0","31"
"G4","12/18/2022","1364","292NV","SRQ","11:07","11:02","144","140","-5","11:16","14","0","0","0","0","0"
"G4","12/18/2023","0083","311NV","LAS","11:26","11:51","188","177","25","12:05","14","0","0","0","0","0"
"G4","12/18/2023","0768","307NV","LAX","12:54","13:07","215","191","13","13:16","9","0","0","0","0","0"
"G4","12/18/2023","1293","296NV","SFB","20:00","21:20","142","130","80","21:30","10","0","0","11","0","57"
"G4","12/19/2021","1327","275NV","AZA","19:05","20:00","168","138","55","20:12","12","0","0","0","0","25"
"G4","12/19/2021","1431","335NV","LAX","11:36","11:48","199","188","12","12:03","15","0","0","0","0","0"
"G4","12/19/2021","2827","252NV","AUS","09:00","08:47","90","86","-13","08:58","11","0","0","0","0","0"
"G4","12/20/2021","0197","337NV","LAS","22:11","22:58","178","171","47","23:09","11","0","0","0","0","40"
"G4","12/20/2021","2643","220NV","SFB","17:11","17:07","139","142","-4","17:18","11","0","0","0","0","0"
"G4","12/20/2022","0024","329NV","LAS","11:28","11:22","180","174","-6","11:34","12","0","0","0","0","0"
