Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","2670","N927AT","ATL","06:00","05:56","117","105","-4","06:06","10","0","0","0","0","0"
"DL","12/01/2021","2836","N934AT","ATL","11:12","11:05","112","96","-7","11:13","8","0","0","0","0","0"
"DL","12/01/2021","2842","N927AT","ATL","17:19","17:16","116","108","-3","17:26","10","0","0","0","0","0"
"DL","12/01/2022","0951","N938AT","ATL","15:54","15:50","110","102","-4","16:03","13","0","0","0","0","0"
"DL","12/01/2022","2041","N947AT","ATL","10:20","10:18","109","100","-2","10:31","13","0","0","0","0","0"
"DL","12/01/2022","2193","N608AT","ATL","18:48","19:39","111","101","51","19:53","14","0","0","0","0","41"
"DL","12/01/2022","2670","N926AT","ATL","06:03","05:56","117","106","-7","06:09","13","0","0","0","0","0"
"DL","12/01/2023","1201","N988AT","ATL","17:21","17:13","112","108","-8","17:22","9","0","0","0","0","0"
"DL","12/01/2023","1235","N924AT","ATL","06:00","05:51","118","109","-9","06:06","15","0","0","0","0","0"
"DL","12/01/2023","2894","N944AT","ATL","13:10","13:08","109","102","-2","13:20","12","0","0","0","0","0"
"DL","12/02/2021","1723","N717JL","ATL","18:42","18:34","115","115","-8","18:51","17","0","0","0","0","0"
"DL","12/02/2021","2670","N938AT","ATL","06:00","05:56","117","121","-4","06:09","13","0","0","0","0","0"
"DL","12/02/2021","2726","N982AT","ATL","15:50","15:49","115","109","-1","16:03","14","0","0","0","0","0"
"DL","12/02/2021","2836","N989AT","ATL","11:12","11:07","112","101","-5","11:19","12","0","0","0","0","0"
"DL","12/02/2022","0951","N990AT","ATL","15:54","15:47","110","104","-7","16:01","14","0","0","0","0","0"
"DL","12/02/2022","2041","N923AT","ATL","10:20","10:18","109","98","-2","10:33","15","0","0","0","0","0"
"DL","12/02/2022","2193","N933AT","ATL","18:48","18:38","111","102","-10","18:52","14","0","0","0","0","0"
"DL","12/02/2022","2670","N952AT","ATL","06:03","05:57","117","112","-6","06:20","23","0","0","0","0","0"
"DL","12/02/2023","1201","N997AT","ATL","17:21","17:11","112","124","-10","17:34","23","0","0","0","0","0"
"DL","12/02/2023","1235","N717JL","ATL","06:00","05:55","118","128","-5","06:06","11","0","0","0","0","0"
"DL","12/02/2023","2894","N893AT","ATL","13:10","13:06","109","99","-4","13:17","11","0","0","0","0","0"
"DL","12/03/2021","1723","N974AT","ATL","18:42","18:34","115","112","-8","18:46","12","0","0","0","0","0"
"DL","12/03/2021","2670","N942AT","ATL","06:00","05:57","117","105","-3","06:08","11","0","0","0","0","0"
"DL","12/03/2021","2726","N979AT","ATL","15:50","15:52","115","103","2","16:03","11","0","0","0","0","0"
"DL","12/03/2021","2836","N966AT","ATL","11:12","11:06","112","111","-6","11:21","15","0","0","0","0","0"
"DL","12/03/2022","0574","N971AT","ATL","17:15","17:17","110","110","2","17:25","8","0","0","0","0","0"
"DL","12/03/2022","1534","N930AT","ATL","11:15","11:08","109","97","-7","11:17","9","0","0","0","0","0"
"DL","12/03/2022","2670","N935AT","ATL","06:03","05:57","117","102","-6","06:08","11","0","0","0","0","0"
"DL","12/03/2023","1201","N964AT","ATL","17:21","17:20","112","105","-1","17:35","15","0","0","0","0","0"
"DL","12/03/2023","1235","N983AT","ATL","06:00","05:56","118","133","-4","06:28","32","0","0","0","0","0"
"DL","12/03/2023","2685","N950AT","ATL","10:14","10:08","102","104","-6","10:22","14","0","0","0","0","0"
"DL","12/03/2023","2894","N938AT","ATL","13:10","13:12","109","98","2","13:26","14","0","0","0","0","0"
"DL","12/04/2021","2670","N974AT","ATL","06:00","05:52","117","107","-8","06:00","8","0","0","0","0","0"
"DL","12/04/2021","2836","N955AT","ATL","11:12","11:07","112","110","-5","11:17","10","0","0","0","0","0"
"DL","12/04/2021","2842","N926AT","ATL","17:19","17:14","116","114","-5","17:27","13","0","0","0","0","0"
"DL","12/04/2022","0951","N936AT","ATL","15:55","15:51","110","97","-4","16:02","11","0","0","0","0","0"
"DL","12/04/2022","2041","N954AT","ATL","10:20","10:18","109","109","-2","10:30","12","0","0","0","0","0"
"DL","12/04/2022","2193","N942AT","ATL","18:48","18:42","111","100","-6","18:55","13","0","0","0","0","0"
"DL","12/04/2022","2670","N995AT","ATL","06:03","05:59","117","107","-4","06:12","13","0","0","0","0","0"
"DL","12/04/2023","1192","N961AT","ATL","17:21","17:14","112","105","-7","17:30","16","0","0","0","0","0"
"DL","12/04/2023","1235","N974AT","ATL","06:00","05:57","118","102","-3","06:07","10","0","0","0","0","0"
"DL","12/04/2023","2685","N983AT","ATL","10:14","10:13","102","99","-1","10:26","13","0","0","0","0","0"
"DL","12/04/2023","2894","N964AT","ATL","13:10","12:57","109","110","-13","13:07","10","0","0","0","0","0"
"DL","12/05/2021","1723","N977AT","ATL","18:42","18:33","110","107","-9","18:48","15","0","0","0","0","0"
"DL","12/05/2021","2670","N989AT","ATL","06:00","05:58","117","107","-2","06:08","10","0","0","0","0","0"
"DL","12/05/2021","2726","N995AT","ATL","15:55","15:53","110","106","-2","16:02","9","0","0","0","0","0"
"DL","12/05/2021","2836","N938AT","ATL","11:14","11:03","109","104","-11","11:15","12","0","0","0","0","0"
"DL","12/05/2022","0951","N966AT","ATL","15:54","15:56","110","104","2","16:09","13","0","0","0","0","0"
"DL","12/05/2022","2041","N924AT","ATL","10:25","10:27","109","100","2","10:39","12","0","0","0","0","0"
"DL","12/05/2022","2193","N978AT","ATL","18:48","18:43","111","97","-5","18:52","9","0","0","0","0","0"
"DL","12/05/2022","2670","N982AT","ATL","06:03","05:55","117","107","-8","06:10","15","0","0","0","0","0"
"DL","12/05/2023","1201","N978AT","ATL","17:21","17:18","112","112","-3","17:28","10","0","0","0","0","0"
"DL","12/05/2023","1235","N950AT","ATL","06:00","05:55","118","111","-5","06:08","13","0","0","0","0","0"
"DL","12/05/2023","2685","N947AT","ATL","10:14","10:19","102","96","5","10:27","8","0","0","0","0","0"
"DL","12/05/2023","2894","N979AT","ATL","13:10","13:53","109","96","43","14:02","9","0","0","0","0","30"
"DL","12/06/2021","1723","N924AT","ATL","18:42","18:39","110","112","-3","18:50","11","0","0","0","0","0"
"DL","12/06/2021","2670","N943AT","ATL","06:00","05:53","117","153","-7","06:06","13","0","0","29","0","0"
"DL","12/06/2021","2726","N938AT","ATL","15:55","16:04","110","101","9","16:11","7","0","0","0","0","0"
"DL","12/06/2021","2836","N977AT","ATL","11:14","11:07","109","125","-7","11:22","15","0","0","0","0","0"
"DL","12/06/2022","0951","N933AT","ATL","17:15","17:11","110","106","-4","17:29","18","0","0","0","0","0"
"DL","12/06/2022","2041","N934AT","ATL","11:15","11:13","109","102","-2","11:27","14","0","0","0","0","0"
"DL","12/06/2022","2670","N951AT","ATL","06:03","05:56","117","103","-7","06:07","11","0","0","0","0","0"
"DL","12/06/2023","1201","N989AT","ATL","17:21","17:17","112","101","-4","17:27","10","0","0","0","0","0"
"DL","12/06/2023","1235","N978AT","ATL","06:00","05:47","118","147","-13","06:39","52","0","0","16","0","0"
"DL","12/06/2023","2685","N982AT","ATL","10:14","10:01","102","106","-13","10:09","8","0","0","0","0","0"
"DL","12/06/2023","2894","N971AT","ATL","13:10","13:22","109","105","12","13:35","13","0","0","0","0","0"
"DL","12/07/2021","2670","N717JL","ATL","06:00","05:50","117","105","-10","06:00","10","0","0","0","0","0"
"DL","12/07/2021","2836","N946AT","ATL","11:14","11:08","109","107","-6","11:23","15","0","0","0","0","0"
"DL","12/07/2021","2842","N955AT","ATL","17:19","17:16","108","102","-3","17:27","11","0","0","0","0","0"
"DL","12/07/2022","0951","N964AT","ATL","17:15","17:13","110","116","-2","17:22","9","0","0","0","0","0"
"DL","12/07/2022","2041","N954AT","ATL","11:15","11:12","109","101","-3","11:20","8","0","0","0","0","0"
"DL","12/07/2022","2670","N971AT","ATL","06:03","05:59","117","112","-4","06:18","19","0","0","0","0","0"
"DL","12/07/2023","0960","N928AT","ATL","13:27","13:18","114","106","-9","13:31","13","0","0","0","0","0"
"DL","12/07/2023","1201","N978AT","ATL","16:45","16:39","114","105","-6","16:51","12","0","0","0","0","0"
"DL","12/07/2023","1235","N989AT","ATL","06:00","05:54","118","108","-6","06:08","14","0","0","0","0","0"
"DL","12/07/2023","1414","N921AT","ATL","10:23","10:13","109","102","-10","10:23","10","0","0","0","0","0"
"DL","12/07/2023","1539","N989AT","ATL","18:49","18:43","110","110","-6","18:58","15","0","0","0","0","0"
"DL","12/08/2021","2670","N928AT","ATL","06:00","12:10","117","106","370","12:21","11","359","0","0","0","0"
"DL","12/08/2021","2836","N979AT","ATL","11:14","11:35","109","108","21","11:45","10","1","0","0","0","19"
"DL","12/08/2021","2842","N947AT","ATL","17:19","17:18","108","103","-1","17:29","11","0","0","0","0","0"
"DL","12/08/2022","0951","N980AT","ATL","15:54","16:59","110","93","65","17:06","7","0","0","0","0","48"
"DL","12/08/2022","2041","N966AT","ATL","10:20","10:15","109","99","-5","10:23","8","0","0","0","0","0"
"DL","12/08/2022","2193","N921AT","ATL","18:48","18:59","111","102","11","19:09","10","0","0","0","0","0"
"DL","12/08/2022","2670","N978AT","ATL","06:03","06:00","117","116","-3","06:13","13","0","0","0","0","0"
"DL","12/08/2023","0960","N922AT","ATL","13:27","14:06","114","107","39","14:19","13","0","0","0","0","32"
"DL","12/08/2023","1201","N954AT","ATL","16:45","16:36","114","99","-9","16:46","10","0","0","0","0","0"
"DL","12/08/2023","1235","N894AT","ATL","06:00","05:57","118","108","-3","06:13","16","0","0","0","0","0"
"DL","12/08/2023","1414","N967AT","ATL","10:23","10:11","109","104","-12","10:22","11","0","0","0","0","0"
"DL","12/08/2023","1539","N935AT","ATL","18:49","18:35","110","107","-14","18:46","11","0","0","0","0","0"
"DL","12/09/2021","1723","N932AT","ATL","18:42","18:39","110","109","-3","18:52","13","0","0","0","0","0"
"DL","12/09/2021","2670","N954AT","ATL","06:00","05:54","117","99","-6","06:05","11","0","0","0","0","0"
"DL","12/09/2021","2726","N951AT","ATL","15:55","16:01","110","101","6","16:14","13","0","0","0","0","0"
"DL","12/09/2021","2836","N942AT","ATL","11:14","11:06","109","108","-8","11:32","26","0","0","0","0","0"
