Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3590","N300LK","ORD","07:29","07:23","119","143","-6","08:05","42","0","0","18","0","0"
"MQ","12/01/2021","3670","N261NN","ORD","17:20","17:14","124","116","-6","17:25","11","0","0","0","0","0"
"MQ","12/01/2021","4162","N248NN","DFW","20:02","21:39","82","64","97","21:55","16","0","0","0","0","79"
"MQ","12/01/2021","4240","N231AN","AUS","18:06","17:59","93","82","-7","18:12","13","0","0","0","0","0"
"MQ","12/01/2021","4301","N267NN","DFW","10:20","10:15","81","67","-5","10:25","10","0","0","0","0","0"
"MQ","12/01/2022","3523","N269NN","ORD","16:32","16:28","115","104","-4","16:38","10","0","0","0","0","0"
"MQ","12/01/2022","3867","N302RN","ORD","10:31","10:44","114","104","13","10:56","12","0","0","0","0","0"
"MQ","12/01/2022","4240","N287NN","AUS","14:03","16:06","86","93","123","16:21","15","0","0","7","0","123"
"MQ","12/01/2023","3309","N223NN","DFW","14:11","14:06","81","83","-5","14:17","11","0","0","0","0","0"
"MQ","12/01/2023","3530","N806MD","ORD","05:40","05:35","116","125","-5","05:50","15","0","0","0","0","0"
"MQ","12/01/2023","3670","N821MD","ORD","17:31","17:29","117","109","-2","17:47","18","0","0","0","0","0"
"MQ","12/01/2023","3867","N252NN","DFW","20:25","20:17","81","95","-8","20:51","34","0","0","0","0","0"
"MQ","12/02/2021","3590","N228NN","ORD","07:29","07:23","119","108","-6","07:34","11","0","0","0","0","0"
"MQ","12/02/2021","3670","N200NN","ORD","17:20","17:09","124","125","-11","17:22","13","0","0","0","0","0"
"MQ","12/02/2021","4162","N289MW","DFW","20:02","19:56","82","87","-6","20:14","18","0","0","0","0","0"
"MQ","12/02/2021","4240","N231AN","AUS","18:06","18:00","93","82","-6","18:12","12","0","0","0","0","0"
"MQ","12/02/2022","3523","N251NN","ORD","16:32","16:25","115","110","-7","16:38","13","0","0","0","0","0"
"MQ","12/02/2022","3867","N211NN","ORD","10:31","10:28","114","104","-3","10:43","15","0","0","0","0","0"
"MQ","12/02/2022","4240","N210NN","AUS","14:03","14:00","86","90","-3","14:16","16","0","0","0","0","0"
"MQ","12/02/2023","3309","N288NN","DFW","14:11","14:03","81","81","-8","14:17","14","0","0","0","0","0"
"MQ","12/02/2023","3530","N765ST","ORD","07:15","07:03","116","95","-12","07:17","14","0","0","0","0","0"
"MQ","12/02/2023","3899","N826MD","DFW","16:39","16:32","81","79","-7","16:44","12","0","0","0","0","0"
"MQ","12/03/2021","3590","N273NN","ORD","07:29","07:21","119","121","-8","07:34","13","0","0","0","0","0"
"MQ","12/03/2021","3670","N231AN","ORD","17:20","17:14","124","105","-6","17:24","10","0","0","0","0","0"
"MQ","12/03/2021","4162","N259NN","DFW","20:02","19:54","82","76","-8","20:08","14","0","0","0","0","0"
"MQ","12/03/2021","4240","N285NN","AUS","18:06","17:57","93","77","-9","18:10","13","0","0","0","0","0"
"MQ","12/03/2022","3523","N273NN","ORD","16:32","16:21","115","102","-11","16:30","9","0","0","0","0","0"
"MQ","12/03/2022","3867","N203NN","ORD","10:31","10:28","114","104","-3","10:41","13","0","0","0","0","0"
"MQ","12/03/2023","3309","N238NN","DFW","14:11","14:02","81","84","-9","14:25","23","0","0","0","0","0"
"MQ","12/03/2023","3530","N772MR","ORD","05:40","05:33","116","130","-7","06:08","35","0","0","0","0","0"
"MQ","12/03/2023","3670","N762DT","ORD","17:31","17:31","117","110","0","17:43","12","0","0","0","0","0"
"MQ","12/03/2023","3867","N278NN","DFW","20:25","20:50","81","66","25","21:03","13","0","0","0","0","0"
"MQ","12/04/2021","3504","N252NN","MIA","07:07","07:01","173","188","-6","07:10","9","0","0","0","0","0"
"MQ","12/04/2021","4240","N251NN","AUS","18:06","18:01","93","74","-5","18:09","8","0","0","0","0","0"
"MQ","12/04/2022","3523","N251NN","ORD","16:32","16:23","115","112","-9","16:36","13","0","0","0","0","0"
"MQ","12/04/2022","3867","N282NN","ORD","10:31","10:37","114","108","6","10:50","13","0","0","0","0","0"
"MQ","12/04/2022","4240","N229NN","AUS","14:03","13:59","86","87","-4","14:08","9","0","0","0","0","0"
"MQ","12/04/2023","3309","N255NN","DFW","14:11","14:10","81","83","-1","14:30","20","0","0","0","0","0"
"MQ","12/04/2023","3530","N774JG","ORD","05:40","05:34","116","106","-6","05:45","11","0","0","0","0","0"
"MQ","12/04/2023","3670","N637RW","ORD","17:31","17:28","117","116","-3","17:40","12","0","0","0","0","0"
"MQ","12/04/2023","3867","N266NN","DFW","20:25","20:54","81","66","29","21:09","15","0","0","0","0","0"
"MQ","12/05/2021","3590","N264NN","ORD","07:29","07:27","119","105","-2","07:42","15","0","0","0","0","0"
"MQ","12/05/2021","3670","N251NN","ORD","17:20","17:15","124","116","-5","17:33","18","0","0","0","0","0"
"MQ","12/05/2021","4162","N204NN","DFW","20:02","19:52","82","65","-10","20:05","13","0","0","0","0","0"
"MQ","12/05/2021","4240","N244NN","AUS","18:06","17:55","93","85","-11","18:07","12","0","0","0","0","0"
"MQ","12/05/2021","4301","N247NN","DFW","10:20","10:17","81","74","-3","10:28","11","0","0","0","0","0"
"MQ","12/05/2022","3523","N218NN","ORD","16:32","16:29","115","106","-3","16:43","14","0","0","0","0","0"
"MQ","12/05/2022","3867","N241NN","ORD","10:31","10:31","114","102","0","10:44","13","0","0","0","0","0"
"MQ","12/05/2022","4240","N211NN","AUS","14:03","14:02","86","80","-1","14:14","12","0","0","0","0","0"
"MQ","12/05/2023","3509","N231AN","DFW","14:11","14:06","82","72","-5","14:15","9","0","0","0","0","0"
"MQ","12/05/2023","3530","N806MD","ORD","07:12","07:07","128","129","-5","07:19","12","0","0","0","0","0"
"MQ","12/06/2021","3590","N277NN","ORD","07:29","07:24","119","103","-5","07:33","9","0","0","0","0","0"
"MQ","12/06/2021","3670","N246NN","ORD","17:20","17:37","124","115","17","17:50","13","0","0","0","0","0"
"MQ","12/06/2021","4240","N270NN","AUS","18:06","18:05","93","90","-1","18:19","14","0","0","0","0","0"
"MQ","12/06/2022","3523","N273NN","ORD","16:32","16:25","115","111","-7","16:37","12","0","0","0","0","0"
"MQ","12/06/2022","3867","N218NN","ORD","10:31","10:31","114","94","0","10:44","13","0","0","0","0","0"
"MQ","12/06/2022","4240","N257NN","AUS","14:03","15:07","86","85","64","15:22","15","0","0","0","0","63"
"MQ","12/06/2023","3530","N774JG","ORD","07:12","07:06","128","126","-6","07:30","24","0","0","0","0","0"
"MQ","12/07/2021","3590","N255NN","ORD","07:29","07:28","119","114","-1","07:51","23","0","0","0","0","0"
"MQ","12/07/2021","4240","N255NN","AUS","18:06","18:00","93","81","-6","18:11","11","0","0","0","0","0"
"MQ","12/07/2021","4301","N279MQ","DFW","10:20","10:25","81","78","5","10:40","15","0","0","0","0","0"
"MQ","12/07/2022","3523","N291NN","ORD","16:32","16:24","115","105","-8","16:39","15","0","0","0","0","0"
"MQ","12/07/2022","3867","N290NN","ORD","10:31","10:35","114","101","4","10:44","9","0","0","0","0","0"
"MQ","12/07/2022","4240","N218NN","AUS","14:03","13:57","86","89","-6","14:09","12","0","0","0","0","0"
"MQ","12/07/2023","3530","N772MR","ORD","07:12","07:06","128","107","-6","07:18","12","0","0","0","0","0"
"MQ","12/07/2023","3670","N637RW","ORD","17:31","17:30","120","136","-1","17:51","21","0","0","15","0","0"
"MQ","12/07/2023","3867","N766JM","DFW","20:25","21:07","82","62","42","21:20","13","4","0","0","0","18"
"MQ","12/08/2021","3590","N232NN","ORD","07:29","07:27","119","114","-2","07:38","11","0","0","0","0","0"
"MQ","12/08/2021","3670","N206NN","ORD","17:20","17:17","124","115","-3","17:31","14","0","0","0","0","0"
"MQ","12/08/2021","4162","N212NN","DFW","20:02","19:55","82","82","-7","20:11","16","0","0","0","0","0"
"MQ","12/08/2021","4240","N204NN","AUS","18:06","18:00","93","84","-6","18:14","14","0","0","0","0","0"
"MQ","12/08/2021","4301","N276NN","DFW","10:20","10:42","81","114","22","11:42","60","0","0","33","0","22"
