Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/02/2021","0635","N365FR","DEN","19:58","19:49","117","105","-9","20:06","17","0","0","0","0","0"
"F9","12/05/2021","0635","N718FR","DEN","19:49","19:49","117","116","0","20:00","11","0","0","0","0","0"
"F9","12/07/2021","0635","N349FR","DEN","13:27","13:21","116","121","-6","13:36","15","0","0","0","0","0"
"F9","12/09/2021","0635","N308FR","DEN","18:52","18:52","116","108","0","19:06","14","0","0","0","0","0"
"F9","12/12/2021","0635","N358FR","DEN","19:49","19:47","117","100","-2","19:57","10","0","0","0","0","0"
"F9","12/14/2021","0635","N328FR","DEN","13:27","13:24","116","104","-3","13:38","14","0","0","0","0","0"
"F9","12/16/2021","0635","N375FR","DEN","19:58","21:25","117","106","87","21:37","12","76","0","0","0","0"
"F9","12/19/2021","0635","N334FR","DEN","15:00","15:27","117","118","27","15:53","26","18","0","1","0","9"
"F9","12/23/2021","0635","N365FR","DEN","19:58","20:00","117","121","2","20:20","20","0","0","0","0","0"
"F9","12/26/2021","0635","N228FR","DEN","15:00","17:47","117","111","167","17:59","12","0","0","161","0","0"
"F9","12/30/2021","0635","N373FR","DEN","19:58","21:06","117","108","68","21:15","9","6","0","24","0","29"

 SOURCE: Bureau of Transportation Statistics
