Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5740","N915FJ","DFW","16:21","16:14","77","80","-7","16:34","20","0","0","0","0","0"
"YV","12/01/2021","5965","N904FJ","PHX","17:27","18:15","175","137","48","18:28","13","0","0","0","0","0"
"YV","12/01/2022","5736","N925FJ","PHX","17:36","17:28","166","166","-8","17:41","13","0","0","0","0","0"
"YV","12/01/2022","5818","N919FJ","DFW","12:16","12:07","80","83","-9","12:27","20","0","0","0","0","0"
"YV","12/01/2023","6052","N948LR","IAH","16:56","16:50","106","109","-6","17:09","19","0","0","0","0","0"
"YV","12/01/2023","6092","N951LR","IAH","06:40","06:36","107","92","-4","06:48","12","0","0","0","0","0"
"YV","12/01/2023","6109","N241LR","IAH","15:20","15:14","107","105","-6","15:25","11","0","0","0","0","0"
"YV","12/01/2023","6230","N938LR","DEN","06:00","05:56","122","102","-4","06:10","14","0","0","0","0","0"
"YV","12/01/2023","6258","N930LR","DEN","16:55","16:58","121","137","3","17:31","33","0","0","19","0","0"
"YV","12/02/2021","5740","N958LR","DFW","16:21","16:12","77","71","-9","16:27","15","0","0","0","0","0"
"YV","12/02/2021","5965","N922FJ","PHX","17:27","17:37","175","148","10","17:53","16","0","0","0","0","0"
"YV","12/02/2022","5736","N248LR","PHX","17:36","17:33","166","167","-3","17:44","11","0","0","0","0","0"
