Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5516","N725PS","DCA","05:28","05:18","151","149","-10","05:34","16","0","0","0","0","0"
"OH","12/01/2021","5519","N557NN","CLT","15:36","15:24","144","144","-12","15:45","21","0","0","0","0","0"
"OH","12/01/2022","5188","N525AE","DCA","05:32","05:24","165","172","-8","05:36","12","0","0","0","0","0"
"OH","12/01/2022","5519","N591NN","CLT","14:00","15:49","142","140","109","16:05","16","107","0","0","0","0"
"OH","12/01/2023","5452","N596NN","DFW","08:52","08:42","84","80","-10","08:55","13","0","0","0","0","0"
"OH","12/02/2021","5516","N529EA","DCA","05:28","05:22","151","162","-6","05:40","18","0","0","0","0","0"
"OH","12/02/2021","5519","N570NN","CLT","15:36","15:29","144","147","-7","15:46","17","0","0","0","0","0"
"OH","12/02/2022","5188","N513AE","DCA","05:32","05:31","165","164","-1","05:48","17","0","0","0","0","0"
"OH","12/02/2022","5519","N600NN","CLT","14:00","13:49","142","148","-11","14:05","16","0","0","0","0","0"
"OH","12/02/2023","5452","N596NN","DFW","08:52","08:45","84","72","-7","09:00","15","0","0","0","0","0"
"OH","12/03/2021","5516","N712PS","DCA","05:28","07:13","151","156","105","07:35","22","105","0","5","0","0"
"OH","12/03/2021","5519","N604NN","CLT","15:36","15:21","144","130","-15","15:34","13","0","0","0","0","0"
